# 2. 开发买家实用工具-站内篇

language=zh
language_probability=1.000
model=tiny

[00:00:05.460 - 00:00:09.260] 大家好 歡迎大家來到MIC商家緊接班
[00:00:09.260 - 00:00:13.020] 我是來自中國製造網的海域經理遊戲家
[00:22:12.660 - 00:22:14.660] 就完成了发车计划
[00:22:14.660 - 00:22:16.860] 这些产品和刘营,就会作为
[00:22:16.860 - 00:22:20.860] 营销有建的内容,在发车的时候,通过营销有建
[00:22:20.860 - 00:22:22.860] 他给对应的买家
[00:22:22.860 - 00:22:31.860] 我们也可以在这里看到强位记录查看营强位信息
[00:22:31.860 - 00:22:37.860] 那上家每周可以去选择十两块车,最多抢战20个习位
[00:22:37.860 - 00:22:42.400] 也就是引营销我们的20块产品
[00:22:42.400 - 00:22:45.400] 即营快车的收费标准,它是根据
[00:22:45.400 - 00:22:48.400] 不同的买家的级别来进行收费的
[00:22:48.400 - 00:22:52.400] 在商家前一保障方面也侍然找效果机费
[00:22:52.400 - 00:22:57.400] 如果说快车它没有成功发车,或者是发车之后的一周内
[00:22:57.400 - 00:23:02.400] 买家它没有打开营销有件,强位资金也是会退缓的
[00:23:02.400 - 00:23:06.420] 充质卡当中去的
[00:23:06.420 - 00:23:09.420] 第三个工具有设美与营退缓
[00:23:09.420 - 00:23:14.420] 这个顾名私义就是中国制造网为商家集工的在设美举到
[00:23:14.420 - 00:23:18.420] 去进行退缓营销的服务,会包含平台粉丝营销
[00:23:18.420 - 00:23:20.420] 以及费速广告营销
[00:23:20.420 - 00:23:26.420] 平台粉丝营销是中国制造网通过官方的海外设美平台
[00:23:26.420 - 00:23:31.420] Facebook这些渠道会商家进行海外平台的推广宣传
[00:23:31.420 - 00:23:36.420] Facebook广告营销就是根据工医商设置的营销计划
[00:23:36.420 - 00:23:39.420] 在Facebook平台上进行定制化的推广
[00:23:39.420 - 00:23:42.420] 来注尽大家实现推广目标
[00:23:42.420 - 00:23:46.420] 一样的也是在处理银行板块下
[00:23:46.420 - 00:23:50.420] 主要有两个步走来进行买下开发
[00:23:50.420 - 00:23:54.420] 第一步我们需要去设置对应的推广计划
[00:23:54.420 - 00:23:59.420] 在设美与推广手业点击就可以进入到设置业面
[00:23:59.420 - 00:24:03.420] 选择推广对象是产品还是公司
[00:24:03.420 - 00:24:08.420] 那甜蜂量点描述文案提交推广素材以及自治证明之后
[00:24:08.420 - 00:24:10.420] 我们可以进一步进行一些设置
[00:24:10.420 - 00:24:12.420] 平台粉丝营销是设置
[00:24:12.420 - 00:24:16.420] 期望发布时间以及目标覆盖用户数
[00:24:16.420 - 00:24:20.420] Facebook广告营销是设定推广开始的时间
[00:24:20.420 - 00:24:24.420] 以及选择的投入资金量计划
[00:24:24.420 - 00:24:28.420] 提交定单之后去看到预计消耗资金
[00:24:28.420 - 00:24:32.420] 确认之后就可以去完成设置了
[00:24:32.420 - 00:24:37.050] 第二步就查看数据反馈
[00:24:37.050 - 00:24:42.050] 我们在设置好推广计划之后可以在手业对应的推广内容右侧
[00:24:42.050 - 00:24:43.050] 点击查看
[00:24:43.050 - 00:24:47.050] 进入到推广计划小型中查看推广效果
[00:24:47.050 - 00:24:49.050] 平台粉丝营销功能下
[00:24:49.050 - 00:24:52.050] 我们可以看到商家提交的切文素材
[00:24:52.050 - 00:24:55.050] 在官方海外设美帐号的副该优呼树
[00:24:55.050 - 00:24:59.050] 练接点击量以及它的切文原地址
[00:24:59.050 - 00:25:02.050] 点击切文地址在翻强的情况下
[00:25:02.050 - 00:25:06.050] 就可以直接跳转到对应的业面来进行查看
[00:25:06.050 - 00:25:08.050] 也说明一下
[00:25:08.050 - 00:25:12.050] 这里的副该优呼树就代表本小切文被多少用户看到
[00:25:12.050 - 00:25:17.050] 点击点击量就代表买家点击推广切文练接的数量
[00:25:17.050 - 00:25:20.050] Facebook广告引销这款产品
[00:25:20.050 - 00:25:23.050] 可以看到它在设美局上副该的优呼树
[00:25:23.050 - 00:25:25.050] 绊点击率花费
[00:25:25.050 - 00:25:27.050] 平均点击花费
[00:25:27.050 - 00:25:30.050] 以及买家访问十段分布的信息
[00:25:31.050 - 00:25:33.050] 这里也提供了
[00:25:33.050 - 00:25:36.050] 我们在做设美云推广时的素材要求
[00:25:36.050 - 00:25:39.050] 比如说图片方面的一些要求
[00:25:39.050 - 00:25:42.050] 其工三张相诉在500成500机以上
[00:25:42.050 - 00:25:45.050] 5兆以内清晰无水应的
[00:25:45.050 - 00:25:49.050] 我们会根据设计效果从中选择最优的图片
[00:25:49.050 - 00:25:50.050] 进行推广
[00:25:50.050 - 00:25:52.050] 在图片当中
[00:25:52.050 - 00:25:54.050] 为了保障推广效果
[00:25:54.050 - 00:25:57.050] 请一定要添加一些脸习方式
[00:25:58.050 - 00:26:00.050] 在视频方面的话
[00:26:00.050 - 00:26:03.050] 这个时刻的宽度以及高度的要求
[00:26:03.050 - 00:26:06.050] 画面上文字证明要低于20%
[00:26:06.050 - 00:26:08.050] 这些素材都会有对应的
[00:26:08.050 - 00:26:11.050] 使和人员来进行选合
[00:26:12.050 - 00:26:14.050] 关于影响内容的设置
[00:26:14.050 - 00:26:16.050] 大家也可以注意一下
[00:26:16.050 - 00:26:20.050] 我们在选择产品时需要去请交曼族有图
[00:26:20.050 - 00:26:23.050] 产品心急不低于三星且通过选合的
[00:26:23.050 - 00:26:26.050] 在选择这个目录的时候
[00:26:26.050 - 00:26:28.050] 也要去注意规避掉
[00:26:28.050 - 00:26:33.050] Facebook上去明确表示推广明感的目录
[00:26:33.050 - 00:26:41.950] 也提供了三则影效仍安给大家来作为参考
[00:26:41.950 - 00:26:44.950] 我们再来了解一下这款全片的收费标准
[00:26:44.950 - 00:26:48.950] 平台粉丝影响是0.1元美用户
[00:26:48.950 - 00:26:51.950] 以1万优呼数为单位进行结架购买
[00:26:51.950 - 00:26:54.950] 比如说覆盖以1万优呼数的话
[00:26:54.950 - 00:26:56.950] 玉机消费就是1000元
[00:26:56.950 - 00:26:59.950] Facebook广告影响是按月收费
[00:26:59.950 - 00:27:03.950] 按照覆盖用呼数将投入资金分成两党
[00:27:03.950 - 00:27:08.950] 比如选择推广一个月就会有2000元和5000元两个党位
[00:27:08.950 - 00:27:12.950] 总投入资金将按照推广时常逐月地增
[00:27:12.950 - 00:27:14.950] 大家可以按须选择
[00:27:14.950 - 00:27:16.950] 推广计划设定之后
[00:27:16.950 - 00:27:19.950] 中国制造网将暂时动节
[00:27:19.950 - 00:27:21.950] 充值卡相应的赢消资金
[00:27:21.950 - 00:27:25.950] 定单解释后将会按照时期的推广效果
[00:27:25.950 - 00:27:27.950] 来收取相应的费用
[00:27:27.950 - 00:27:31.950] 在数据银行板块下都是主帐户
[00:27:31.950 - 00:27:35.950] 以及有以受据的资账户可以去使用的
[00:27:35.950 - 00:27:38.950] 如何受据主帐可以进到账户中心
[00:27:38.950 - 00:27:42.950] 资账户跟配全线下去勾选服务市场
[00:27:42.950 - 00:27:43.950] 这一个全线
[00:27:43.950 - 00:27:51.580] 最后一个数据银行功能下去开发买家的工具
[00:27:51.580 - 00:27:53.580] 就是全球贸易数据
[00:27:53.580 - 00:28:00.580] 全球28个国家18年到21年的进口贸易数据
[00:28:00.580 - 00:28:03.580] 进行整合后推出的频道
[00:28:03.580 - 00:28:06.580] 这个数据也是在不断的更新中的
[00:28:06.580 - 00:28:14.460] 在这个板块下会包含每周、欧洲、亚洲、亭非洲、四个地区
[00:28:14.460 - 00:28:17.460] 28个财政国家的进口海关数据
[00:28:17.460 - 00:28:22.460] 商家可以选举目标市场进行针对行的影响
[00:28:22.460 - 00:28:26.460] 在这个频道下我们可以去查找采购商
[00:28:26.460 - 00:28:31.460] 结所采购商结所采购商有相以及查看行业的采购趋势
[00:28:31.460 - 00:28:34.460] 这里的采购商信息结所
[00:28:34.460 - 00:28:37.460] 以及有相结所就非常关键了
[00:28:37.460 - 00:28:40.460] 具体不做怎么是怎么去做的我们再来看一下
[00:28:40.460 - 00:28:43.460] 首先查找采购商
[00:28:43.460 - 00:28:46.460] 我们主要有以下这种方式可以去查找
[00:28:46.460 - 00:28:49.460] 包括都到11位的海关编码
[00:28:49.460 - 00:28:53.460] 商品名称采购商名称或者是采购商地址
[00:28:53.460 - 00:28:57.460] 来进行查找也支持高选从中国采购
[00:28:57.460 - 00:29:01.460] 可以进一步山选从中国采购的采购商信息
[00:29:01.460 - 00:29:05.460] 也支持圈定金额范围来排除物流商
[00:29:05.460 - 00:29:10.460] 典积采购商公司名称就可以进入到采购商的详产业
[00:29:10.460 - 00:29:14.460] 来查看采购商的呼吁寺数重量
[00:29:14.460 - 00:29:17.460] 呼吁金额以及他连采购商品
[00:29:17.460 - 00:29:19.460] 会员地分布的信息
[00:29:19.460 - 00:29:22.460] 我们也可以根据目标的采购商信息
[00:29:22.460 - 00:29:26.460] 结所或许他的完整公司地址的信息
[00:29:26.460 - 00:29:31.460] 由于不同国家的海关编码灰则是不一样的
[00:29:31.460 - 00:29:36.460] HS编码一般是6位8位11位
[00:29:36.460 - 00:29:39.460] 其中前6位是国际通用的
[00:29:39.460 - 00:29:43.460] 我们可以用新的选用6位HS编码进行查训
[00:29:43.460 - 00:29:49.060] 通过之前平坦进行大数据的统计
[00:29:49.060 - 00:29:52.060] 会发现在全球贸易数据板坏下
[00:29:52.060 - 00:29:57.060] 有近10万的年采购额额累计在500万以上大买家
[00:29:57.060 - 00:30:00.060] 比如说已经被发现的Task CodeCars Code
[00:30:00.060 - 00:30:02.060] Worms Stony等等
[00:30:02.060 - 00:30:06.060] 更多大买家是有大家去进行深度的
[00:30:06.060 - 00:30:10.660] 商家在解锁采购商之后
[00:30:10.660 - 00:30:14.660] 可以进一步获取到采购商的完整公司名称
[00:30:14.660 - 00:30:16.660] 公司地址以及参考王子等等
[00:30:16.660 - 00:30:19.660] 在采购商的详云业
[00:30:19.660 - 00:30:22.660] 如果说采购商其工的参考游戏
[00:30:22.660 - 00:30:25.660] 商家也可以点击查看游戏
[00:30:25.660 - 00:30:29.660] 每查军以为采购商游戏要消耗一次
[00:30:29.660 - 00:30:30.660] 查军四书
[00:30:30.660 - 00:30:34.660] 但我们也是可以查军出多个游戏
[00:30:34.660 - 00:30:36.660] 这个也只记转一次
[00:30:36.660 - 00:30:41.800] 在行业数据行业查军板坏下
[00:30:41.800 - 00:30:44.800] 还可以查看到行业整理的采购去世
[00:30:44.800 - 00:30:47.800] 可以去看到他的
[00:30:47.800 - 00:30:49.800] POPCAN的后远地分布
[00:30:49.800 - 00:30:51.800] 前20的采购商榜单
[00:30:51.800 - 00:30:54.800] 这里的采购商榜单也是支持一件解锁的
[00:30:54.800 - 00:30:55.800] 非常方便
[00:30:55.800 - 00:31:00.690] 他的售价是9800元每年
[00:31:00.690 - 00:31:03.690] 购买之后可以去享受到
[00:31:03.690 - 00:31:05.690] 解锁采购商不限量次
[00:31:05.690 - 00:31:08.690] 以及5000次的游戏查军四书
[00:31:08.690 - 00:31:14.470] 以上的话就是数据银行板坏下
[00:31:14.470 - 00:31:17.470] 四个用于开发买家工具的分享
[00:31:17.470 - 00:31:22.470] 最后一个行业的来分享的是S&R的分享影响
[00:31:22.470 - 00:31:30.170] 当下并端采购买家也是呈现出这种日益年轻化
[00:31:30.170 - 00:31:34.170] 移动端采购区试日益明显的情况
[00:31:34.170 - 00:31:37.170] 通过S&R的分享可以帮助温暴期业
[00:31:37.170 - 00:31:39.170] 有效的促进去往效果
[00:31:39.170 - 00:31:42.170] 在一次设美一件分享的当中
[00:31:42.170 - 00:31:45.170] 我们会发现凭军五次
[00:31:45.170 - 00:31:48.170] S&R的分享就可以带来一封的循判转化
[00:31:48.170 - 00:31:52.170] 所以按照一定的频率怎么分享了四书月多
[00:31:52.170 - 00:31:55.170] 效果的转化也一定是会更好的
[00:31:55.170 - 00:31:59.170] 下方呢吃这次S&R的分享影响
[00:31:59.170 - 00:32:01.170] 覆盖的主要四个渠道
[00:32:01.170 - 00:32:03.170] 包括Facebook,Pinterrest
[00:32:03.170 - 00:32:04.170] 然后 link link
[00:32:04.170 - 00:32:05.170] 然后一推产
[00:32:05.170 - 00:32:09.170] 这些都是海外用户会去平凡使用的工具
[00:32:09.170 - 00:32:11.170] 大家一定要及时的重视起来
[00:32:11.170 - 00:32:13.170] 这个渠道的利用
[00:32:13.170 - 00:32:17.170] 它的功能入口就是在 VirtualFace的后台
[00:32:17.170 - 00:32:20.170] 影响S&R分享影响这个板块下
[00:32:20.170 - 00:32:23.700] 可以看到
[00:32:23.700 - 00:32:24.700] 在这个板块下呢
[00:32:24.700 - 00:32:27.700] 会去持续公司店舖内的Uping
[00:32:27.700 - 00:32:31.700] 那Uping的界定就是产品新级在四星半的产品
[00:32:31.700 - 00:32:33.700] 最多呈现时条
[00:32:33.700 - 00:32:35.700] 那如果说都是四星半
[00:32:35.700 - 00:32:39.700] 就会根据跟分新的时间来将续排列
[00:32:39.700 - 00:32:41.700] 也会呈现热品
[00:32:41.700 - 00:32:43.700] 这种视频是每天会去急取
[00:32:43.700 - 00:32:45.700] 出去融盘里面呈现的
[00:32:45.700 - 00:32:47.700] 访问量最高的实款产品
[00:32:47.700 - 00:32:49.700] 那如果大家开通了
[00:32:49.700 - 00:32:52.700] 出去影响下的平台粉丝影响服务
[00:32:52.700 - 00:32:54.700] 那边的提问也会同步在
[00:32:54.700 - 00:32:57.700] 这个板块的特色提问板块下
[00:32:57.700 - 00:33:00.700] 同时S&R是分享的产品
[00:33:00.700 - 00:33:02.700] 也是可以迎见去免费报名
[00:33:02.700 - 00:33:04.700] 更多的化席专题活动
[00:33:04.700 - 00:33:07.700] 从而获得多重渠道的报光的
[00:33:07.700 - 00:33:11.980] 好在影响记录的查询下
[00:33:11.980 - 00:33:13.980] 可以在板块下去看到
[00:33:13.980 - 00:33:15.980] 分享的产品列表
[00:33:15.980 - 00:33:16.980] 它的点击量
[00:33:16.980 - 00:33:17.980] 专题报名人
[00:33:17.980 - 00:33:19.980] 在这个地方也是支持
[00:33:19.980 - 00:33:21.980] 直接迎见多次分享
[00:33:21.980 - 00:33:23.980] 以及去报名对应的
[00:33:23.980 - 00:33:24.980] 化席专题活动的
[00:33:24.980 - 00:33:28.260] 这里也给大家呈现一下
[00:33:28.260 - 00:33:30.260] 我们在之前举办的
[00:33:30.260 - 00:33:32.260] 设美迎见分享
[00:33:32.260 - 00:33:34.260] 主要是在Facebook这个平台上
[00:33:34.260 - 00:33:36.260] 去进行分享了一次活动
[00:33:36.260 - 00:33:38.260] 那很多共亿商的一个反应
[00:33:38.260 - 00:33:39.260] 都是非常细节的
[00:33:39.260 - 00:33:42.260] 通过参与到这个活动当中
[00:33:42.260 - 00:33:44.260] 大家的店舖的访问
[00:33:44.260 - 00:33:46.260] 量都起身的非常明显
[00:33:46.260 - 00:33:48.260] 比如说这一家长得的公司
[00:33:48.260 - 00:33:50.260] 在参与活动期间
[00:33:50.260 - 00:33:52.260] 访问环并提升85%
[00:33:52.260 - 00:33:55.260] 而且是人工型的更是提升
[00:33:55.260 - 00:33:57.260] 110%1%1%
[00:33:57.260 - 00:33:59.260] 所以大家一定要提使的去利用
[00:33:59.260 - 00:34:01.260] 我们的F&S的分享去到
[00:34:01.260 - 00:34:04.260] 来去进行定期的一个分享
[00:34:04.260 - 00:34:09.950] 以上的话就是跟大家来分享的
[00:34:09.950 - 00:34:11.950] 中国知道网平台上
[00:34:11.950 - 00:34:14.950] 用于开发满家的武判工具
[00:34:14.950 - 00:34:15.950] 在下一小节当中
[00:34:15.950 - 00:34:17.950] 将会继续分享
[00:34:17.950 - 00:34:20.950] 外部的一些工具用于满家开发
[00:34:20.950 - 00:34:21.950] 大家可以在进行
[00:34:21.950 - 00:34:22.950] 持续的一个关注
[00:34:22.950 - 00:34:24.950] 我们稍后再见
