# 1. 免费会员操作指南

language=zh
language_probability=1.000
model=tiny

[00:00:00.050 - 00:00:05.310] 嗨大家好,歡迎大家收聽共一商免微會員操作指南的先上課程
[00:14:05.140 - 00:14:06.140] 中國之大網
[00:14:06.140 - 00:14:07.140] 針對平台所有的會員
[00:14:07.140 - 00:14:08.140] 推出的福利活動
[00:14:08.140 - 00:14:10.140] 為用戶帶來更多福利
[00:14:10.140 - 00:14:12.140] 產品和福利體驗的同時
[00:14:12.140 - 00:14:14.140] 更是與用戶一起探索
[00:14:14.140 - 00:14:16.140] 全面路外貿身太體系
[00:14:16.140 - 00:14:18.140] 發覺全球商機
[00:14:18.140 - 00:14:20.140] 中國知道之美是有
[00:14:20.140 - 00:14:22.140] 中國知道網發起的
[00:14:22.140 - 00:14:23.140] 知名供易性平選
[00:14:23.140 - 00:14:24.140] 面向所有的
[00:14:24.140 - 00:14:25.140] 中國知道產品
[00:14:25.140 - 00:14:26.140] 平台會員
[00:14:26.140 - 00:14:27.140] 包含免費會員
[00:14:27.140 - 00:14:28.140] 都可以參賽
[00:14:28.140 - 00:14:30.140] 有全威平省團
[00:14:30.140 - 00:14:31.140] 平省出一系列
[00:14:31.140 - 00:14:32.140] 能夠代表
[00:14:32.140 - 00:14:33.140] 現代中國
[00:14:33.140 - 00:14:34.140] 知道也水平的優秀產品
[00:14:34.140 - 00:14:36.140] 參賽機可
[00:14:36.140 - 00:14:37.840] 專項每獨家全球
[00:14:37.840 - 00:14:40.140] 採購資源傳應等
[00:14:40.140 - 00:14:41.140] 並獲引
[00:14:41.140 - 00:14:42.140] 幣有專屬的
[00:14:42.140 - 00:14:46.140] 獲獎標誌推動產品品排傳播
[00:14:46.140 - 00:14:47.280] 中國知道網絡
[00:14:47.280 - 00:14:49.140] 針對既你長會
[00:14:49.140 - 00:14:50.140] 利用新進屬
[00:14:50.140 - 00:14:51.140] 再線上全方為展示
[00:14:51.140 - 00:14:53.140] 供應商的幼稚產品
[00:14:53.140 - 00:14:56.140] 不能供應商貿銷全球
[00:14:56.140 - 00:14:57.140] 云上出海
[00:14:57.140 - 00:14:58.140] 第一早更多商機
[00:14:58.140 - 00:15:00.140] 報名營長會需要
[00:15:00.140 - 00:15:02.140] 我們購買營展券
[00:15:02.140 - 00:15:03.140] 可以聯繫客戶精理
[00:15:03.140 - 00:15:05.140] 供應商可以選擇
[00:15:05.140 - 00:15:08.140] 三关的运挨活动 平劝有效参与
[00:15:08.140 - 00:15:16.310] 据据帽一数据,他的功能入口也是在影响下方的据帽一数据
[00:15:17.310 - 00:15:22.310] 入口,我们使用了据帽一数据结所或者是有相差群十次
[00:15:23.310 - 00:15:27.310] 即可获得展示听play版,咱们是天 教的权益
[00:15:28.310 - 00:15:32.310] 我们在据帽一数据版块,我们的采购商数据功能拆单下
[00:15:32.310 - 00:15:39.110] 可以查寻29个国家海关进出口数据查找采购商极结束采购商有项
[00:15:39.110 - 00:15:44.110] 该功能如去开通使用,您可以在关门服势场采购下购买体验
[00:15:44.110 - 00:15:52.910] 在行严数据采购下可以选择数据来源国,或取对应国家透普100个热点的采购练目
[00:15:52.910 - 00:15:55.510] 结束不同产品的采购局势
[00:15:55.910 - 00:16:00.910] 透普时,或元地分布,透过20采购商等等
[00:16:00.910 - 00:16:04.310] 免费会员每天可以免费查寻5次
[00:16:04.310 - 00:16:12.460] SMS分享营销他的入口有两处,在我们的电脑端是在营销的幕陆下
[00:16:12.460 - 00:16:15.860] 在我们的APP端是在我们的业务中心法刮
[00:16:15.860 - 00:16:22.660] 关于商可以通过SMS之营销功能自动的体验出优品、热品,进行分享推广
[00:16:22.660 - 00:16:26.060] 实现设美与平台账号的流量双项增长
[00:16:26.060 - 00:16:31.260] 分享营销据到包括Facebook, Twitter,Paintarystone, link里的 email
[00:16:32.260 - 00:16:37.860] 我们使用了SMS营销功能十次,即可结束展示听play版30天权议
[00:16:39.060 - 00:16:45.060] 展示听play版展示效果如图比我们普通版本更加深动,专业
[00:16:45.060 - 00:16:49.260] 使用我们的SMS营销十次,即可结束这样的权异龙
[00:16:49.260 - 00:16:55.060] 第七步,我们来了解一下商机管理跟进的相关功能
[00:16:55.060 - 00:17:02.460] 在后台首页到行蓝处,商机下有极大主要功能,包括收件相,发件相是我们最常用的
[00:17:02.460 - 00:17:07.460] 还有其标训判,以上主训判,你许报训判是公司商资行管理的
[00:17:08.060 - 00:17:15.460] 许判是发规则是可以通过设置查看我们的,包括训判相关的提醒有件等等的规则
[00:17:15.860 - 00:17:21.860] 客户管理,可以帮助我们去更好的了解,以及有过,举办网来天和阿克特
[00:17:21.860 - 00:17:28.060] 联系网来的一些买家在平台上面的最新动态,定单升报可以帮助我们
[00:17:28.060 - 00:17:32.460] 已经成长的定单,在在现据进行970的升报
[00:17:32.460 - 00:17:37.060] 停架管理,是指对于买家的整体平价进行查看
[00:17:37.460 - 00:17:45.660] 采购需求是我们可以在这边这个频道,去进行查愿买家发布的采购需求并且去进行报价
[00:17:46.060 - 00:17:53.460] 天和街代设置,就是我们即使通训工具,设置自动回复常用问答等等的增加买家的有效互动
[00:17:54.660 - 00:18:01.660] 首先我们看一下收件相,在收件相这里,您可以查看到最近一年的左收到的全部训判
[00:18:02.060 - 00:18:06.060] 并可以随时按照不同的条件山寻,或者搜索进行查训
[00:18:07.060 - 00:18:10.060] 买家以队读,发现相会有小眼睛功能点亮
[00:18:11.060 - 00:18:32.060] 建议您收到训判后第一时间在照号后台军进行回复,或训可以抓取到买家是否有队读寧回复的消息
[00:18:33.060 - 00:18:45.060] 在这里,要提示一下有一个任务角利,我们回复选盘逼峰,这里是只在平台上回复选盘逼峰,即可接索选盘相情叶,历史行为的功能
[00:18:46.060 - 00:18:56.060] 历史行为是什么呢?也就是可以查看到买家买卖双方有选盘往来的那天的买家,行为以及买家最近的就是天的历史行为
[00:18:56.060 - 00:19:14.060] 它的行为数据包括了买家双总级路,留来了多少条产品,发送了多少个群盘,发布的RFQ的标题,以及买家下载产品图策的个数,还有天空溝通公司数,这样可以有效地帮助您,要借买家的一图分析买家的行为
[00:19:14.060 - 00:19:26.060] 在群盘双发规则处,您可以通过设置来查看,我们这个规则同样的去世,同样的也是用于TM消息
[00:19:27.060 - 00:19:35.060] 一般来讲,我们都是按照产品举分配群盘的,指处高局会员使用比较多,您飞会员可以了解计可
[00:19:36.060 - 00:19:44.060] 客户管理,客户管理页面是我们,你飞会员都能够去使用的,在此处,您可以查看自己收藏或者品贝的用户
[00:19:45.060 - 00:19:49.060] 我们同时也支持彻销收藏和举销品贝的操作
[00:19:50.060 - 00:20:00.060] 可以看到每一个买家的最近行为以及我们商家最后跟进的时间,以及手次网来的时间,有效地对我们的买家进行管理
[00:20:00.060 - 00:20:12.060] FQ报价,如果说会思海可以还想主动的举开发买家,可以选购开通FQ的报价全线,那它的购买入口实在后台的浮试场这里
[00:20:14.700 - 00:20:22.700] 我们开通了,功能使用的入口是在我们正好后台的商机下有一个搜索采购需求的频道
[00:20:22.700 - 00:20:30.700] 我们在FQ频道里面主动的举进行搜索,并报价,那我们购买之后的使用有效73个月
[00:20:31.700 - 00:20:34.700] 报价次数用完或者是浮到机后,则不可以继续再报价吧
[00:20:38.060 - 00:20:46.060] 我们有一个任务讲历,如果您成功的进行提交了一条FQ的报价,即可结果选盘相亲也历史行为的功能
[00:20:53.080 - 00:21:00.080] 中国制造网还为您提供了各类品牌使用工具,集成赵户行培育体系,助您平台推广更加轻松
[00:21:03.100 - 00:21:14.100] 我们可以在后台首页的最下方,点击、吹、Messent就标志进行下载
[00:21:15.100 - 00:21:27.100] 公益商APP是我们在手机上,你动办公的有效工具,您可以点击、Rose,首页右向右上角的下载APP,或者是右下角的小廟RM都可以下载中国公益商
[00:21:27.100 - 00:21:42.100] 中国制造网的公益商版本APP,它可以有效的帮助您去,却是处理训盘,玩礼报价,与买家实实,在现下弹,了解中国制造网相关活动,及外网行业相关资讯,将商机随身带
[00:21:44.570 - 00:21:56.570] 数据罗盘是一个在信项数据分析平台,只在通过对中国制造网上的海量数据金金分析,帮助您提供外网推广方面的直到,变于您,指定更加轻松有效的推广策略
[00:21:56.570 - 00:22:17.570] 这里的全线包括一下级点,首先是我的勇量,在该板块下,我们可以对于网站的这个勇量数据进行统集分析,让您更快速地掌握和把握,我们整个推广情况,我的产品下在该板块下会针对性的帮助您统集,每个产品的推广效果和转化情况
[00:22:17.570 - 00:22:23.570] 我的客户这里将集中呈现于贵斯有过去满亡来的,所以客户信息,分布及其行为动态
[00:22:23.570 - 00:22:32.570] 行业分析这里您可以查询到行业此的热度变化,并且查看到行业买家的访问,热度比较高的热门信息进行参考
[00:22:32.570 - 00:22:37.570] 免费过元上传一夜直照,并通过选合就可以结果该功能奖励了
[00:22:38.570 - 00:22:46.570] 账互管理这里可以为您同期呈现,我们账号里面等操作情况,以及数据罗盘的使用全线等等
[00:22:46.570 - 00:23:05.180] 贸客是中国之道网为平台会员打造的专业化学习交流工具,所讲是军为外毛资深人士,客户内容非常豐富,涵蓋了外毛全纠陈时操客陈,不需要下在APP随时随地的进入微信小程序自主学写
[00:23:05.180 - 00:23:18.180] 在现客堂我们在电脑端也可以收听在现客陈,在会员一家的在现客堂,客陈内容非常豐富,可以按照标签快速定位选择您喜爱的客陈,快速提高外毛专业能力
[00:23:19.180 - 00:23:27.180] 最后如果您有需要成为高级会员,欢迎您不打资裙若线,406777060与我们联系
[00:23:28.180 - 00:23:34.180] 欢迎您留览中国製造网国记站,欢迎您了解交点科技股份有限公司
[00:23:34.180 - 00:23:37.180] 最后感谢您的零听祝您生活愉快
