# 7.2025 年10月全网大讲堂

language=zh
language_probability=1.000
model=tiny

[00:00:02.770 - 00:00:06.850] 各位慧恩彩們大家好 我是中師大王雲部的耿噴
[00:00:06.850 - 00:00:09.410] 很高興和大家下面在直播間
[00:24:21.920 - 00:24:27.040] 先幫助我們留住更多買家的信息
[00:24:27.040 - 00:24:31.760] 但是最重要是需要我們去查看自主的跟進的
[00:24:31.760 - 00:24:34.080] 並且只有我們查看以後
[00:24:34.080 - 00:24:39.440] AI的回復時間才會記錄到及時回復率中
[00:24:39.440 - 00:24:42.640] 我們舉個例子買家發送消息以後
[00:24:42.640 - 00:24:45.200] AI在第三秒回復了
[00:24:45.200 - 00:24:48.640] 如果我們在24小時內閱讀了對話
[00:24:48.640 - 00:24:53.200] 這一次的想應實際上就是3小時AI回復市場
[00:24:53.200 - 00:24:56.960] 如果我們在24小時以後去閱讀了這條消息
[00:24:56.960 - 00:25:00.960] 這一次的想應實際上作為25個小時
[00:25:00.960 - 00:25:04.700] 可以理解吧
[00:25:04.700 - 00:25:08.140] 接下來為了不斷提升平台的買家質量
[00:25:08.140 - 00:25:10.380] 減少供應商的無效跟進
[00:25:10.380 - 00:25:13.260] 增大買賣雙方的接下什麼類
[00:25:13.260 - 00:25:15.500] 平台也在廚護的去豐富
[00:25:15.500 - 00:25:18.220] 買家在中國知道網上的信息
[00:25:18.220 - 00:25:20.460] 去取的規則我們看可見
[00:25:20.460 - 00:25:25.660] 首先是10月10日已經推出了風險連續人標示功
[00:25:25.660 - 00:25:28.220] 經過平台審核確認的風險賬戶
[00:25:28.220 - 00:25:30.540] 將被標籍為可利用戶
[00:25:30.540 - 00:25:32.460] 平台將對此類的用戶
[00:25:32.460 - 00:25:35.180] 限制商機的發送和溝通
[00:25:35.180 - 00:25:39.260] 通過這種自動10別標主高風險買家的方式
[00:25:39.260 - 00:25:42.060] 幫助我們過率較低指的上機
[00:25:42.060 - 00:25:44.220] 提升效果降低風險
[00:25:44.220 - 00:25:47.100] 其次預計今年四季度
[00:25:47.100 - 00:25:49.260] 還會有上限的功能
[00:25:49.260 - 00:25:52.540] 首先是優質買家的背掉功能
[00:25:52.540 - 00:25:55.180] 讓供應商快速去10別
[00:25:55.180 - 00:25:59.980] 高價值的買家提升業務對接效率和盡本度
[00:25:59.980 - 00:26:03.500] 同樣四季度還會上限全量買家的豐富功能
[00:26:03.500 - 00:26:07.420] 系統化的呈現買家在平台的核心的行為數據
[00:26:07.420 - 00:26:10.860] 讓我們也能夠獲得更多買家的信息
[00:26:10.860 - 00:26:15.440] 購建平台信任的生態
[00:26:15.440 - 00:26:21.170] 第三條功能線交易線交易的配套相關功能
[00:26:21.170 - 00:26:25.010] 在現交易是跨境電商平台發展的畢竟之路
[00:26:25.010 - 00:26:30.130] 目前還買些在現交易的方向並沒有去做強榜定
[00:26:30.130 - 00:26:32.690] 是僅於上加更高的自由度
[00:26:32.690 - 00:26:36.850] 更多是在推行在現交易的配套產品建設
[00:26:36.850 - 00:26:37.890] 一個數據
[00:26:37.890 - 00:26:40.370] 百名之七入依上的BTOB才購現
[00:26:40.370 - 00:26:45.890] 是在現場進行的買家最關注的是方便信任安全
[00:26:45.890 - 00:26:50.180] 這才是交易功能設計的出中
[00:26:50.180 - 00:26:54.260] 例如為了解決商家跨境收款難的問題
[00:26:54.260 - 00:26:58.100] 我們推出的GPP收款收結會服務
[00:26:58.100 - 00:27:03.860] 目前我們的服務已經明顯聚備了凝費率多倍
[00:27:03.860 - 00:27:06.500] 會率優於有傷的優勢
[00:27:06.820 - 00:27:11.300] 為提升商家的在現交易體驗和商席的轉化率
[00:27:11.300 - 00:27:15.140] 我們上線了五大本地化的支付方式
[00:27:15.140 - 00:27:17.860] 專門為拉美和南非市商打造
[00:27:17.860 - 00:27:21.700] 助力買家更變結的完成付款
[00:27:21.700 - 00:27:26.180] 同樣為了助力供應商快速的開脫國際市場
[00:27:26.180 - 00:27:32.020] 我們在七月面向平台的買家開放了配報的付款方式
[00:27:32.020 - 00:27:35.300] 配報目前輸改了200多個國家地區
[00:27:35.300 - 00:27:37.420] 只是超過25種
[00:27:37.420 - 00:27:38.940] B種的交易
[00:27:38.940 - 00:27:45.230] 可以顯著的提升買來雙方在現交易的成功率
[00:27:45.230 - 00:27:47.510] 另外一個展現交易的重大功能
[00:27:47.510 - 00:27:51.310] 大約27日中國是大網交易功能新增
[00:27:51.310 - 00:27:55.470] 歐元人民幣定單可以源閉種直接入賬
[00:27:55.470 - 00:28:01.870] 同時外會到賬以後系統將自動推送信息到我們的後台
[00:28:01.870 - 00:28:04.990] 我們可以自行完成外會觀念或者是
[00:28:04.990 - 00:28:07.750] 把會的操作不用等待平台處理
[00:28:07.750 - 00:28:11.910] 可以大幅度提升自行的管理效率和服務體驗
[00:28:11.910 - 00:28:19.610] 歐元人民幣定單目前暫時支持提提的轉向付款
[00:28:19.610 - 00:28:20.770] 12月22日
[00:28:20.770 - 00:28:26.850] SKO功能正式上線進一步完善商品結構提升交易匹配效率
[00:28:26.850 - 00:28:32.130] 同步也在優化商交易領導西方規則
[00:28:32.130 - 00:28:35.010] 什麼SKO百度百度各上的解釋
[00:28:35.010 - 00:28:37.290] SKO是庫存量單位
[00:28:37.290 - 00:28:43.490] 只商品在庫存管理展示結算中最小的可需別單元
[00:28:43.490 - 00:28:44.730] 不好理解什麼
[00:28:44.730 - 00:28:45.730] 取個例子
[00:28:45.730 - 00:28:50.290] 一台iPhone 17256G紅色的
[00:28:50.290 - 00:28:52.130] 這個例子中
[00:28:52.130 - 00:28:56.210] SKO是由型號iPhone 17內存
[00:28:56.210 - 00:28:59.250] 2.56G在加上顏色紅色
[00:28:59.250 - 00:29:01.570] 去定義出單台的DKSKO
[00:29:01.810 - 00:29:02.970] 我們做衣服
[00:29:02.970 - 00:29:04.650] 衣服可以分為不同的顏色
[00:29:04.650 - 00:29:05.770] 不同的持馬
[00:29:05.770 - 00:29:10.010] 這也是一個最簡單的SKO的構成
[00:29:10.010 - 00:29:12.250] 所以這跨境交易強勁的不斷發展
[00:29:12.250 - 00:29:14.650] 買家隊產品的參數
[00:29:14.650 - 00:29:18.290] 型號規格的要求也越來越明確
[00:29:18.290 - 00:29:21.570] 採購角色更加依然精準的疲憾
[00:29:21.570 - 00:29:24.850] SKO可以覆蓋更多的常委次
[00:29:24.850 - 00:29:26.810] 減少電瀑
[00:29:26.810 - 00:29:30.170] SKO的重複度有助於被射色眼睛的收入
[00:29:30.170 - 00:29:34.250] 完整的SKO體系又讓商品的信息結構化
[00:29:34.250 - 00:29:35.370] 更加清晰
[00:29:35.370 - 00:29:38.370] 為買家提供更精準的系統推薦
[00:29:38.370 - 00:29:40.610] 減少溝通成本
[00:29:40.610 - 00:29:42.730] 所以做SKO的規格管理
[00:29:42.730 - 00:29:45.290] 是能夠讓我們推廣的時候
[00:29:45.290 - 00:29:49.610] 或者更有力的暴光和更高的轉發
[00:29:49.610 - 00:29:51.410] 在建年SKO後
[00:29:51.410 - 00:29:55.130] 產品的框架概念也發生了一定的變化
[00:29:55.130 - 00:29:58.490] 產品會分為交易品和商品品
[00:29:58.490 - 00:30:02.970] 原來我們的RUSHO的產品將更新為交易品
[00:30:02.970 - 00:30:06.770] 設置了具體的受價和運費模板的
[00:30:06.770 - 00:30:10.210] 可交易產品買家的時間能夠下單付款
[00:30:10.210 - 00:30:12.410] 買家無法下單支付
[00:30:12.410 - 00:30:17.370] 需要和賣家溝通協商一致三關的產品需求
[00:30:17.370 - 00:30:19.970] 費用的需要費用明顯等等
[00:30:19.970 - 00:30:25.640] 這些的商品就被歸為商機品
[00:30:25.640 - 00:30:28.040] 操作的位置是我們產品編支頁面
[00:30:28.040 - 00:30:30.360] 大家看著是测制當圖
[00:30:30.360 - 00:30:33.320] 一條產品可以填加三組為格
[00:30:33.320 - 00:30:37.160] 單格為格為格值可以填加二十個
[00:30:37.160 - 00:30:41.000] 組合為格總計最多可以達到200個
[00:30:41.000 - 00:30:46.910] 又算了使他的前台的拿加碳了展示效果
[00:30:46.910 - 00:30:51.830] 通過這張表格再把交易品和商機品的區別給大家奪列一下
[00:30:51.830 - 00:30:56.110] 交易品顧名思義就是買家可以直接下單支付
[00:30:56.110 - 00:30:59.510] 買家以快速發貨的產品
[00:30:59.510 - 00:31:04.750] 想要我的產品變成交易品需要同時滿足一下
[00:31:04.750 - 00:31:08.590] 幾個條件公司已經開通的展現交易服務
[00:31:08.590 - 00:31:12.830] 產品在可交易的目入下有明確的價格
[00:31:12.830 - 00:31:16.230] 包裝尺寸信息完整運費模擬拍置完整
[00:31:16.230 - 00:31:18.470] 發貨效率拍置完整
[00:31:18.470 - 00:31:22.230] 商品品是買家沒有辦法直接去下單支付的
[00:31:22.230 - 00:31:25.990] 需要先和買家進行溝通的產品
[00:31:25.990 - 00:31:29.430] 簡單的理解就是不滿足交易品的任意條件
[00:31:29.430 - 00:31:30.710] 借為商機品
[00:31:30.710 - 00:31:34.350] 如果想要我們的商機品能夠支持交易
[00:31:34.350 - 00:31:40.070] 需要同時滿足一下條件公司開通的展現交易服務產品
[00:31:40.070 - 00:31:44.630] 是在可交易目入下並且能它的包裹尺寸信息
[00:31:44.630 - 00:31:46.030] 是顯消完整
[00:31:46.030 - 00:31:52.120] 第四條步能顯推廣銀銷線
[00:31:52.120 - 00:31:57.480] 這條線適合最近的一些廣告銀銷相關的配料功能
[00:31:58.480 - 00:32:01.960] 接下來問問現在意在於通過短的去優化
[00:32:01.960 - 00:32:05.880] 我告訴能規則展示形式
[00:32:05.880 - 00:32:09.000] 這些去給我們平台的共產工商
[00:32:09.000 - 00:32:11.560] 或更好的流量計算化
[00:32:11.560 - 00:32:15.660] MIC的手頁改版7月8日
[00:32:15.660 - 00:32:18.860] 中國製造了英文站PCD1手頁升級改版
[00:32:18.860 - 00:32:23.380] 新手頁上線出期目前只做海外的小化為視點
[00:32:23.380 - 00:32:25.060] 元首頁仍然是保留的
[00:32:25.060 - 00:32:29.420] 所以大部分我們看到的時候還是一個元首頁的形式
[00:32:29.420 - 00:32:33.260] 後續等到全量升級後我們還會進行
[00:32:33.260 - 00:32:37.860] 通知這一次改版的初中是提升買家的採購效率
[00:32:37.860 - 00:32:40.260] 在我們之前對首頁的數據統計中
[00:32:40.260 - 00:32:44.860] 買家使用最核心的場景使用微妖著搜索以及推薦
[00:32:44.860 - 00:32:49.460] 本次改版更多的在構建經訓的各新華推薦提起
[00:32:49.460 - 00:32:51.580] 實現千人千年的展示邏輯
[00:32:51.580 - 00:32:55.780] 讓每一位買家快速找到所需要的產品
[00:32:55.780 - 00:32:58.060] 出境買完雙方的上帝達成
[00:32:58.060 - 00:33:05.380] 鋪開市的UMI那一的業面將會佔到一個非常大的一個版塊
[00:33:05.380 - 00:33:12.820] 實際上平台針對據交廣告的脫持金本性以及用戶對脫持脫貧的可控性進行的升級
[00:33:12.820 - 00:33:15.620] 據交廣告作為大可不標配的廣告之一
[00:33:15.620 - 00:33:19.380] 是平台目前大可不很喜歡看出的一個廣告服
[00:33:19.380 - 00:33:23.460] 不過之前在功能上選詞旋品是有一定的限制的
[00:33:23.460 - 00:33:26.500] 給部分購買廣告的可不帶來一定的困擾
[00:33:26.500 - 00:33:32.140] 這一次對據交廣告的脫持旋品功能升級就是在解決這一個問題
[00:33:32.140 - 00:33:33.220] 舉個例子
[00:33:33.220 - 00:33:36.700] 購買了AX假設可以脫持35個
[00:33:36.700 - 00:33:42.060] 那原先客戶最多可以平比20個可重新指定10個次
[00:33:42.100 - 00:33:49.620] 升級以後客戶最多可以平比30個次可以最多重新指定35個次
[00:33:49.620 - 00:33:52.140] 讓廣告更靈活
[00:33:52.140 - 00:34:00.950] 需要注意的是指定詞涉及的產品至少要6條並且在限定的目的範圍內
[00:34:00.950 - 00:34:05.270] 客戶可以在後台設置3個中級目度
[00:34:05.270 - 00:34:10.430] 系統脫子和指定脫子每個次軍支持人工
[00:34:10.430 - 00:34:15.350] 在系統圈品範圍內去調整我自己想要觀念的產品
[00:34:15.350 - 00:34:18.830] 給極慕的產品展示了更多自主性
[00:34:18.830 - 00:34:22.990] 上限以後的功能圖示我們參考有策的街圖
[00:34:22.990 - 00:34:31.460] 如果有購買這個廣告還沒有去做關注設置的客戶也可以去關注設置起來
[00:34:31.460 - 00:34:34.940] 今天都是我們數字英銷中的一個重要的銀銷手段
[00:34:34.940 - 00:34:37.180] 應該有很多客戶都有使用過
[00:34:37.180 - 00:34:41.700] 6月27日中國知道我正式推出經典頭3.0.0
[00:34:41.700 - 00:34:48.820] 在全面的記住上新增編號關鍵式設置通過算法模型去學習我們設置的推過產品
[00:34:48.820 - 00:34:50.820] 或去經診的流量
[00:34:50.820 - 00:34:54.740] 在銀銷模式上支持一個銀銷主計畫
[00:34:54.740 - 00:34:56.500] 拆分為5個字計畫
[00:34:56.500 - 00:35:02.540] 我們可以多目入同時經驗推寡能夠提高經典頭的保望流量
[00:35:02.540 - 00:35:09.300] 今天都從推出以來已經累積為平台上的供利商帶來超意識的
[00:35:09.540 - 00:35:10.540] 保望
[00:35:10.540 - 00:35:20.270] 這張式經典頭效果模擬如以一萬元經典頭預算來做預估
[00:35:20.270 - 00:35:25.910] 經典頭處理我們平台的供利商實現流量和商帝的飛躍
[00:35:25.910 - 00:35:29.870] 是有著一個非常出色能力的影響手段
[00:35:29.870 - 00:35:35.260] 詳細的介紹大家可以去自行自己的客戶經理
[00:35:35.260 - 00:35:38.580] 大這裡此條溫固線就全部給大家處理完了
[00:35:38.580 - 00:35:42.140] 從6月開始到10月大部分的重要的功能
[00:35:42.140 - 00:35:48.620] 應該都包含了大家也可以在這些功能變化中找到自己的運營推廣方向
[00:35:48.620 - 00:35:54.420] 接下來是執行11月浸降上線的新功能和平台的運活動
[00:35:54.420 - 00:35:57.700] RP功能的用話
[00:35:57.700 - 00:36:02.380] 買家採購需求是一個我們之前我們可無法回到的問題
[00:36:02.380 - 00:36:07.500] 比如說RP的數量RP的匹配RP的回復等等都會有涉及到
[00:36:07.660 - 00:36:14.660] 在今年平台也在全部的對RP的規則進行優化去解決以上反規的一些問題
[00:36:14.660 - 00:36:17.500] 提升供一向對RP爆向的任何
[00:36:17.500 - 00:36:18.740] 兩個大的方向
[00:36:18.740 - 00:36:21.020] 從買家方向來看
[00:36:21.020 - 00:36:26.180] 鎖利於區提升RP的數量的同時是保證RP的主量
[00:36:26.180 - 00:36:32.140] 並且通過多方面的措施去提升買家對於RP的回復率
[00:36:32.140 - 00:36:33.740] 從供一向方向看
[00:36:33.740 - 00:36:36.260] 加強供一向的商帝回復管控
[00:36:36.260 - 00:36:41.380] 對於回復指量高回復速度快的供一向將其餘進行不降低
[00:36:41.380 - 00:36:46.090] 此日度將首先上限兩個RP的規則
[00:36:46.090 - 00:36:48.890] 以取消主營行業推薦邏輯
[00:36:48.890 - 00:36:52.490] 升級為產品本身與RP需求的進行品配
[00:36:52.490 - 00:36:56.330] 從根本上提升商帝與供一向產品
[00:36:56.330 - 00:36:58.130] 能力的氣核度
[00:36:58.130 - 00:37:01.090] 而原來的未爆價採購數帝
[00:37:01.090 - 00:37:02.970] 優質買家穩多採購價
[00:37:02.970 - 00:37:06.450] 這三個版本將核病統一入口推加RP
[00:37:06.450 - 00:37:11.570] 業面會更加的提也解超多的跟加高效
[00:37:11.570 - 00:37:13.770] 這兩個規則的出發點
[00:37:13.770 - 00:37:17.010] 將批配從大的行業變成小的產品
[00:37:17.010 - 00:37:18.770] 經兵度肯定是會更好的
[00:37:18.770 - 00:37:21.610] 供一向的爆價業面也會更加簡單
[00:37:21.610 - 00:37:26.260] 我們的使用體驗也會更好
[00:37:26.260 - 00:37:28.460] AI功能規範上前面我們已經說了
[00:37:28.460 - 00:37:29.440] 9月26日
[00:37:29.440 - 00:37:32.060] AI接待這次那種供一向回復率
[00:37:32.060 - 00:37:34.100] 11月AI自動化
[00:37:34.100 - 00:37:36.740] 設備運工將上限
[00:37:36.740 - 00:37:39.220] 支持批調生成秘交文案
[00:37:39.220 - 00:37:40.580] 途視頻
[00:37:40.580 - 00:37:43.020] 多去到去投放出大買家
[00:37:43.020 - 00:37:43.840] 12月
[00:37:43.840 - 00:37:46.300] AI賣口各新化定值功能上限
[00:37:46.300 - 00:37:48.820] 回復、循環、營銷性
[00:37:48.820 - 00:37:52.700] TM等的有將支持企業按照需求去做
[00:37:52.700 - 00:37:53.820] 各新化的定值
[00:37:53.820 - 00:37:55.860] 將AI的生存視調整的功能
[00:37:55.860 - 00:37:58.500] 會和我們想要的更加疲憐
[00:37:58.500 - 00:38:02.180] 這系列的AI功能也是為了轉工一向的提交上
[00:38:02.180 - 00:38:03.620] 去促進供一向橫牌
[00:38:03.620 - 00:38:07.970] 支援溝通的更好的體驗
[00:38:07.970 - 00:38:09.250] Mali就問
[00:38:09.250 - 00:38:12.410] 現場化的功能預計也是在10月上限
[00:38:12.410 - 00:38:14.330] 現在我們的支援產生處理
[00:38:14.330 - 00:38:15.890] 已經是完全現場化了
[00:38:15.890 - 00:38:16.610] 後續
[00:38:16.610 - 00:38:17.650] 供了上限以後
[00:38:17.650 - 00:38:18.610] 貿易就分
[00:38:18.610 - 00:38:20.930] 也將和支援產權處理一樣
[00:38:20.930 - 00:38:21.570] 將
[00:38:21.570 - 00:38:23.650] 再現場進行
[00:38:23.650 - 00:38:24.850] 再現場的流程
[00:38:24.850 - 00:38:25.890] 也會更加的
[00:38:25.890 - 00:38:27.170] 透明
[00:38:27.170 - 00:38:28.530] 變結規範
[00:38:28.530 - 00:38:31.730] 也能夠結約我們供一上的時間成分
[00:38:31.730 - 00:38:33.050] 供了上限以後
[00:38:33.050 - 00:38:35.090] 如果我們遇到貿易就分
[00:38:35.090 - 00:38:36.650] 可以及時關注
[00:38:36.650 - 00:38:39.010] BioLi的Mali就分投訴
[00:38:39.010 - 00:38:41.730] 並其實在Bio進行處理
[00:38:41.730 - 00:38:43.410] 操作的驗面
[00:38:43.410 - 00:38:45.090] 在這裡也給大家做了
[00:38:45.090 - 00:38:48.590] 截圖的預覽
[00:38:48.590 - 00:38:51.310] 天主環口也有一個小小的功能變化
[00:38:51.310 - 00:38:53.070] 預計是在11月中行
[00:38:53.070 - 00:38:55.470] 天主將增加帶回復對的
[00:38:55.470 - 00:38:58.310] 協助上加快速去失別
[00:38:58.310 - 00:38:59.550] 高
[00:38:59.550 - 00:39:00.910] 快速去失別
[00:39:00.910 - 00:39:02.590] 優質的買家
[00:39:02.590 - 00:39:03.950] 提升更進校的
[00:39:03.950 - 00:39:05.190] 大家可以看結讀
[00:39:05.190 - 00:39:07.230] 在買家對話框下面
[00:39:07.230 - 00:39:10.590] 會有一個帶回復的技術器
[00:39:10.590 - 00:39:12.630] 我們可以一眼看到
[00:39:12.630 - 00:39:13.430] 哪些消息
[00:39:13.430 - 00:39:14.830] 還沒有技術回復
[00:39:14.830 - 00:39:15.990] 功能上限以後
[00:39:15.990 - 00:39:16.870] 沒有回復
[00:39:16.870 - 00:39:17.830] 沒有回復的
[00:39:17.830 - 00:39:19.270] 就需要我們去
[00:39:19.270 - 00:39:22.630] 其實去給買家想應了
[00:39:22.630 - 00:39:25.030] 最後一個是11月的平台活動了
[00:39:25.030 - 00:39:27.630] 11月的活動還是比較豐富的
[00:39:27.630 - 00:39:28.470] 大顆上
[00:39:28.470 - 00:39:31.470] 有投部雙加的平台領航計畫
[00:39:31.470 - 00:39:33.470] 專門針對於優想以上的
[00:39:33.470 - 00:39:34.710] 大顆物去辦的活動
[00:39:34.710 - 00:39:35.790] 一年兩次
[00:39:35.790 - 00:39:36.830] 所以提醒一下
[00:39:36.830 - 00:39:38.590] 一定不要錯過了
[00:39:38.590 - 00:39:39.550] 小雨市場上
[00:39:39.550 - 00:39:41.390] 今年中國是當一直在做的是
[00:39:41.390 - 00:39:42.510] 新航海計畫
[00:39:42.510 - 00:39:44.190] 去幫助平台的科護去
[00:39:44.190 - 00:39:45.790] 托甲多元市場
[00:39:45.790 - 00:39:47.990] 11月舉辦的多元年中
[00:39:47.990 - 00:39:48.990] 採購勝點
[00:39:48.990 - 00:39:52.110] 就是新航海計畫中的其中一項
[00:39:52.110 - 00:39:53.150] 主要是在中國知道
[00:39:53.150 - 00:39:54.110] 在小雨戰艦
[00:39:54.110 - 00:39:56.750] 為大家去的產品去做推廣
[00:39:56.750 - 00:39:57.790] 西方行業上
[00:39:57.790 - 00:39:59.030] 有交通氣配
[00:39:59.030 - 00:40:00.150] 和消費電子
[00:40:00.150 - 00:40:03.390] 這兩個行業的專長的推廣活動
[00:40:03.390 - 00:40:04.910] 關注社交媒體推廣的
[00:40:04.910 - 00:40:07.390] 科護可以去報名參與11月的
[00:40:07.390 - 00:40:08.350] 社媒分享
[00:40:08.350 - 00:40:09.950] 平台賽的第二期
[00:40:09.950 - 00:40:11.870] 關注影響推廣的科護
[00:40:11.870 - 00:40:13.870] 可以去參與11月的
[00:40:13.870 - 00:40:15.070] 數字影響的
[00:40:15.070 - 00:40:15.950] 相關活動
[00:40:15.950 - 00:40:16.990] 會有更多的
[00:40:16.990 - 00:40:20.880] 福利和優惠給大家
[00:40:20.880 - 00:40:21.600] 好的
[00:40:21.600 - 00:40:23.200] 到這裡今天的課程
[00:40:23.200 - 00:40:24.560] 就接近為生了
[00:40:24.560 - 00:40:24.880] 最後
[00:40:24.880 - 00:40:25.120] 最後
[00:40:25.120 - 00:40:25.840] 注意大家
[00:40:25.840 - 00:40:27.120] 在中國知道網上
[00:40:27.120 - 00:40:29.200] 都能夠獲得理想的定單
[00:40:29.200 - 00:40:30.080] 謝謝各位
[00:40:30.080 - 00:40:30.880] 再見
