# 5.2025 年12月全网大讲堂

language=zh
language_probability=1.000
model=tiny

[00:00:02.060 - 00:00:06.140] 大家好,歡迎收看本次MIC全網大獎糖
[00:21:11.040 - 00:21:14.120] 我怎麼去判斷那些是最先需要修改的
[00:21:14.120 - 00:21:16.120] 那標準也給到大家
[00:21:16.120 - 00:21:18.080] 我們建議大家去修改
[00:21:18.080 - 00:21:20.780] 25年1月7號之後
[00:21:20.780 - 00:21:25.900] 新增或者說新修改的產品也就是說有一個時間現化分道給大家
[00:21:25.900 - 00:21:30.760] 大家去關注25年1月7號這個時間節點之後的產品
[00:21:31.020 - 00:21:33.840] 去優化這部分產品的重複情況就好了
[00:21:34.100 - 00:21:36.660] 第二個其實就是我們營銷利裡面的
[00:21:36.660 - 00:21:39.980] 即使回副率和平均回副時間這兩項指標
[00:21:39.980 - 00:21:43.320] 那今年我們會有兩個比較重要的變動
[00:21:43.320 - 00:21:46.380] 那在26年也是需要大家去關注的
[00:21:46.640 - 00:21:50.220] 首先是一些特定的賬戶類型不再考核了
[00:21:50.220 - 00:21:52.020] 也就是說我們之前會覺得
[00:21:52.020 - 00:21:54.320] 這類的商機是不需要我們跟進的
[00:21:54.320 - 00:21:56.120] 或者說比較低質的商機
[00:21:56.120 - 00:21:58.160] 那我們現在是不拿入考核了
[00:21:58.160 - 00:22:03.020] 主要包括在中國大陸注冊機使用的連線賬戶
[00:22:03.020 - 00:22:07.380] 也就是說如果有銅航的商家給你發銷時間鬧不想回
[00:22:07.380 - 00:22:09.180] 我們現在是可以不回副的
[00:22:09.180 - 00:22:11.740] 因為它已經不在影響機收回副率了
[00:22:11.740 - 00:22:14.100] 第二個就是被平台盛閣
[00:22:14.100 - 00:22:16.740] 判定為可以用戶的貢獻賬戶
[00:22:16.740 - 00:22:20.180] 也就是說買家在平台有一些一場行為
[00:22:20.180 - 00:22:23.500] 內心被平台盛閣判定為貢獻賬戶了
[00:22:23.500 - 00:22:25.900] 此類新鮮也不需要回副了
[00:22:25.900 - 00:22:29.900] 另外就是經過平台盛閣或山處的無效信息
[00:22:29.900 - 00:22:35.800] 以及我們商家擁有確早證據去報的認為比較低質的信息
[00:22:36.160 - 00:22:41.680] 第二個就是我們AID代現在是記錄了回副率和回副時間的計算
[00:22:41.680 - 00:22:46.540] 如果有AMIC的商家在開啟了AID代之後
[00:22:46.540 - 00:22:50.220] 如果我們在24小時之內去閱讀了
[00:22:50.220 - 00:22:55.360] 買家的小型AID的回副就會那入我們時機等回副數據
[00:22:55.360 - 00:22:57.320] 這個大家也是需要關注的
[00:22:57.320 - 00:22:59.160] 因為有一些商家會難規
[00:22:59.160 - 00:23:02.280] 我已經開了AID代怎麼回副率沒有計算呢?
[00:23:02.280 - 00:23:03.680] 那大家注意一下
[00:23:03.680 - 00:23:09.120] 在AID在開啟之後我們也是需要自己在去閱讀一下買家的小型
[00:23:09.120 - 00:23:14.080] 這就是我們兩項比較重要的關於公司商經濟相關的行動點
[00:23:14.080 - 00:23:17.520] 第三個其實我們最近已經有商家在關注到了
[00:23:17.520 - 00:23:20.720] 就是我們中國知道往首頁的這個BandleMu
[00:23:20.720 - 00:23:24.120] 我們現在是進行了千人千面的金準推薦
[00:23:24.120 - 00:23:29.200] 並且26年會不斷地強化相關的推薦機制
[00:23:29.200 - 00:23:34.280] 其實專題內的這種排剧都是一句買在的偏好去實現
[00:23:34.280 - 00:23:38.720] 只能排剧的呈現跟優質的商家和優質的產品
[00:23:38.720 - 00:23:41.160] 其實我們為什麼要做這個改動呢?
[00:23:41.160 - 00:23:46.360] 也是一句現有的數據和買家行為相關去進行升級的
[00:23:46.360 - 00:23:50.440] 我們這個新的千人千面專題上限之後
[00:23:50.440 - 00:23:54.560] 我們顏面的點擊率是提升了130%
[00:23:54.560 - 00:23:57.960] 商機的轉化率是提升了6%
[00:23:57.960 - 00:24:00.000] 這個數據是非常亮眼的
[00:24:00.000 - 00:24:02.600] 也和大家做一個簡單的解釋
[00:24:02.600 - 00:24:09.080] 我們之前的老專題他其實主要依賴的是買家蘇赫觀念詞進行展示的
[00:24:09.080 - 00:24:13.760] 大家也可以理解到這個展示我借他會比較單一
[00:24:13.760 - 00:24:19.120] 第二個是我們老專題基本上都是依賴商家報名人工去維護的
[00:24:19.120 - 00:24:20.600] 這就會有一個問題
[00:24:20.640 - 00:24:22.640] 專題的數量他是有限的
[00:24:22.640 - 00:24:26.000] 因為主要依賴商家報名客人工圍護
[00:24:26.000 - 00:24:31.600] 比如說我們同行業都是做這個飲料生產機械的商品
[00:24:31.600 - 00:24:35.640] 我們會有一些西芬品類有一些是做這種玻璃觀裝的
[00:24:35.640 - 00:24:38.360] 有一些可能是做這種指格觀裝的
[00:24:38.360 - 00:24:41.080] 我們會發現某一個指格觀裝的
[00:24:41.080 - 00:24:44.240] 這個商家是有相關的活動專題的
[00:24:44.240 - 00:24:47.080] 而做玻璃比觀裝的商家是沒有專題的
[00:24:47.080 - 00:24:51.040] 這個時候我們就會出現這些專題的相關的依賴
[00:24:51.040 - 00:24:55.200] 但是我們新的這種千人千面穿起上線之後
[00:24:55.200 - 00:24:58.560] 我們是進行了AI的個性華生產專題
[00:24:58.560 - 00:25:02.200] 所以我們生產的這個專題的信息會更海量
[00:25:02.200 - 00:25:05.800] 更全面能夠副蓋到更多行業的商家
[00:25:05.800 - 00:25:09.360] 第二個我們會根據買家的歷史行為
[00:25:09.360 - 00:25:12.440] 引起買家IP國家的熱點進行推薦
[00:25:12.440 - 00:25:16.920] 所以它實編買家精準性能力也在升級了
[00:25:16.920 - 00:25:18.760] 會更接近買家片號
[00:25:18.760 - 00:25:23.540] 所以它能夠進行商機轉化率的提升
[00:25:23.540 - 00:25:27.780] 我們了解完相關的長化了解完相關的
[00:25:27.780 - 00:25:31.620] 這個PPEG之後我們肯定想要持續去提升
[00:25:31.620 - 00:25:33.540] 我們商機轉化的上來
[00:25:33.540 - 00:25:35.580] 我們從幾個方面來解讀一下
[00:25:35.580 - 00:25:38.500] 2016年中國知道往的行為錄影
[00:25:38.500 - 00:25:41.220] 首先就是商機提出方面
[00:25:41.220 - 00:25:45.300] 因為前往我們會提到一些關於商機治量的法徽
[00:25:45.300 - 00:25:48.900] 其實2015年我們已經解決了一部分問題
[00:25:48.900 - 00:25:52.900] 也就是說我們近期上線的風險連既然相關的功能
[00:25:52.900 - 00:25:56.260] 那我們通過這種可以買家的打標
[00:25:56.260 - 00:25:59.140] 我們商家可以直接碳到一場買家
[00:25:59.140 - 00:26:01.540] 去降低我們和買家的輔助風險
[00:26:01.540 - 00:26:05.060] 同時平台通過相關的這種數據收集
[00:26:05.060 - 00:26:07.940] 也可以先撤到買家的一場行為
[00:26:07.940 - 00:26:09.980] 可以更快速的定位問題
[00:26:09.980 - 00:26:14.340] 將這種比較低制的一場行為的影像範圍降到最低
[00:26:14.340 - 00:26:18.700] 而且如果買家存在經查實的違規行為
[00:26:18.700 - 00:26:21.460] 比如說發送一些調於貨詐天性吸
[00:26:21.460 - 00:26:23.540] 除了標實的外顯之後
[00:26:23.540 - 00:26:25.460] 我們雙方也會限制了解
[00:26:25.460 - 00:26:27.300] 也就是說信息是發不了的
[00:26:27.300 - 00:26:29.940] 這樣就會降低我們可能會遇到一些
[00:26:29.940 - 00:26:32.060] 跨境電商詐騙相關的內容
[00:26:32.060 - 00:26:36.620] 在2016年其實我們會更加注重相關的這種內容
[00:26:36.620 - 00:26:39.820] 因為現有的問題買家的識別
[00:26:39.820 - 00:26:42.420] 主要是針對一些文販以及
[00:26:42.420 - 00:26:44.300] 它的一些遊鄉處測
[00:26:44.300 - 00:26:48.380] 那麼26年會對買家的語譯進行升級識別
[00:26:48.380 - 00:26:50.740] 比如說它發了一些影像網告
[00:26:50.740 - 00:26:52.700] 發了一些重複的內容
[00:26:52.700 - 00:26:55.020] 我們都會進行過綠和管控
[00:26:55.020 - 00:26:57.020] 而且上述的會付內容
[00:26:57.020 - 00:26:59.460] 不會在大陸會付綠的靠隔
[00:26:59.460 - 00:27:01.700] 去釋放一下我們商家的經歷
[00:27:01.700 - 00:27:04.940] 去讓我們跟進更優質的相機
[00:27:04.940 - 00:27:06.700] 提升我們的跟進效率
[00:27:08.200 - 00:27:12.200] 第二個就是我們天空溝通提效相關的一些內容
[00:27:12.200 - 00:27:14.900] 其實我們可以看左側的圖表
[00:27:14.900 - 00:27:17.700] 可以看到天買家增長趨勢
[00:27:17.700 - 00:27:19.800] 可以反饋出我們其實
[00:27:19.800 - 00:27:24.200] 2020年11月對比我們2020年初
[00:27:24.200 - 00:27:27.700] 中國知道往天買家數已經增長了100%
[00:27:27.700 - 00:27:31.380] 那買家數的計算也會導致平台天在下
[00:27:31.380 - 00:27:33.380] 台灣亮了的快速增長
[00:27:33.380 - 00:27:36.380] 同時我們商家也會面臨一些問題
[00:27:36.380 - 00:27:39.380] 比如說買家資訊沒能及時散音的壓力
[00:27:39.380 - 00:27:42.380] 買家等待時間延長淺在上機流失等的
[00:27:42.380 - 00:27:46.380] 那為了幫助我們商家去高校面接的跟進商機
[00:27:46.380 - 00:27:51.380] 其實我們在2016年已經上下了非常多天相關的功能
[00:27:51.380 - 00:27:53.380] 我們這邊先來回顧一下
[00:27:53.380 - 00:27:57.380] 首先就是最近的天帶回顧對列上限
[00:27:57.380 - 00:28:01.380] 因為這個對列其實也收到我們各位商的一些反饋
[00:28:01.380 - 00:28:04.380] 比如說有阻止張號天回覆不通
[00:28:04.380 - 00:28:08.380] 主張部已經替此張部回覆過門買家
[00:28:08.380 - 00:28:13.380] 但是在此張部的頁面買家依舊有等待時長的標誌
[00:28:13.380 - 00:28:16.380] 第二個是我們當天已經回覆過的買家
[00:28:16.380 - 00:28:18.380] 又有新的上機進入
[00:28:18.380 - 00:28:22.380] 那這個時候相關的在線等待的時長又會外寫
[00:28:22.380 - 00:28:25.380] 我們在門會員朋友們的這些聲音打開我們都收到
[00:28:25.380 - 00:28:28.380] 並且會在2016年安排主義的優化
[00:28:28.380 - 00:28:31.380] 第二個就是天的自動回覆升級
[00:28:31.380 - 00:28:33.380] 大家可以現在去看一下
[00:28:33.380 - 00:28:35.380] 我們關於天的自動回覆
[00:28:35.380 - 00:28:36.380] 顏面的一些配置
[00:28:36.380 - 00:28:40.380] 我們現在能夠去展示商品的一些視頻
[00:28:40.380 - 00:28:41.380] 一些內容也就是說
[00:28:41.380 - 00:28:44.380] 我們都展示維度相比於之前的列街展示
[00:28:44.380 - 00:28:46.380] 它會跟風扶
[00:28:46.380 - 00:28:49.380] 並且平台經過大數據時別
[00:28:49.380 - 00:28:53.380] 大家推薦一些更試配當型行業買家的精選
[00:28:53.380 - 00:28:56.380] FQ 並且我們現在團隊的這話數
[00:28:56.380 - 00:28:58.380] 也都是可以供用今天寫調的
[00:28:58.380 - 00:29:00.380] 第二個就是天
[00:29:00.380 - 00:29:03.380] 天明線提醒有見已經上線了
[00:29:03.380 - 00:29:06.380] 也就是說我們的商家朋友在你先裝太下
[00:29:06.380 - 00:29:09.380] 我們會進行有件推送去提醒大家
[00:29:09.380 - 00:29:11.380] 上線和買家溝通差彈
[00:29:11.380 - 00:29:12.380] 當然了
[00:29:12.380 - 00:29:15.380] 為了第一名我們這個有見過多去打擾大家
[00:29:15.380 - 00:29:18.380] 我們現在會限制每天三封提醒的
[00:29:18.380 - 00:29:20.380] 這樣一個門看
[00:29:20.380 - 00:29:23.380] 也是在保證大家能夠集實
[00:29:23.380 - 00:29:26.380] 接到商機的貨成中又不被貨肚的打擾
[00:29:26.380 - 00:29:29.380] 第四個就是買家
[00:29:29.380 - 00:29:31.380] 網客長會員升級天上機融合
[00:29:31.380 - 00:29:33.380] 那主要是為了避免買家
[00:29:33.380 - 00:29:35.380] 分別以訪客的狀態
[00:29:35.380 - 00:29:38.380] 以及會員的狀態去發貿商機
[00:29:38.380 - 00:29:40.380] 導致共一商跟進混亂
[00:29:40.380 - 00:29:43.380] 所以我們會在天明去鼓勵符合條件的買家
[00:29:43.380 - 00:29:44.380] 升級會員
[00:29:44.380 - 00:29:47.380] 並自動融合買家升級前後的商機
[00:29:47.380 - 00:29:51.380] 那就是25年我們在天端做的一些工作
[00:29:51.380 - 00:29:56.380] 那26年我們會進行以下方面的這個優化
[00:29:56.380 - 00:30:01.380] 主要是讓大家讓我們商家和買家的信息感
[00:30:01.380 - 00:30:03.380] 只會跟透明溝通會跟即使
[00:30:03.380 - 00:30:05.380] 首先手線手門剛剛提到的
[00:30:05.380 - 00:30:08.380] 關於天明到有課轉會員
[00:30:08.380 - 00:30:11.380] 這方面我們會跟大家去大力的推動
[00:30:11.380 - 00:30:13.380] 我們會在大力的商觀的功能時事
[00:30:13.380 - 00:30:16.380] 也就是說讓進來的買家能夠注冊
[00:30:16.380 - 00:30:18.380] 為會員去幫助我們商家
[00:30:18.380 - 00:30:21.380] 將有質量的商機更好的流存下來
[00:30:21.380 - 00:30:24.380] 第二個功能也就是大家之前一直在反會
[00:30:24.380 - 00:30:27.380] 不生很高的天明就外顯消息
[00:30:27.380 - 00:30:29.380] 以毒未度的標實
[00:30:29.380 - 00:30:32.380] 那我們現在循盤在發見相
[00:30:32.380 - 00:30:35.380] 使用買家以毒買家未度兩個對列的
[00:30:35.380 - 00:30:37.380] 通過以毒和未度的對列
[00:30:37.380 - 00:30:40.380] 我們可以更好的去跟進買家
[00:30:40.380 - 00:30:45.380] 現在我們在2016年天端也即將上線相關的標實
[00:30:45.380 - 00:30:47.380] 針對以毒不回的買家
[00:30:47.380 - 00:30:50.380] 我們可以想一下是不是自己的回復內容
[00:30:50.380 - 00:30:52.380] 溝通內容還有在提升
[00:30:52.380 - 00:30:54.380] 沒有出幾到買家的需求點
[00:30:54.380 - 00:30:55.380] 雖然越獨了
[00:30:55.380 - 00:30:56.380] 但是沒有回復我們
[00:30:56.380 - 00:30:58.380] 針對未度的買家
[00:30:58.380 - 00:31:00.380] 我們可以想一下是不是信息
[00:31:00.380 - 00:31:01.380] 出達不到位
[00:31:01.380 - 00:31:02.380] 買家沒有看到我們的信息
[00:31:02.380 - 00:31:04.380] 在進行其他方式的背鑑
[00:31:04.380 - 00:31:05.380] 二次根進
[00:31:05.380 - 00:31:08.380] 通過這個標實的外界
[00:31:08.380 - 00:31:10.380] 也是幫助我們信息跟透明
[00:31:10.380 - 00:31:12.380] 去提高我們商家
[00:31:12.380 - 00:31:14.380] 跟進買家的效率
[00:31:14.380 - 00:31:16.380] 去提高我們商家商棄長化的效能
[00:31:16.380 - 00:31:19.380] 第三個就是天搜索功能升級
[00:31:19.380 - 00:31:21.380] 但它會支持搜索了
[00:31:21.380 - 00:31:23.380] 聊天內容等詳細信息
[00:31:23.380 - 00:31:25.380] 比如說我們有一些
[00:31:25.380 - 00:31:27.380] 信息有一些對買家的信息
[00:31:27.380 - 00:31:29.380] 不是特別明確
[00:31:29.380 - 00:31:30.380] 我們只記得大概的印象
[00:31:30.380 - 00:31:32.380] 好像和他在聊天內容有提到
[00:31:32.380 - 00:31:33.380] 過
[00:31:33.380 - 00:31:35.380] 當前天不是不知識的
[00:31:35.380 - 00:31:36.380] 但是在2016年
[00:31:36.380 - 00:31:38.380] 我們會進行搜索功能的升級
[00:31:38.380 - 00:31:40.380] 讓大家的操作跟面結
[00:31:40.380 - 00:31:42.380] 第四個是天
[00:31:42.380 - 00:31:44.380] 共一商在現展是規則的優化
[00:31:44.380 - 00:31:46.380] 並且引到買家優先
[00:31:46.380 - 00:31:48.380] 與當前在現的
[00:31:48.380 - 00:31:50.380] 這個共一商進行實施差談
[00:31:50.380 - 00:31:51.380] 也就是說
[00:31:51.380 - 00:31:53.380] 我們在2016年去
[00:31:53.380 - 00:31:56.380] 新增這樣一個類似集實接待的
[00:31:56.380 - 00:31:57.380] 其心卡片
[00:31:57.380 - 00:31:59.380] 在正常的工作時間
[00:31:59.380 - 00:32:00.380] 如果買家
[00:32:00.380 - 00:32:03.380] 訪問了商家的產品商經驗
[00:32:03.380 - 00:32:04.380] 商家的正好
[00:32:04.380 - 00:32:06.380] 具備具備接待並且
[00:32:06.380 - 00:32:07.380] 當前是在現的
[00:32:07.380 - 00:32:09.380] 我們顏面會自動談出
[00:32:09.380 - 00:32:10.380] 接待的卡片
[00:32:10.380 - 00:32:12.380] 主動去邀請買家
[00:32:12.380 - 00:32:13.380] 發起實施的溝通
[00:32:13.380 - 00:32:14.380] 也就是說
[00:32:14.380 - 00:32:16.380] 平台去幫商家做一個
[00:32:16.380 - 00:32:17.380] 買家的飲料
[00:32:17.380 - 00:32:18.380] 讓他更快
[00:32:18.380 - 00:32:19.380] 或跟辯結的
[00:32:19.380 - 00:32:21.380] 後我們進行在現的溝通
[00:32:21.380 - 00:32:24.750] 第三個方面
[00:32:24.750 - 00:32:25.750] 其實也是
[00:32:25.750 - 00:32:26.750] A.A.方向的變化
[00:32:26.750 - 00:32:27.750] 用在一開始
[00:32:27.750 - 00:32:28.750] 有提到
[00:32:28.750 - 00:32:29.750] A.A.A.當下的
[00:32:29.750 - 00:32:30.750] 一個風口
[00:32:30.750 - 00:32:31.750] 我們為了視配
[00:32:31.750 - 00:32:33.750] 當下的A.A.A.去世
[00:32:33.750 - 00:32:34.750] 我們會做
[00:32:34.750 - 00:32:35.750] 像買家餐的
[00:32:35.750 - 00:32:36.750] SOSI-A.A.A.A.A.A.A.
[00:32:36.750 - 00:32:37.750] 二點的工具
[00:32:37.750 - 00:32:38.750] 在商家餐
[00:32:38.750 - 00:32:39.750] 我們會加
[00:32:39.750 - 00:32:40.750] A.A.A.A.A.A.
[00:32:40.750 - 00:32:41.750] 可以融入到
[00:32:41.750 - 00:32:42.750] 我們的大型彩虧活動
[00:32:42.750 - 00:32:43.750] 超級帥的集中
[00:32:43.750 - 00:32:45.750] 其實在轉化層面
[00:32:45.750 - 00:32:46.750] 我們經過
[00:32:46.750 - 00:32:48.750] 幾乎的一些
[00:32:48.750 - 00:32:49.750] 瑜伽理解
[00:32:49.750 - 00:32:50.750] 我們其實會對
[00:32:50.750 - 00:32:51.750] 產品商經驗
[00:32:51.750 - 00:32:52.750] 在2016年
[00:32:52.750 - 00:32:54.750] 有一個比較重要的升級
[00:32:54.750 - 00:32:55.750] 我們今年
[00:32:55.750 - 00:32:56.750] 其實上限的
[00:32:56.750 - 00:32:57.750] 幾乎助手
[00:32:57.750 - 00:32:58.750] 主要是幫助大家去
[00:32:58.750 - 00:32:59.750] 幻動的一戰
[00:32:59.750 - 00:33:01.750] 相信有一部分商家
[00:33:01.750 - 00:33:02.750] 已經開始使用
[00:33:02.750 - 00:33:03.750] 這個工具了
[00:33:03.750 - 00:33:04.750] 2006年
[00:33:04.750 - 00:33:05.750] 我們會將
[00:33:05.750 - 00:33:06.750] 集優相會的
[00:33:06.750 - 00:33:07.750] 那種
[00:33:07.750 - 00:33:08.750] 直接引入到
[00:33:08.750 - 00:33:09.750] 中國知道
[00:33:09.750 - 00:33:10.750] 當中
[00:33:10.750 - 00:33:11.750] 也就是說做一個
[00:33:11.750 - 00:33:12.750] 產商業的視配
[00:33:12.750 - 00:33:13.750] 主要是兩方向
[00:33:13.750 - 00:33:14.750] 首先
[00:33:14.750 - 00:33:15.750] 我們商家去操心
[00:33:15.750 - 00:33:16.750] 有我們平台
[00:33:16.750 - 00:33:18.750] 直接去做的工作
[00:33:18.750 - 00:33:19.750] 是平台
[00:33:19.750 - 00:33:20.750] 會從
[00:33:20.750 - 00:33:21.750] 以層代碼的角度
[00:33:21.750 - 00:33:22.750] 去優化
[00:33:22.750 - 00:33:23.750] 產品商經驗的
[00:33:23.750 - 00:33:24.750] 加構提升A.A.A.A.A.
[00:33:24.750 - 00:33:25.750] 有好多
[00:33:25.750 - 00:33:26.750] 並且我們會通過
[00:33:26.750 - 00:33:27.750] A.A.A.工具
[00:33:27.750 - 00:33:28.750] 只能優化
[00:33:28.750 - 00:33:30.750] 存量產品商經驗
[00:33:30.750 - 00:33:31.750] 也就是說
[00:33:31.750 - 00:33:32.750] 以發布的
[00:33:32.750 - 00:33:33.750] 這部分產品產品商經驗
[00:33:33.750 - 00:33:34.750] 並且
[00:33:34.750 - 00:33:35.750] 我們會會
[00:33:35.750 - 00:33:36.750] 會會商家提供
[00:33:36.750 - 00:33:38.750] GIOUS
[00:33:38.750 - 00:33:39.750] 有化思路
[00:33:39.750 - 00:33:40.750] 那商家
[00:33:40.750 - 00:33:41.750] 撤要做的工作
[00:33:41.750 - 00:33:42.750] 是什麼呢
[00:33:42.750 - 00:33:43.750] 我們存量的產品
[00:33:43.750 - 00:33:44.750] 有平台
[00:33:44.750 - 00:33:45.750] 放我們有化
[00:33:45.750 - 00:33:46.750] 但是我們在
[00:33:46.750 - 00:33:48.750] 新發產品
[00:33:48.750 - 00:33:50.750] 是需要根據平台提供的
[00:33:50.750 - 00:33:52.750] GIOUS
[00:33:52.750 - 00:33:53.750] 有化的
[00:33:53.750 - 00:33:54.750] 跟銀河
[00:33:54.750 - 00:33:55.750] A.A.A.A.A.A.A.A.A.A
[00:33:55.750 - 00:33:57.750] 會做的產品
[00:33:57.750 - 00:33:58.750] 也就是說
[00:33:58.750 - 00:34:00.750] 我們也希望從平台提供
[00:34:00.750 - 00:34:01.750] 抓手
[00:34:01.750 - 00:34:02.750] 然後我們商家去
[00:34:02.750 - 00:34:03.750] 是以歸走
[00:34:03.750 - 00:34:04.750] 我們能夠一起去
[00:34:04.750 - 00:34:05.750] 長載
[00:34:05.750 - 00:34:07.750] SOSO收入的新活力
[00:34:07.750 - 00:34:10.350] 我們了解
[00:34:10.350 - 00:34:11.350] 前三部分之後
[00:34:11.350 - 00:34:12.350] 我們可以再看一下
[00:34:12.350 - 00:34:13.350] 我們關於
[00:34:13.350 - 00:34:16.350] 商家培餘方面的一些內容
[00:34:17.350 - 00:34:18.350] 其實
[00:34:18.350 - 00:34:19.350] 有的時候
[00:34:19.350 - 00:34:20.350] 我們商家也
[00:34:20.350 - 00:34:21.350] 非常想了解
[00:34:21.350 - 00:34:23.350] 平台的一些動台歸走
[00:34:23.350 - 00:34:24.350] 非常非常
[00:34:24.350 - 00:34:25.350] 非常想去配合平台的
[00:34:25.350 - 00:34:26.350] 一些原因
[00:34:26.350 - 00:34:27.350] 但是總是
[00:34:27.350 - 00:34:28.350] 會有一些問題
[00:34:28.350 - 00:34:29.350] 其實
[00:34:29.350 - 00:34:30.350] 我們在2016年
[00:34:30.350 - 00:34:31.350] 會更加特種
[00:34:31.350 - 00:34:33.350] 對於商家的一些
[00:34:33.350 - 00:34:34.350] 知識的復難
[00:34:34.350 - 00:34:35.350] 其實2015年
[00:34:35.350 - 00:34:36.350] 我們在做的
[00:34:36.350 - 00:34:37.350] 有兩部分
[00:34:37.350 - 00:34:38.350] 相信有一些
[00:34:38.350 - 00:34:39.350] 剛簽約
[00:34:39.350 - 00:34:40.350] 中國知道
[00:34:40.350 - 00:34:41.350] 或者說對活動
[00:34:41.350 - 00:34:42.350] 比較關注的
[00:34:42.350 - 00:34:43.350] 商家已經參加過了
[00:34:43.350 - 00:34:44.350] 首先
[00:34:44.350 - 00:34:45.350] 說我們的
[00:34:45.350 - 00:34:46.350] 新手旗航活動
[00:34:46.350 - 00:34:48.350] 針對的是
[00:34:48.350 - 00:34:49.350] 靈智二星的
[00:34:49.350 - 00:34:50.350] 低星共一商
[00:34:50.350 - 00:34:51.350] 也就是說
[00:34:51.350 - 00:34:52.350] 我們共一商星集
[00:34:52.350 - 00:34:53.350] 比較低的
[00:34:53.350 - 00:34:54.350] 這個會員朋友
[00:34:54.350 - 00:34:55.350] 可以參加
[00:34:55.350 - 00:34:56.350] 我們的新手旗航活動
[00:34:56.350 - 00:34:58.350] 我們新手旗航是
[00:34:58.350 - 00:34:59.350] 有運營專門的
[00:34:59.350 - 00:35:00.350] 維啟21天的
[00:35:00.350 - 00:35:01.350] 起為群
[00:35:01.350 - 00:35:02.350] 來起為群眾
[00:35:02.350 - 00:35:03.350] 有我們中國知道
[00:35:03.350 - 00:35:04.350] 專業的
[00:35:04.350 - 00:35:05.350] 平台運營
[00:35:05.350 - 00:35:06.350] 也有一些
[00:35:06.350 - 00:35:07.350] 在中國知道
[00:35:07.350 - 00:35:08.350] 網運營上
[00:35:08.350 - 00:35:09.350] 非常有心得的
[00:35:09.350 - 00:35:11.350] 五星共一商的商家
[00:35:11.350 - 00:35:13.350] 他們會一起
[00:35:13.350 - 00:35:14.350] 陪問我們的新手
[00:35:14.350 - 00:35:15.350] 在這個群內
[00:35:15.350 - 00:35:16.350] 時間
[00:35:16.350 - 00:35:17.350] 從領導的不局
[00:35:17.350 - 00:35:18.350] 那我們裡面
[00:35:18.350 - 00:35:19.350] 會有一些知識的復難
[00:35:19.350 - 00:35:21.350] 我們會提供一些
[00:35:21.350 - 00:35:22.350] 課程的解讀
[00:35:22.350 - 00:35:23.350] 會提供一些
[00:35:23.350 - 00:35:25.350] 實際的操作的
[00:35:25.350 - 00:35:27.350] 我們會提供一些
[00:35:27.350 - 00:35:29.350] 相關的
[00:35:29.350 - 00:35:30.350] 成長有講的活動
[00:35:30.350 - 00:35:31.350] 比如說
[00:35:31.350 - 00:35:32.350] 我們新集的提升
[00:35:32.350 - 00:35:33.350] 我們這個規則的
[00:35:33.350 - 00:35:34.350] 是譬如大家
[00:35:34.350 - 00:35:35.350] 一些關於
[00:35:35.350 - 00:35:36.350] 基本的獎勵
[00:35:36.350 - 00:35:36.390] 但
[00:35:36.390 - 00:35:37.350] 即方可以給大家
[00:35:37.350 - 00:35:38.350] 對換到一些
[00:35:38.350 - 00:35:39.350] 中國知道
[00:35:39.350 - 00:35:40.350] 網民
[00:35:40.350 - 00:35:41.350] 飛到網絡圈
[00:35:41.350 - 00:35:42.350] 跟大家去使用
[00:35:42.350 - 00:35:43.350] 除了新客之外
[00:35:43.350 - 00:35:44.350] 我們肯定
[00:35:44.350 - 00:35:45.350] 還有一些
[00:35:45.350 - 00:35:46.350] 在平台運營上
[00:35:46.350 - 00:35:47.350] 已經非常有心得
[00:35:47.350 - 00:35:48.350] 運的比较好的
[00:35:48.350 - 00:35:49.350] 商家
[00:35:49.350 - 00:35:50.350] 但是想進階
[00:35:50.350 - 00:35:51.350] 到沒有專門的
[00:35:51.350 - 00:35:52.350] 高手經濟活動
[00:35:52.350 - 00:35:53.350] 那我們會
[00:35:53.350 - 00:35:54.350] 出去一些
[00:35:54.350 - 00:35:55.350] 我們會提供
[00:35:55.350 - 00:35:56.350] 幫助大家
[00:35:56.350 - 00:35:58.350] 實現對平台
[00:35:58.350 - 00:35:59.350] 規則的深入理解
[00:35:59.350 - 00:36:00.350] 幫助大家
[00:36:00.350 - 00:36:02.350] 從領到NGUSH
[00:36:02.350 - 00:36:04.350] 如果我們進行
[00:36:04.350 - 00:36:05.350] 新新新新的提升
[00:36:05.350 - 00:36:06.350] 比如說
[00:36:06.350 - 00:36:07.350] 我們上個月
[00:36:07.350 - 00:36:08.350] 新集是三星
[00:36:08.350 - 00:36:09.350] 本月提升到
[00:36:09.350 - 00:36:10.350] 四星
[00:36:10.350 - 00:36:11.350] 或者說我們一直一直
[00:36:11.350 - 00:36:12.350] 維持在五星
[00:36:12.350 - 00:36:13.350] 當我們中國這張活動
[00:36:13.350 - 00:36:14.350] 可以入住到
[00:36:14.350 - 00:36:16.350] 我們的新集專區
[00:36:16.350 - 00:36:17.350] 也能夠進行
[00:36:17.350 - 00:36:19.350] 羅外的這種復光一流
[00:36:19.350 - 00:36:20.350] 先說起行
[00:36:20.350 - 00:36:21.350] 和高手經濟
[00:36:21.350 - 00:36:23.350] 都是我們在2015年
[00:36:23.350 - 00:36:24.350] 參加過的商家
[00:36:24.350 - 00:36:25.350] 感興趣的話
[00:36:25.350 - 00:36:26.350] 那我們也可以
