# 新课抢先学_5. 参展攻略（下）

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:07.250] 我们再看后面两位
[00:15:30.300 - 00:15:31.300] 你真的能为这种小的
[00:15:31.300 - 00:15:32.300] 这个量能接我
[00:15:32.300 - 00:15:33.300] 这个定单吗
[00:15:33.300 - 00:15:35.300] 你真的能打了这样的价格吗
[00:15:35.300 - 00:15:36.300] 因为我现在真的是
[00:15:36.300 - 00:15:37.300] 十五个开发节段
[00:15:37.300 - 00:15:39.300] 我一带量大的话
[00:15:39.300 - 00:15:41.300] 我真的是会很感谢你的
[00:15:41.300 - 00:15:42.300] 所以说我当时
[00:15:42.300 - 00:15:44.300] 就觉得可以做
[00:15:44.300 - 00:15:46.300] 和老板特出身体
[00:15:46.300 - 00:15:48.300] 然后苹果了一下通常的生产
[00:15:48.300 - 00:15:50.300] 那觉得应该问题不大
[00:15:50.300 - 00:15:52.300] 所以这个时候我答应了
[00:15:52.300 - 00:15:56.300] 他这个时候他觉得我是客户的
[00:15:56.300 - 00:15:58.300] 回到跨来带
[00:15:58.300 - 00:16:00.300] 我又回到第七个问题
[00:16:00.300 - 00:16:02.300] 你的跨来带到底
[00:16:02.300 - 00:16:04.300] 你对你产品的认知有多深
[00:16:04.300 - 00:16:06.300] 你对你的产品的认知
[00:16:06.300 - 00:16:09.300] 联部能打到公产认知的深度
[00:16:09.300 - 00:16:11.300] 你对你的产品的描述
[00:16:11.300 - 00:16:14.300] 你知不知道他的生产的公益的问题
[00:16:14.300 - 00:16:18.300] 或者是他的购物差能控制在多少
[00:16:18.300 - 00:16:21.300] 这些把每一个细节说出来
[00:16:21.300 - 00:16:23.300] 具体化之后
[00:16:23.300 - 00:16:28.300] 你的跨的体就不仅仅是顾得了
[00:16:28.300 - 00:16:31.300] 以家所有顾得具体化了
[00:16:31.300 - 00:16:33.300] 别人会觉得
[00:16:33.300 - 00:16:35.300] 你的顾得是可以很良的
[00:16:35.300 - 00:16:37.300] 可以看得见的
[00:16:37.300 - 00:16:40.300] 所以这个是非常的重要的
[00:16:40.300 - 00:16:42.300] 第二个就是
[00:16:42.300 - 00:16:45.300] 这个供应商很多时候
[00:16:45.300 - 00:16:48.300] 核心在于为什么要选靠谱的
[00:16:48.300 - 00:16:50.300] 因为供应商是不能出问题的
[00:16:50.300 - 00:16:53.300] 出了问题就会非常的麻烦
[00:16:53.300 - 00:16:55.300] 因为深意
[00:16:55.300 - 00:16:56.300] 特别网网深意
[00:16:56.300 - 00:16:59.300] 他网网都一般不一斤仅仅仅仅
[00:16:59.300 - 00:17:00.300] 但是金销
[00:17:00.300 - 00:17:03.300] 他有可能是中端客户局
[00:17:03.300 - 00:17:04.300] 是申请什么项目
[00:17:04.300 - 00:17:07.300] 所以网网身意是一个身意
[00:17:07.300 - 00:17:08.300] 接着一个身意
[00:17:08.300 - 00:17:10.300] 他的身意面是串起来的
[00:17:10.300 - 00:17:16.940] 我是教你老师
[00:17:16.940 - 00:17:18.940] 朋友和大家见面
[00:17:18.940 - 00:17:20.940] 上唐客了
[00:17:20.940 - 00:17:22.940] 我们简单地讲了一下
[00:17:22.940 - 00:17:24.940] 就是在展会当中
[00:17:24.940 - 00:17:27.940] 我们这些计较
[00:17:27.940 - 00:17:30.940] 参战当中的一些计较
[00:17:30.940 - 00:17:31.940] 那么
[00:17:31.940 - 00:17:33.940] 包括一些计较的地方
[00:17:33.940 - 00:17:37.940] 我希望对大家都有所帮助
[00:17:37.940 - 00:17:38.940] 那么
[00:17:38.940 - 00:17:39.940] 好
[00:17:39.940 - 00:17:40.940] 你到这场客
[00:17:40.940 - 00:17:42.940] 就是光有计场来说
[00:17:42.940 - 00:17:44.940] 就原原不够的
[00:17:44.940 - 00:17:46.940] 因为我们不仅要有计较
[00:17:46.940 - 00:17:48.940] 要更加的熟练
[00:17:48.940 - 00:17:50.940] 要更加的去高校的去参加展会
[00:17:50.940 - 00:17:51.940] 那么
[00:17:51.940 - 00:17:52.940] 这一场客
[00:17:52.940 - 00:17:54.940] 我就和大家讨论一下
[00:17:54.940 - 00:17:56.940] 如何高校的参加展会
[00:17:57.940 - 00:17:59.940] 那么在高校参加展会当中
[00:17:59.940 - 00:18:01.940] 我分为了三块
[00:18:01.940 - 00:18:03.940] 第一块是最重要的
[00:18:03.940 - 00:18:06.940] 就是一个如何和玉月好的客户
[00:18:06.940 - 00:18:08.940] 进行一个谈判
[00:18:08.940 - 00:18:09.940] 第二块就是
[00:18:09.940 - 00:18:12.940] 如何高校的利用展会时间
[00:18:12.940 - 00:18:16.940] 第三个就是展会的一些其他的计较
[00:18:16.940 - 00:18:17.940] 我做一个补充
[00:18:17.940 - 00:18:21.940] 大的话希望对大家能够有所帮助
[00:18:21.940 - 00:18:24.940] 第一块就是如何和玉月好的客户谈判
[00:18:24.940 - 00:18:26.940] 什么叫玉月好的客户人
[00:18:26.940 - 00:18:29.940] 这样的客户是在你来展会之前
[00:18:29.940 - 00:18:32.940] 你们通过一面或者之一
[00:18:32.940 - 00:18:36.940] 通过电话就约定好的这次展会要见面
[00:18:36.940 - 00:18:38.940] 大家要见面
[00:18:38.940 - 00:18:40.940] 这个显得是非常的认识的
[00:18:40.940 - 00:18:43.940] 快速的地上的自己的明片
[00:18:43.940 - 00:18:44.940] 然后
[00:18:44.940 - 00:18:47.940] 给零的在请领导
[00:18:47.940 - 00:18:51.940] 地名片
[00:18:51.940 - 00:18:55.940] 那么快速的地上字一明片
[00:18:55.940 - 00:18:58.940] 为什么要先自己地名片呢
[00:18:58.940 - 00:19:03.940] 自己地名片的话是因为自己的明片
[00:19:03.940 - 00:19:05.940] 先拿出来给客户
[00:19:05.940 - 00:19:07.940] 客户在何你写有件
[00:19:07.940 - 00:19:09.940] 记住你是谁
[00:19:09.940 - 00:19:11.940] 他要见的是谁
[00:19:11.940 - 00:19:15.940] 所以在一个时候你先把你自己的名字亮出来
[00:19:15.940 - 00:19:18.940] 客户觉得我认识这个人
[00:19:18.940 - 00:19:21.940] 我至少会有一个熟悉感
[00:19:21.940 - 00:19:23.940] 有个亲切感
[00:19:23.940 - 00:19:26.940] 那么这下子那么一下子呢
[00:19:26.940 - 00:19:28.940] 容易和客户拉近距离
[00:19:28.940 - 00:19:31.940] 然后在请领导地名片
[00:19:31.940 - 00:19:33.940] 请领导地名片说明了
[00:19:33.940 - 00:19:36.940] 我们有上层的这个领导关系
[00:19:36.940 - 00:19:38.940] 我们的谈话与交流
[00:19:38.940 - 00:19:41.940] 那么所以我们企业会拿出最好的一面
[00:19:41.940 - 00:19:43.940] 和你在这上面
[00:19:43.940 - 00:19:47.940] 一个体现了一个对客户的争动
[00:19:47.940 - 00:19:48.940] 这个时候
[00:19:48.940 - 00:19:51.940] 所以说你这个地上自己名片的时候
[00:19:51.940 - 00:19:53.940] 要保持了自信和微笑
[00:19:53.940 - 00:19:56.940] 而不认要像领导信让充上去
[00:19:56.940 - 00:19:59.940] 那么这会感染人觉得感觉
[00:19:59.940 - 00:20:02.940] 所以在咋回到其实你是那个充分病
[00:20:02.940 - 00:20:05.940] 领导就是那个酱和蒜
[00:20:05.940 - 00:20:08.940] 那么它在后面做这个指揮和板控
[00:20:08.940 - 00:20:11.940] 到了第三步就是简单的寒血
[00:20:11.940 - 00:20:13.940] 发明引入政体
[00:20:13.940 - 00:20:16.940] 在任何的商业场合当中
[00:20:16.940 - 00:20:19.940] 一上来谈正式其实是不太方便的
[00:20:19.940 - 00:20:24.940] 除非客户主动一上来就谈正式
[00:20:24.940 - 00:20:27.940] 那么在这样的情况下很多的时候
[00:20:27.940 - 00:20:30.940] 我们要去有一个简单的寒血
[00:20:30.940 - 00:20:33.940] 比如说你这样的这些光展会光的怎么样
[00:20:33.940 - 00:20:35.940] 那也不来你是从
[00:20:35.940 - 00:20:39.940] 它如果是也是从国其他国家来一个另一个国家的
[00:20:39.940 - 00:20:42.940] 不知道你的女屠辛苦不辛苦
[00:20:42.940 - 00:20:46.940] 你在这边有多少时间或者你直接更加了
[00:20:46.940 - 00:20:47.940] 你之前来过这儿吗
[00:20:47.940 - 00:20:50.940] 你之前来过参加过这个展会吗
[00:20:50.940 - 00:20:54.940] 我们是第一次来什么忠续还不认很清楚
[00:20:54.940 - 00:20:57.940] 以后还请你多多忙忙 做多提醒
[00:20:57.940 - 00:21:00.940] 这样的话是一些简单的寒血
[00:21:00.940 - 00:21:02.940] 有了这样的简单的寒血之后
[00:21:02.940 - 00:21:04.940] 抱一点家床之后
[00:21:04.940 - 00:21:08.940] 你这样在引入政体更加的舒适
[00:21:08.940 - 00:21:14.820] 就像是有一次我依然记得有一次我的领导去美国参加展会
[00:21:15.340 - 00:21:19.700] 他第一下来到了废城 他跟那个客户前的客户说
[00:21:20.460 - 00:21:25.840] 我上次来废城大概是五六里点钱了 我发现废城的变化其实并不大
[00:21:26.340 - 00:21:29.940] 感觉美国的变化没有中国那么迅速和迅往
[00:21:30.440 - 00:21:31.980] 没有那么突然
[00:21:32.240 - 00:21:36.340] 那么一下子的客户也是对中国有一个基础了了解
[00:21:36.540 - 00:21:37.740] 你客就介绍对
[00:21:37.940 - 00:21:40.440] 对呀美国相对发展已经成熟了
[00:21:40.700 - 00:21:45.740] 那么所以说他的亲的建设不会基础建设不会那么快那么多
[00:21:46.140 - 00:21:47.540] 然后他会吐槽一些
[00:21:47.860 - 00:21:51.820] 那么给他大家两三到五分钟的吐槽交流
[00:21:52.020 - 00:21:55.140] 会觉得这个人还是没有了头的 会有交流感
[00:21:55.540 - 00:21:55.800] 那
[00:21:56.300 - 00:21:57.840] 政体慢慢就
[00:21:58.100 - 00:22:00.140] back to the topic
[00:22:00.400 - 00:22:01.940] 就回到了你的政体
[00:22:02.200 - 00:22:05.780] 这时候你的韩旋是真的有效的
[00:22:05.980 - 00:22:09.880] 所以所说的韩旋也就是相当于引入政体
[00:22:10.140 - 00:22:11.660] 而引入政体之后
[00:22:12.180 - 00:22:14.740] 和准备好的产品
[00:22:15.000 - 00:22:16.280] 宣产化测
[00:22:16.540 - 00:22:19.860] 甚至以往沟通过的有件展示可以客户
[00:22:20.120 - 00:22:22.680] 不知道几一个一个的准备
[00:22:23.180 - 00:22:24.220] 比如说
[00:22:25.240 - 00:22:27.020] 三点钟客户要来
[00:22:27.280 - 00:22:31.120] 你最好之前就可以把你的产品和宣产化测
[00:22:31.380 - 00:22:32.920] 之前就放好在上面
[00:22:33.380 - 00:22:36.500] 你知道要和客户是聊哪一个的产品
[00:22:36.760 - 00:22:37.520] 产品
[00:22:37.780 - 00:22:42.900] 那么你的宣传画策为什么要给客户看 只体现了你哪一方面的能力
[00:22:43.160 - 00:22:45.200] 那么在这两个情况下
[00:22:45.720 - 00:22:47.500] 你会有一定的这个
[00:22:48.280 - 00:22:50.320] 分享的一个非准确的收获
[00:22:51.100 - 00:22:55.200] 所以客户同时也会觉得你是显得是非常正式
[00:22:55.440 - 00:22:56.480] 非常认真的
[00:22:56.720 - 00:22:57.500] 准备一些事
[00:22:58.260 - 00:23:00.320] 那么当你有了交流之后
[00:23:00.520 - 00:23:05.440] 你把你自己和他的聊天的有件打印出来
[00:23:05.960 - 00:23:08.760] 打印出来之后话出客户的问题
[00:23:09.280 - 00:23:10.300] 一个一个聊
[00:23:10.820 - 00:23:11.840] 为什么这么做
[00:23:12.100 - 00:23:12.860] 因为
[00:23:13.120 - 00:23:14.140] 当一个人
[00:23:15.160 - 00:23:18.500] 重新去看他的有件的时候
[00:23:19.000 - 00:23:22.340] 那么他是上市市深刻的明白
[00:23:22.840 - 00:23:24.640] 这个问题自己
[00:23:24.640 - 00:23:26.180] 那种要行
[00:23:26.440 - 00:23:31.300] 那么同时他也看到自己的文件会有点亲切
[00:23:32.320 - 00:23:34.880] 说明你们是实在在沟通
[00:23:35.140 - 00:23:38.460] 而且你很真是他每一句话每一个每一行字
[00:23:38.720 - 00:23:41.280] 你抓住了所有客户的有和信
[00:23:41.540 - 00:23:42.560] 那样之后
[00:23:42.820 - 00:23:47.940] 然后客户变了把文件将你来一份有件你来一份他来一份
[00:23:48.200 - 00:23:49.480] 帮客户想好
[00:23:49.740 - 00:23:51.260] 那么大家一起谈
[00:23:51.520 - 00:23:52.040] 这样的
[00:23:52.280 - 00:23:52.800] 会很好
[00:23:53.320 - 00:23:57.660] 大了第五步的话你最好来一个本子和客户呢
[00:23:57.920 - 00:23:59.460] 编聊编记录
[00:23:59.960 - 00:24:01.240] 为什么要这么说呢
[00:24:01.500 - 00:24:06.120] 因为你拿了本子之后你编聊的时候编写客户的要求
[00:24:06.360 - 00:24:07.640] 而不仅仅是简论是简论
[00:24:07.900 - 00:24:09.700] 客户跟专专记表了
[00:24:09.960 - 00:24:10.980] 也可以用那个
[00:24:11.240 - 00:24:16.100] 编聊编记录的时候钱再客户事实上感受到你对他的花语是非常尊重的
[00:24:17.380 - 00:24:18.400] 但并不是抓把被
[00:24:18.400 - 00:24:23.260] 你遇到了任何的问题他说的不清爽你同时让他可以去重复
[00:24:23.520 - 00:24:25.320] 他同步之后你可以编在记
[00:24:25.820 - 00:24:28.900] 你就认为他知道他所说的每句话都非常的重要
[00:24:29.400 - 00:24:33.000] 那么这样子被尊重感是所有人都喜欢的
[00:24:34.020 - 00:24:37.340] 所以不要害怕说是拿的本子去
[00:24:37.600 - 00:24:40.420] 去不好意思的记录啊之类的
[00:24:40.680 - 00:24:41.180] 这是一个
[00:24:41.440 - 00:24:48.100] 第2个你自己的记录的话你要给让客户给你时间去记录一些东西
[00:24:48.300 - 00:24:51.420] 所以你不一定双眼门和时候都去看见客户
[00:24:51.680 - 00:24:54.500] 你要编看客户的时候编拿里编记录一些
[00:24:54.760 - 00:24:58.600] 再去看他又演进一个带着理解的眼神去看着他
[00:24:58.860 - 00:25:01.420] 再回头再去找自己的本子再去记一些
[00:25:01.920 - 00:25:06.020] 你记下来之后然后让客户看一下你所记录的东西
[00:25:06.540 - 00:25:10.380] 然后呢在第六个呢就是我建议大家呢就是
[00:25:10.640 - 00:25:14.460] 通过去问问题因为你的谈聊天
[00:25:15.180 - 00:25:16.460] 聊天不是说
[00:25:16.820 - 00:25:19.580] 我聊一件是说完了这天就聊完了
[00:25:20.100 - 00:25:25.220] 而是通过一个问题接着一个问题去引导下一个问题出来的
[00:25:25.720 - 00:25:29.300] 所以是需要通过问题去引导谈判了一个过程
[00:25:30.080 - 00:25:33.140] 需要将自己的谈判的目的的串联在一起
[00:25:33.920 - 00:25:38.520] 所以你之前一定要把自己谈判的目的去写好
[00:25:39.040 - 00:25:43.380] 写好之后然后你通过你思考怎么样问题
[00:25:43.380 - 00:25:45.420] 第一个问题和第二个问题穿起来
[00:25:45.940 - 00:25:49.020] 第二个和第三个穿起来一个一个往下
[00:25:49.280 - 00:25:51.320] 这个是考验你的邏跡性
[00:25:52.340 - 00:25:55.160] 所以谈判的东西可以分享给客户
[00:25:55.660 - 00:25:57.200] 方便一起确认
[00:25:57.460 - 00:26:02.060] 严定的时候人严警认真的方式呢就是你对他最好的体现
[00:26:02.840 - 00:26:05.660] 这个就是他们所需要的relyer
[00:26:06.160 - 00:26:06.680] 这个
[00:26:07.960 - 00:26:08.720] 体现
[00:26:09.240 - 00:26:10.520] 我讲一个我的案例
[00:26:10.780 - 00:26:13.340] 之前我去在墨西哥的时候
[00:26:13.580 - 00:26:15.300] 参加一个展会
[00:26:15.300 - 00:26:16.460] 展会结束之后
[00:26:16.700 - 00:26:18.760] 客户邀请我去他公司去查看
[00:26:19.260 - 00:26:20.800] 当作来聊天的时候
[00:26:21.060 - 00:26:24.380] 他的银平上打了10个95-90个问题
[00:26:24.640 - 00:26:26.440] 这都是我们合作的关键点
[00:26:26.700 - 00:26:29.000] 直接也就代表了这一次谈判的目的
[00:26:29.500 - 00:26:33.860] 所以当时打开之后我们一目了让人知道要谈什么东西
[00:26:34.120 - 00:26:37.440] 这个客户包我们把私陆底的非常的清晰
[00:26:37.960 - 00:26:41.800] 我们一下子早中了重点知道了需要谈什么
[00:26:42.300 - 00:26:42.820] 那么
[00:26:43.020 - 00:26:45.120] 一下子的问题也很明确的
[00:26:45.640 - 00:26:48.700] 所以大家墨底去谈判是很好的一个事情
[00:26:49.220 - 00:26:52.540] 这样的话呢不是需要简单的不是要传
[00:26:52.800 - 00:26:55.620] 以往的像中国谈判的就是繞了一大圈
[00:26:55.880 - 00:26:59.200] 然后聊家床聊兄弟庭喝酒等等
[00:26:59.460 - 00:26:59.980] 不是
[00:27:00.220 - 00:27:02.280] 果然人谈判就是直接断
[00:27:02.780 - 00:27:04.060] 针对有针对性
[00:27:04.320 - 00:27:04.840] 所以
[00:27:05.340 - 00:27:07.140] 你需要的带好你的墨底去
[00:27:08.160 - 00:27:10.460] 第七个呢就是不要急报价
[00:27:10.660 - 00:27:13.280] 在任何时候不要急报价除非
[00:27:14.820 - 00:27:16.600] 你在有件之前
[00:27:17.620 - 00:27:20.200] 已经客户和客户越好了
[00:27:20.700 - 00:27:23.260] 在会上将会给他进行报价
[00:27:23.780 - 00:27:25.300] 只有在这样的情况下面
[00:27:25.560 - 00:27:27.620] 你才可以去给他报价
[00:27:28.640 - 00:27:32.480] 在任何情况下相对有意识的有意向的潜代客户
[00:27:32.980 - 00:27:36.060] 你有跟他说我回去整理一下我们的内容
[00:27:36.320 - 00:27:39.140] 我回去给您给报价有件上的报价可以不
[00:27:39.660 - 00:27:45.280] 因为这样的话通过有劲的报价更加的文本化更加有记录可言
[00:27:45.800 - 00:27:50.920] 而如果说你是简单的口头的报价或者聊草的打的朝鲍纸上的报价的话
[00:27:51.420 - 00:27:51.940] 不正是
[00:27:52.460 - 00:27:53.980] 你对你的价格不尊重
[00:27:54.760 - 00:27:57.580] 所以你一定要弄清楚
[00:27:57.820 - 00:27:58.860] 我的报价
[00:27:59.100 - 00:28:01.920] 是什么情况下才能给有客户的
[00:28:02.440 - 00:28:06.780] 不要简单的任何人我亲一报价的客户就能拿下来了
[00:28:06.980 - 00:28:09.340] 报价只是你们聊天的
[00:28:09.860 - 00:28:10.620] 刚开始
[00:28:11.640 - 00:28:14.720] 在任何时候你的报价心中要有数
[00:28:14.980 - 00:28:19.840] 你要知道你报价之后条件要反射是客户会觉得这个贵
[00:28:20.340 - 00:28:22.140] 客户会来撒价等等
[00:28:22.660 - 00:28:25.980] 那你要弄清楚的是他为什么会去撒价
[00:28:26.240 - 00:28:28.540] 包括他所掌握了多少的信息
[00:28:28.800 - 00:28:30.840] 你要接着问题去接着往下问
[00:28:31.100 - 00:28:32.380] 为什么会觉得贵
[00:28:32.640 - 00:28:35.200] 是不是有其他的一些工厂公司
[00:28:35.400 - 00:28:37.240] 已经有了错误的了解
[00:28:37.500 - 00:28:40.840] 而不是等着他的报价等着他去接受
[00:28:41.080 - 00:28:44.920] 基本上大部分情况下你报价是没有客户直接接受的
[00:28:45.440 - 00:28:50.300] 他总是在这个点或者命的点上面去进行一些
[00:28:50.820 - 00:28:52.860] 讨论、针左或者还价
[00:28:53.380 - 00:28:57.740] 所以大家对于报价之间事情要格外的小心
[00:28:57.980 - 00:28:58.760] 请生一些
[00:28:59.260 - 00:29:03.360] 对八个就是不要急于去问客户下单的时间
[00:29:03.560 - 00:29:07.200] 在任何时候不管客户一向承担一向多么明显的话
[00:29:07.720 - 00:29:11.040] 不要问客户在现场问客户什么时候能够下单
[00:29:11.300 - 00:29:12.840] 或者你的计划是什么样等等
[00:29:13.340 - 00:29:17.180] 因为这要感觉给客户感觉是你像在推定单
[00:29:17.700 - 00:29:20.000] 在根客户推定单的感觉
[00:29:20.260 - 00:29:21.280] 这是非常不好的
[00:29:21.800 - 00:29:23.080] 那么你反观是
[00:29:23.320 - 00:29:26.400] 除非客户贬关注到了交期的问题的时候
[00:29:26.660 - 00:29:28.200] 你就要问他了
[00:29:28.460 - 00:29:31.260] 那他是什么时候可以能下单
[00:29:31.460 - 00:29:33.820] 你什么时候可以放到生坦晚避
[00:29:34.080 - 00:29:35.860] 或者能放他搞到累皮祸
[00:29:36.380 - 00:29:41.500] 这个时候你细上的本身来说你细上你层单已经不远了
[00:29:42.020 - 00:29:45.860] 所以不要去逼的客户去说你什么时候回家定单
[00:29:46.100 - 00:29:47.900] 咱们聊这么多你什么时候回家
[00:29:48.160 - 00:29:49.940] 这话感觉不舒服
[00:29:50.460 - 00:29:52.760] 往往就像我们去探市场说
[00:29:53.020 - 00:29:57.120] 你什么时候我这边有一票或者挺好的你什么时候来买
[00:29:57.320 - 00:30:01.980] 然后我们往往的回答别人难买的时间都是比较假的时间
[00:30:02.240 - 00:30:03.260] 为什么呢
[00:30:03.520 - 00:30:03.780] 因为
[00:30:04.040 - 00:30:07.360] 我们市场不喜欢被逼着去买东西
[00:30:07.620 - 00:30:10.440] 买东西还是占有主动一圈的
[00:30:10.940 - 00:30:13.500] 所以在这个点上大家都个了小心
[00:30:14.020 - 00:30:15.800] 我们来到第九点
[00:30:16.060 - 00:30:19.400] 第九点的话就是往往谈判的套路
[00:30:20.160 - 00:30:24.260] 是当然我们一定要弄清楚任何时候都需要有套路的
[00:30:24.520 - 00:30:25.020] 对吧
[00:30:25.280 - 00:30:26.560] 谈判有谈判的套路
[00:30:26.760 - 00:30:28.600] 你自己谈恋爱有谈恋爱套路
[00:30:28.860 - 00:30:32.200] 你自己学习的一些新的东西有学习的套路
[00:30:32.700 - 00:30:34.500] 那我们往谈判套路是什么呢
[00:30:35.780 - 00:30:36.540] 第一部套路
[00:30:37.060 - 00:30:37.560] 这是
[00:30:37.820 - 00:30:42.180] 客户上来往往会对产品的指量和价格进行关注
[00:30:42.680 - 00:30:45.240] 特别是这两块是先上来就会需要的
[00:30:46.280 - 00:30:48.060] 然后有了这个东西之后
[00:30:48.580 - 00:30:51.900] 然后开始开始了解了你的公司的实力
[00:30:52.420 - 00:30:53.700] 你的规模
[00:30:54.460 - 00:30:56.000] 了解了这个之后
[00:30:56.260 - 00:30:59.840] 他问会问你在当地市场销售的情况
[00:31:00.100 - 00:31:01.380] 比如说美国市场
[00:31:01.640 - 00:31:02.920] 比如说墨西哥市场
[00:31:03.180 - 00:31:04.700] 比如说东南亚市场
[00:31:05.480 - 00:31:06.500] 他会问你
[00:31:06.760 - 00:31:07.780] 有没有销售
[00:31:09.060 - 00:31:10.080] 这是一个
[00:31:10.340 - 00:31:11.620] 很大的一个难
[00:31:11.880 - 00:31:12.900] 回答的问题
[00:31:13.160 - 00:31:14.180] 为什么呢
[00:31:14.440 - 00:31:14.940] 因为
[00:31:15.200 - 00:31:18.280] 你一旦开始的话比如说
[00:31:18.540 - 00:31:20.320] 如果说他想
[00:31:20.580 - 00:31:21.600] 认为你这边
[00:31:22.060 - 00:31:23.900] 有了一些金销商的话呢
[00:31:24.160 - 00:31:25.440] 会不会影响他的身影
[00:31:25.700 - 00:31:29.020] 你不知道他带着他的什么样的目的去问这样的问题
[00:31:29.540 - 00:31:32.100] 所以你可以去说我们
[00:31:32.360 - 00:31:33.380] 只有一家
[00:31:33.640 - 00:31:34.660] 或者两家
[00:31:34.920 - 00:31:36.440] 请在
[00:31:37.220 - 00:31:42.580] 如果没有的时候你就说我们说我们我们自此来这样的展会
[00:31:42.840 - 00:31:45.160] 希望以你这样的产商去合作
[00:31:45.920 - 00:31:47.460] 那么这个时候
[00:31:47.720 - 00:31:49.760] 邀请他去称为你的Pattern
[00:31:49.960 - 00:31:52.060] 那么你就他就会成为一个
[00:31:52.320 - 00:31:54.360] 当包外或者当地市场有一些
[00:31:54.620 - 00:31:56.420] 特殊优势的一些底下
[00:31:56.680 - 00:31:58.200] 那么你要给他一些支持
[00:31:58.460 - 00:31:59.240] 所以呢
[00:31:59.480 - 00:32:01.280] 基于你说任何话
[00:32:02.040 - 00:32:04.100] 在谈判当中说任何话
[00:32:04.360 - 00:32:06.140] 不可以说满
[00:32:06.660 - 00:32:09.220] 不可以把自己说的多么的厉害
[00:32:09.480 - 00:32:10.240] 多么的牛逼
[00:32:10.500 - 00:32:12.540] 而是要紧圣小心的
[00:32:12.800 - 00:32:14.340] 说一些陈季出来
[00:32:14.600 - 00:32:15.880] 然后给被人
[00:32:16.120 - 00:32:17.400] 去认识可
[00:32:17.400 - 00:32:22.000] 这是关于就说消唆市场我点到的一个
[00:32:22.260 - 00:32:25.600] 最后呢就是一些合作的上面的细节的问题
[00:32:26.100 - 00:32:29.940] 为什么因为往往聊的月洗就越容易承担
[00:32:30.460 - 00:32:34.800] 合作细节的问题的时候呢你这个东西呢是越来越偏向了
[00:32:35.320 - 00:32:38.640] 所以这个是很多的时候呢你要弄清楚就是
[00:32:38.900 - 00:32:42.240] 很多的细节问题这个客户有两种可能
[00:32:42.740 - 00:32:44.280] 第一种可能是真的要承担了
[00:32:44.740 - 00:32:48.120] 第二种可能他就是从镜尊正手来边来
[00:32:48.320 - 00:32:49.920] 来这里这边摸情况了
[00:32:50.940 - 00:32:52.480] 所以你也不要怕
[00:32:52.740 - 00:32:54.260] 干说什么说什么
[00:32:54.520 - 00:32:57.080] 你说的这些东西都是你的实力
[00:32:57.600 - 00:33:02.460] 你让镜尊对着知道有些东西他即使知道了他也不一定能够感上
[00:33:02.980 - 00:33:04.000] 所以说
[00:33:04.240 - 00:33:06.560] 你面对所有的人
[00:33:06.820 - 00:33:07.840] 你都可以去
[00:33:08.080 - 00:33:08.840] 说
[00:33:09.120 - 00:33:11.160] 可以去分享一些细节上面的问题
[00:33:11.680 - 00:33:12.700] 不必害怕
[00:33:13.220 - 00:33:18.340] 那么往往说到细节问题上面的时候面对竞争对手的时候你要警决一下
[00:33:18.840 - 00:33:20.380] 因为往往
[00:33:20.640 - 00:33:21.660] 这个
[00:33:21.920 - 00:33:28.320] 面对这个新的客户啊前代客户啊他问的问题月专业越小的血涩血涩的话呢
[00:33:28.580 - 00:33:30.360] 他肯定是做过这个声音的
[00:33:30.620 - 00:33:33.440] 那你可以顺口问他他现在喝水在喝作
[00:33:33.700 - 00:33:36.000] 关注他的眼神是不是有欺骗啊
[00:33:36.260 - 00:33:38.560] 关注他的眼神是不是真臣的
[00:33:38.820 - 00:33:40.860] 所以你带弄清楚这些问题
[00:33:40.860 - 00:33:41.380] 所以
[00:33:41.880 - 00:33:46.240] 这个谈判交流啊并非是一些简单的引入机场
[00:33:46.500 - 00:33:50.080] 而这核心当中是有一些你对市场的理解
[00:33:50.580 - 00:33:52.380] 你对谈判当中的把控
[00:33:52.640 - 00:33:55.200] 然后抓住这些细节当中的问题
[00:33:55.460 - 00:33:56.980] 一下子往下推进
[00:33:57.760 - 00:34:00.320] 比如说第10点我们又接受访下说
[00:34:00.820 - 00:34:06.460] 客户呢事实上往往了分享他的信息越多就是越容易承担的这是实话
[00:34:06.720 - 00:34:08.760] 比如说对产品的期待
[00:34:08.960 - 00:34:11.320] 或销售方面所需要的支持
[00:34:11.580 - 00:34:13.880] 或者之前合作的问题
[00:34:14.140 - 00:34:15.160] 与极难点
[00:34:15.420 - 00:34:17.460] 中端市场是如何运用的
[00:34:17.720 - 00:34:20.020] 这些如果他都分享出来的话
[00:34:20.280 - 00:34:22.580] 那么他们就是一个非常专业的客户
[00:34:22.840 - 00:34:25.660] 如果他分享不出来有些东西他不知道
[00:34:25.920 - 00:34:28.220] 而且他也非常坦白告诉明天
[00:34:28.480 - 00:34:30.780] 他没有从中国采个过这个东西
[00:34:31.040 - 00:34:32.320] 他想做这个声音
[00:34:32.820 - 00:34:34.100] 等等这样的问题
[00:34:34.360 - 00:34:35.900] 那么说明这样的客户呢
[00:34:36.160 - 00:34:38.200] 可能不是马上就能承担的
[00:34:38.400 - 00:34:41.020] 他是会有一些需要时间等待的
[00:34:41.520 - 00:34:43.060] 所以在这个事情上面呢
