# 新课抢先学_3. 邮件营销（下）

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:10.140] 那正好 安欲來到這個部分的內容
[00:00:10.140 - 00:00:15.260] 我們在這期內的課程有十到很多的關於郵政影校
[00:11:46.300 - 00:11:47.580] 有建議效的
[00:11:47.580 - 00:11:48.340] 內容裡面
[00:11:48.340 - 00:11:48.820] 我們可以
[00:11:48.820 - 00:11:49.460] 發什麼
[00:11:49.460 - 00:11:50.460] 信息
[00:11:50.460 - 00:11:51.100] 發什麼
[00:11:51.100 - 00:11:51.620] 突變
[00:11:51.620 - 00:11:52.220] 發什麼
[00:11:52.220 - 00:11:53.820] 主題等等
[00:11:53.820 - 00:11:54.060] 然後
[00:11:54.060 - 00:11:54.660] 同時
[00:11:54.660 - 00:11:55.980] 我們還是可以
[00:11:55.980 - 00:11:57.060] 一起宣習
[00:11:57.060 - 00:11:57.300] 我們
[00:11:57.300 - 00:11:57.660] 在我們
[00:11:57.660 - 00:11:58.180] 可以
[00:11:58.180 - 00:11:58.660] 發送
[00:11:58.660 - 00:11:58.940] 就等於
[00:11:58.940 - 00:11:59.300] 就是
[00:11:59.300 - 00:11:59.740] 我們已經
[00:11:59.740 - 00:12:00.500] 想到了
[00:12:00.500 - 00:12:00.980] 我們可以
[00:12:00.980 - 00:12:01.980] 發什麼
[00:12:01.980 - 00:12:02.380] 我們已經
[00:12:02.380 - 00:12:03.340] 正利好了
[00:12:03.340 - 00:12:03.900] 那我們
[00:12:03.900 - 00:12:04.820] 需要
[00:12:04.820 - 00:12:05.420] 發送給
[00:12:05.420 - 00:12:05.980] 個務
[00:12:05.980 - 00:12:06.180] 的話
[00:12:06.180 - 00:12:06.580] 我們要
[00:12:06.580 - 00:12:06.740] 說
[00:12:06.740 - 00:12:07.100] 哪裡
[00:12:07.100 - 00:12:07.580] 開始
[00:12:07.580 - 00:12:08.220] 發送這些
[00:12:08.220 - 00:12:08.660] 有建議
[00:12:08.660 - 00:12:09.100] 效的
[00:12:09.100 - 00:12:09.700] 有建
[00:12:09.700 - 00:12:10.580] 所以這個
[00:12:10.580 - 00:12:11.260] 是我們現在
[00:12:11.260 - 00:12:11.460] 在
[00:12:11.460 - 00:12:12.140] 準備睡眠
[00:12:12.140 - 00:12:13.460] 洗打一部份內容
[00:12:20.590 - 00:12:21.430] 大家好
[00:12:21.430 - 00:12:22.230] 我們在
[00:12:22.230 - 00:12:23.430] 這一系列
[00:12:23.430 - 00:12:24.390] 刻成的
[00:12:24.390 - 00:12:25.590] 這個部份
[00:12:25.590 - 00:12:26.630] 我們要睡眠
[00:12:26.630 - 00:12:27.910] 我們可以
[00:12:27.910 - 00:12:28.430] 在
[00:12:28.430 - 00:12:29.110] 我們有建議
[00:12:29.110 - 00:12:29.470] 消杯
[00:12:29.470 - 00:12:30.750] 叫什麼內容
[00:12:30.750 - 00:12:31.350] 比如說
[00:12:31.350 - 00:12:32.110] 我們可以
[00:12:32.110 - 00:12:33.350] 介紹我們公司
[00:12:33.350 - 00:12:34.430] 我們可以介紹
[00:12:34.430 - 00:12:35.350] 我們窗秉
[00:12:35.350 - 00:12:36.110] 可以分享
[00:12:36.110 - 00:12:37.870] 或有什麼信息
[00:12:37.870 - 00:12:38.550] 這個是
[00:12:38.550 - 00:12:39.230] 我們準備
[00:12:39.230 - 00:12:40.070] 睡眠的
[00:12:40.070 - 00:12:41.390] 一部份信息
[00:12:42.190 - 00:12:43.070] 那
[00:12:43.070 - 00:12:45.070] 我還是給大家建議
[00:12:45.070 - 00:12:45.990] 就是
[00:12:45.990 - 00:12:46.830] 如果我們
[00:12:46.830 - 00:12:48.670] 想要讓客戶
[00:12:48.670 - 00:12:49.150] 對
[00:12:49.150 - 00:12:49.750] 我們
[00:12:49.750 - 00:12:50.110] 有建議
[00:12:50.110 - 00:12:50.870] 消的內容
[00:12:50.870 - 00:12:51.950] 還是
[00:12:51.950 - 00:12:52.430] 覺得
[00:12:52.430 - 00:12:53.390] 比較滿意
[00:12:53.390 - 00:12:54.550] 同時也覺得
[00:12:54.550 - 00:12:56.350] 我覺得
[00:12:56.350 - 00:12:57.230] 我們發了
[00:12:57.230 - 00:12:57.870] 信息
[00:12:57.870 - 00:12:58.550] 發的內容
[00:12:58.550 - 00:12:59.150] 對他來說
[00:12:59.150 - 00:13:00.110] 還是比較有
[00:13:00.110 - 00:13:01.190] 心理的話
[00:13:01.190 - 00:13:02.110] 還是需要
[00:13:02.110 - 00:13:02.910] 找到一個
[00:13:02.910 - 00:13:03.350] 比較
[00:13:03.350 - 00:13:04.230] 不做的
[00:13:04.230 - 00:13:04.990] 一個
[00:13:04.990 - 00:13:05.750] 平的
[00:13:05.750 - 00:13:06.110] 可是
[00:13:06.110 - 00:13:06.790] 在
[00:13:06.790 - 00:13:08.670] 我們可以分享的內容
[00:13:08.670 - 00:13:09.110] 是
[00:13:09.110 - 00:13:10.350] 可以分享一部份
[00:13:10.350 - 00:13:10.630] 是個
[00:13:10.630 - 00:13:11.390] 我們公司
[00:13:11.390 - 00:13:12.430] 想關的
[00:13:12.430 - 00:13:13.670] 也可以分享一件
[00:13:13.670 - 00:13:13.910] 是
[00:13:13.910 - 00:13:15.150] 更終體的
[00:13:15.150 - 00:13:15.870] 給分享
[00:13:15.870 - 00:13:16.150] 一些
[00:13:16.150 - 00:13:16.430] 跟
[00:13:16.430 - 00:13:16.670] 這個
[00:13:16.670 - 00:13:17.670] 含業相關的
[00:13:17.670 - 00:13:18.030] 或者
[00:13:18.030 - 00:13:18.830] 跟這種
[00:13:18.830 - 00:13:19.790] 長屁
[00:13:19.790 - 00:13:20.630] 跟這個
[00:13:20.630 - 00:13:22.030] 長屁系列的
[00:13:22.030 - 00:13:22.830] 用途
[00:13:22.830 - 00:13:23.230] 或者
[00:13:23.230 - 00:13:24.550] 其大方面的建議
[00:13:24.550 - 00:13:26.550] 都是可以分享的
[00:13:26.550 - 00:13:27.230] 因為如果
[00:13:27.230 - 00:13:28.390] 我們
[00:13:28.390 - 00:13:28.950] 發送的
[00:13:28.950 - 00:13:29.310] 又建
[00:13:29.310 - 00:13:30.190] 全部的
[00:13:30.190 - 00:13:30.910] 就是介紹
[00:13:30.910 - 00:13:32.230] 我們公司
[00:13:32.230 - 00:13:33.070] 說我們公司
[00:13:33.070 - 00:13:33.710] 有多有
[00:13:33.710 - 00:13:34.190] 修
[00:13:34.190 - 00:13:35.470] 我們多厘害
[00:13:35.470 - 00:13:36.470] 多
[00:13:36.470 - 00:13:38.070] 要不洗的話
[00:13:38.070 - 00:13:38.510] 那
[00:13:38.510 - 00:13:39.790] 歌舞還是會覺得
[00:13:39.790 - 00:13:40.070] 那
[00:13:40.070 - 00:13:40.910] 我
[00:13:40.910 - 00:13:42.070] 他會覺得
[00:13:42.070 - 00:13:42.590] OK
[00:13:42.590 - 00:13:43.190] 我任何
[00:13:43.190 - 00:13:43.990] 你還是一個
[00:13:43.990 - 00:13:45.350] 比較不錯的公司
[00:13:45.350 - 00:13:46.230] 但是
[00:13:46.230 - 00:13:46.630] 我
[00:13:46.630 - 00:13:47.390] 沒辦法
[00:13:47.390 - 00:13:48.510] 使到心的
[00:13:48.510 - 00:13:49.950] 都是在推銷
[00:13:49.950 - 00:13:50.990] 你的長屁
[00:13:50.990 - 00:13:51.390] 在
[00:13:51.390 - 00:13:53.630] 在推銷你公司等等
[00:13:53.630 - 00:13:54.750] 最還是
[00:13:54.750 - 00:13:55.550] 為了提高
[00:13:55.550 - 00:13:56.670] 用戶的
[00:13:56.670 - 00:13:58.510] 新任度還是
[00:13:58.510 - 00:14:00.190] 希望大家可以
[00:14:00.190 - 00:14:01.630] 40
[00:14:01.630 - 00:14:02.910] 不僅是分享
[00:14:02.910 - 00:14:04.950] 跟自己公司相關的
[00:14:04.950 - 00:14:05.670] 如果你們
[00:14:05.670 - 00:14:06.750] 不知道可以分享
[00:14:06.750 - 00:14:07.070] 什麼
[00:14:07.070 - 00:14:07.630] 新西
[00:14:07.630 - 00:14:08.110] 關於你們
[00:14:08.110 - 00:14:09.790] 含業相關的話
[00:14:09.790 - 00:14:11.190] 那就可以
[00:14:11.190 - 00:14:11.870] 看一下
[00:14:11.870 - 00:14:12.870] 金針對手他們
[00:14:12.870 - 00:14:14.470] 平時分享
[00:14:14.470 - 00:14:15.590] 什麼新西
[00:14:15.590 - 00:14:17.190] 或者他們平時分享
[00:14:17.190 - 00:14:19.390] 什麼文章等等
[00:14:19.390 - 00:14:21.430] 然後就可以
[00:14:21.430 - 00:14:22.030] 通過這個
[00:14:22.030 - 00:14:23.470] 反式就可以睡醒
[00:14:23.470 - 00:14:24.030] 那我們
[00:14:24.030 - 00:14:24.630] 在我們的
[00:14:24.630 - 00:14:25.470] 有件裡面
[00:14:25.470 - 00:14:26.150] 還可以
[00:14:26.150 - 00:14:26.870] 不闖哪一些
[00:14:26.870 - 00:14:28.110] 發明的新西
[00:14:28.110 - 00:14:28.910] 還可以分享
[00:14:28.910 - 00:14:29.470] 關於我們
[00:14:29.470 - 00:14:30.430] 含業的
[00:14:30.430 - 00:14:31.070] 哪一些
[00:14:31.070 - 00:14:32.910] 發明的數據
[00:14:32.910 - 00:14:33.470] 所以
[00:14:33.470 - 00:14:35.070] 這些新西
[00:14:35.070 - 00:14:35.470] 就是有
[00:14:35.470 - 00:14:36.110] 去說跟
[00:14:36.110 - 00:14:37.830] 含業相關的
[00:14:37.830 - 00:14:38.430] 不一定是
[00:14:38.430 - 00:14:38.870] 需要
[00:14:38.870 - 00:14:40.430] 我們自己闖坐的
[00:14:40.430 - 00:14:41.230] 你可以是
[00:14:41.230 - 00:14:43.630] 我們在晚上找找的
[00:14:43.630 - 00:14:44.270] 找到的
[00:14:44.270 - 00:14:45.190] 但是最好的
[00:14:45.190 - 00:14:45.910] 如果我們是
[00:14:45.910 - 00:14:47.030] 通過
[00:14:47.030 - 00:14:48.710] 一個在這個含業相比
[00:14:48.710 - 00:14:49.310] 比較大的
[00:14:49.310 - 00:14:51.070] 媒體的資料
[00:14:51.070 - 00:14:51.510] 比如說
[00:14:51.510 - 00:14:52.870] 自己
[00:14:52.870 - 00:14:54.070] 這個
[00:14:54.070 - 00:14:54.990] 這個含業的
[00:14:54.990 - 00:14:56.150] 很大的媒體
[00:14:56.150 - 00:14:57.710] 分享了一個
[00:14:57.710 - 00:14:58.630] 我也這個含業
[00:14:58.630 - 00:14:59.830] 明年的
[00:14:59.830 - 00:15:00.310] 一些
[00:15:00.310 - 00:15:01.670] 還有一些
[00:15:01.670 - 00:15:03.070] 變化等等的
[00:15:03.070 - 00:15:05.110] 這種方面的一個報告
[00:15:05.110 - 00:15:05.990] 那我們就可以
[00:15:05.990 - 00:15:07.030] 給客戶分享
[00:15:07.030 - 00:15:08.110] 這份報告
[00:15:08.110 - 00:15:09.550] 或者這份報告的
[00:15:09.550 - 00:15:11.710] 裡面的一部分新西
[00:15:11.710 - 00:15:12.190] 但是
[00:15:12.190 - 00:15:13.270] 我們一定是需要
[00:15:13.270 - 00:15:14.270] 加
[00:15:14.270 - 00:15:15.630] 原來的
[00:15:15.630 - 00:15:16.870] 這個媒體
[00:15:16.870 - 00:15:17.550] 的
[00:15:17.550 - 00:15:19.030] 顏面的臉節
[00:15:19.030 - 00:15:19.790] 就等於是說
[00:15:19.790 - 00:15:21.070] 我們還是說
[00:15:21.070 - 00:15:22.550] 這個不是來自我們
[00:15:22.550 - 00:15:23.390] 但是我們
[00:15:23.390 - 00:15:24.030] 因為
[00:15:24.030 - 00:15:25.070] 這種報告
[00:15:25.070 - 00:15:25.790] 對於說
[00:15:25.790 - 00:15:27.470] 還是非常有價值
[00:15:27.470 - 00:15:28.030] 所以我們
[00:15:28.030 - 00:15:30.750] 希望可以分享給你
[00:15:30.750 - 00:15:31.470] 所以我們在
[00:15:31.470 - 00:15:32.110] 我們的
[00:15:32.110 - 00:15:33.070] 有件裡面
[00:15:33.070 - 00:15:34.190] 還是可以分享
[00:15:34.190 - 00:15:36.550] 很多很多的新西
[00:15:36.550 - 00:15:37.470] 不僅是
[00:15:37.470 - 00:15:39.110] 給我們公司相關的
[00:15:39.110 - 00:15:39.870] 也可以是
[00:15:39.870 - 00:15:40.910] 跟我們
[00:15:40.910 - 00:15:42.750] 這個含業相關的
[00:15:42.750 - 00:15:43.150] 那
[00:15:43.150 - 00:15:44.430] 給這個含業相關的
[00:15:44.430 - 00:15:44.870] 還是
[00:15:44.870 - 00:15:46.070] 非常容易理解
[00:15:46.070 - 00:15:46.430] 就是
[00:15:46.430 - 00:15:47.950] 我們就可以
[00:15:47.950 - 00:15:48.350] 在
[00:15:48.350 - 00:15:48.990] 孤割
[00:15:48.990 - 00:15:49.750] 或者在其他
[00:15:49.750 - 00:15:51.550] 並太熱所一下
[00:15:51.550 - 00:15:52.350] 用戶
[00:15:52.350 - 00:15:52.830] 他
[00:15:52.830 - 00:15:53.990] 平時
[00:15:53.990 - 00:15:54.790] 就是
[00:15:54.790 - 00:15:55.390] 如果是
[00:15:55.390 - 00:15:57.230] 給這個含業相關的
[00:15:57.230 - 00:15:58.390] 他們是
[00:15:58.390 - 00:15:59.230] 管住什麼
[00:15:59.230 - 00:15:59.670] 信息
[00:15:59.670 - 00:16:00.030] 比如說
[00:16:00.030 - 00:16:01.430] 是不是現在
[00:16:01.430 - 00:16:02.910] 缺乏一些
[00:16:02.910 - 00:16:03.710] 條料
[00:16:03.710 - 00:16:04.470] 或者
[00:16:04.470 - 00:16:06.590] 有什麼方面的一些難度
[00:16:06.590 - 00:16:08.230] 我們對這含業
[00:16:08.230 - 00:16:09.270] 還是聽了解
[00:16:09.270 - 00:16:10.070] 所以我相信
[00:16:10.070 - 00:16:10.670] 大家
[00:16:10.670 - 00:16:11.710] 會去想一下
[00:16:11.710 - 00:16:12.070] 就可以
[00:16:12.070 - 00:16:12.910] 想到
[00:16:12.910 - 00:16:13.470] 用戶
[00:16:13.470 - 00:16:14.430] 可能會想要
[00:16:14.430 - 00:16:15.230] 了解的
[00:16:15.230 - 00:16:17.030] 一部分信息
[00:16:17.030 - 00:16:18.230] 那我
[00:16:18.230 - 00:16:19.070] 跟
[00:16:19.070 - 00:16:19.870] 這種的
[00:16:19.870 - 00:16:20.510] 才
[00:16:20.510 - 00:16:22.430] 跟我們公司相關的
[00:16:22.430 - 00:16:22.830] 因為
[00:16:22.830 - 00:16:23.350] 這個是
[00:16:23.350 - 00:16:23.790] 大家
[00:16:23.790 - 00:16:24.430] 可能
[00:16:24.430 - 00:16:25.310] 更不屬於
[00:16:25.310 - 00:16:26.310] 的一個部分
[00:16:26.310 - 00:16:27.070] 這就是
[00:16:27.070 - 00:16:27.790] 雖然你們
[00:16:27.790 - 00:16:28.430] 還是在
[00:16:28.430 - 00:16:29.150] 這家公司
[00:16:29.150 - 00:16:30.030] 上班的
[00:16:30.030 - 00:16:30.470] 那是
[00:16:30.470 - 00:16:31.230] 你們不知道
[00:16:31.230 - 00:16:31.670] 主題
[00:16:31.670 - 00:16:32.030] 可以
[00:16:32.030 - 00:16:32.310] 在
[00:16:32.310 - 00:16:32.770] 有件
[00:16:32.770 - 00:16:33.070] 以
[00:16:33.070 - 00:16:33.830] 小裡面
[00:16:33.830 - 00:16:34.590] 可以分享
[00:16:34.590 - 00:16:36.430] 哪一些方面的信息
[00:16:36.430 - 00:16:37.430] 我們在
[00:16:37.430 - 00:16:38.230] 我們又建議
[00:16:38.230 - 00:16:38.910] 小裡面
[00:16:38.910 - 00:16:39.670] 可以分享
[00:16:39.670 - 00:16:39.950] 關於
[00:16:39.950 - 00:16:41.190] 我們公司的
[00:16:41.190 - 00:16:42.550] 產品介紹
[00:16:42.550 - 00:16:43.990] 或者服務介紹
[00:16:43.990 - 00:16:45.190] 我們可以說
[00:16:45.190 - 00:16:45.790] 我們又
[00:16:45.790 - 00:16:47.030] 這個產品系列
[00:16:47.030 - 00:16:47.670] 然後
[00:16:47.670 - 00:16:48.430] 每一個月
[00:16:48.430 - 00:16:49.150] 可以分享
[00:16:49.150 - 00:16:49.430] 關於
[00:16:49.430 - 00:16:49.990] 不懂的
[00:16:49.990 - 00:16:50.830] 產品系列的
[00:16:50.830 - 00:16:52.830] 一些信息和優勢
[00:16:54.110 - 00:16:54.910] 那我
[00:16:54.910 - 00:16:55.070] 我
[00:16:55.070 - 00:16:55.910] 這一
[00:16:55.910 - 00:16:56.630] 這一大詐
[00:16:56.630 - 00:16:58.430] 不僅是
[00:16:58.430 - 00:16:59.710] 單獨分享
[00:16:59.710 - 00:16:59.990] 這個
[00:16:59.990 - 00:17:01.430] 產品系列
[00:17:01.430 - 00:17:02.150] 比如說
[00:17:02.150 - 00:17:03.510] 這個產品系列
[00:17:03.510 - 00:17:04.070] 有
[00:17:04.070 - 00:17:05.750] ABCCone
[00:17:05.750 - 00:17:06.310] 也
[00:17:06.310 - 00:17:07.310] 最好是
[00:17:07.310 - 00:17:08.510] 雙用戶的角度
[00:17:08.510 - 00:17:09.230] 想一想
[00:17:09.230 - 00:17:09.430] 這個
[00:17:09.430 - 00:17:10.790] 產品系列
[00:17:10.790 - 00:17:11.430] 能給
[00:17:11.430 - 00:17:12.230] 他們帶來
[00:17:12.230 - 00:17:12.950] 什麼方面的
[00:17:12.950 - 00:17:13.790] 幫助
[00:17:13.790 - 00:17:14.330] 這個
[00:17:14.330 - 00:17:15.190] 產品系列
[00:17:15.190 - 00:17:15.750] 對他們
[00:17:15.750 - 00:17:16.230] 老說
[00:17:16.230 - 00:17:16.950] 是有什麼
[00:17:16.950 - 00:17:17.790] 優勢
[00:17:17.790 - 00:17:18.630] 比如說
[00:17:18.630 - 00:17:19.310] 這個
[00:17:19.310 - 00:17:20.510] 產品系列
[00:17:20.510 - 00:17:21.030] 可以
[00:17:21.030 - 00:17:21.830] 讓客戶
[00:17:21.830 - 00:17:22.510] 減少
[00:17:22.510 - 00:17:24.630] 百分之三十的成本
[00:17:24.630 - 00:17:25.470] 那這個是
[00:17:25.470 - 00:17:26.790] 很多用戶推
[00:17:26.790 - 00:17:27.270] 對
[00:17:27.270 - 00:17:28.270] 這個產品
[00:17:28.270 - 00:17:28.950] 會
[00:17:28.950 - 00:17:29.830] 覺得他們會
[00:17:29.830 - 00:17:30.710] 覺得很
[00:17:30.710 - 00:17:31.790] 很感興趣
[00:17:31.790 - 00:17:33.590] 很想了解更多的
[00:17:33.590 - 00:17:34.430] 或者
[00:17:34.430 - 00:17:35.630] 如果我們想要
[00:17:35.630 - 00:17:37.230] 把這份優勢
[00:17:37.230 - 00:17:38.870] 分享給
[00:17:38.870 - 00:17:39.470] Omin
[00:17:39.470 - 00:17:40.630] 客戶的話
[00:17:40.630 - 00:17:41.750] 那我們就可以
[00:17:41.750 - 00:17:43.190] 請掉我們
[00:17:43.190 - 00:17:45.390] 這個產品系列的
[00:17:45.390 - 00:17:47.030] 黃寶
[00:17:47.030 - 00:17:47.790] 還有
[00:17:47.790 - 00:17:48.670] 什麼方面的
[00:17:48.670 - 00:17:48.950] 一些
[00:17:48.950 - 00:17:49.990] 真書的
[00:17:49.990 - 00:17:50.750] 這個
[00:17:50.750 - 00:17:52.070] 是對他們的說
[00:17:52.070 - 00:17:53.630] 更有心力的
[00:17:53.630 - 00:17:54.590] 而不是說
[00:17:54.590 - 00:17:55.790] 單獨
[00:17:55.790 - 00:17:57.030] 簡單的介紹
[00:17:57.030 - 00:17:57.350] 這個
[00:17:57.350 - 00:17:58.630] 產品系列
[00:17:58.630 - 00:17:59.630] 這個功能
[00:17:59.630 - 00:18:00.630] 還有這個功能
[00:18:00.630 - 00:18:01.630] 還有這個功能
[00:18:01.630 - 00:18:02.630] 還有這個功能
[00:18:02.630 - 00:18:03.130] 這個
[00:18:03.130 - 00:18:03.870] 這個功能
[00:18:03.870 - 00:18:04.870] 這個功能
[00:18:04.870 - 00:18:05.390] 那
[00:18:05.390 - 00:18:06.350] 這就是用戶
[00:18:06.350 - 00:18:07.110] 會覺得
[00:18:07.110 - 00:18:08.110] 我了解
[00:18:08.110 - 00:18:08.750] 但是
[00:18:08.750 - 00:18:10.110] 你沒有舒服
[00:18:11.110 - 00:18:12.110] 然後我們還是
[00:18:12.110 - 00:18:12.710] 可以介紹
[00:18:12.710 - 00:18:13.750] 我們公司
[00:18:13.750 - 00:18:14.630] 我們可以說
[00:18:14.630 - 00:18:14.910] 我們
[00:18:14.910 - 00:18:16.390] 有多少年的
[00:18:16.390 - 00:18:17.030] 經驗
[00:18:17.030 - 00:18:18.110] 我們可以說
[00:18:18.110 - 00:18:19.270] 我們
[00:18:19.270 - 00:18:19.830] 得到了
[00:18:19.830 - 00:18:20.750] 哪一些方面的
[00:18:20.750 - 00:18:21.550] 真書
[00:18:21.550 - 00:18:23.350] 還可以介紹一下
[00:18:23.350 - 00:18:25.350] 演發中心
[00:18:25.350 - 00:18:26.750] 有多少人
[00:18:26.750 - 00:18:27.910] 然後我們
[00:18:27.910 - 00:18:28.870] 是
[00:18:28.870 - 00:18:29.310] 都
[00:18:29.310 - 00:18:30.550] 把空
[00:18:30.550 - 00:18:32.950] 我們長平的治量等等
[00:18:32.950 - 00:18:33.630] 這些都是
[00:18:33.630 - 00:18:34.350] 可以放到
[00:18:34.350 - 00:18:35.990] 我們的有件裡面
[00:18:35.990 - 00:18:36.710] 同時
[00:18:36.710 - 00:18:38.390] 我們還是可以分享一些
[00:18:38.390 - 00:18:38.950] 跟我們
[00:18:38.950 - 00:18:39.310] 業務
[00:18:39.310 - 00:18:41.350] 想光的一些更新
[00:18:41.350 - 00:18:41.830] 比如說
[00:18:41.830 - 00:18:42.430] 我們現在
[00:18:42.430 - 00:18:44.190] 有一個新的長平
[00:18:44.190 - 00:18:44.790] 還是說
[00:18:44.790 - 00:18:45.830] 有一個
[00:18:45.830 - 00:18:46.830] 新的地區
[00:18:46.830 - 00:18:48.910] 開發了一個新的地區
[00:18:48.910 - 00:18:50.070] 我們是有一個新的
[00:18:50.070 - 00:18:51.630] 翻工絲等等
[00:18:51.630 - 00:18:52.510] 這些星期
[00:18:52.510 - 00:18:53.790] 我們都可以分享
[00:18:53.790 - 00:18:54.590] 給各位
[00:18:54.590 - 00:18:54.870] 我想
[00:18:54.870 - 00:18:55.430] 信科
[00:18:55.430 - 00:18:57.150] 我還是對這些還是
[00:18:57.150 - 00:18:59.030] 比較感興趣
[00:18:59.030 - 00:18:59.550] 同時
[00:18:59.550 - 00:19:00.790] 我們還是可以分享
[00:19:00.790 - 00:19:01.710] 給我們公司
[00:19:01.710 - 00:19:03.310] 相關的一些
[00:19:03.310 - 00:19:04.350] 新聞
[00:19:04.350 - 00:19:05.350] 比如說
[00:19:05.350 - 00:19:06.510] 不管是說
[00:19:06.510 - 00:19:08.190] 有什麼
[00:19:08.190 - 00:19:09.590] 做機會
[00:19:09.590 - 00:19:10.790] 還是說
[00:19:10.790 - 00:19:11.630] 長浪會
[00:19:11.630 - 00:19:12.830] 也都可以分享的
[00:19:12.830 - 00:19:14.350] 給各位說
[00:19:14.350 - 00:19:15.630] 你知道嗎
[00:19:15.630 - 00:19:16.430] 我們最近
[00:19:16.430 - 00:19:17.150] 會
[00:19:17.150 - 00:19:17.790] 像家
[00:19:17.790 - 00:19:19.550] 這個長浪會等等
[00:19:19.550 - 00:19:22.750] 然後把這些星期分享給他們
[00:19:22.750 - 00:19:24.430] 所以這種有件以銷
[00:19:24.430 - 00:19:24.910] 真的
[00:19:24.910 - 00:19:26.310] 現在微信公眾好
[00:19:26.310 - 00:19:27.350] 差不多的
[00:19:27.350 - 00:19:28.110] 就等於是說
[00:19:28.110 - 00:19:30.590] 如果你們在微信關住一個
[00:19:30.590 - 00:19:31.550] 平排的
[00:19:31.550 - 00:19:32.750] 公眾好的話
[00:19:32.750 - 00:19:33.630] 你們就可以
[00:19:33.630 - 00:19:34.910] 定期收到
[00:19:34.910 - 00:19:36.430] 來自這個平排的一些
[00:19:36.430 - 00:19:37.710] 更新
[00:19:37.710 - 00:19:38.110] 還有
[00:19:38.110 - 00:19:39.310] 公司介紹
[00:19:39.310 - 00:19:40.430] 還有一些
[00:19:40.430 - 00:19:41.710] 新玩的等等
[00:19:41.710 - 00:19:42.670] 就是
[00:19:42.670 - 00:19:43.390] 跟這種
[00:19:43.390 - 00:19:44.030] 有件以銷
[00:19:44.030 - 00:19:45.550] 還是比較相同的
[00:19:45.550 - 00:19:46.670] 但是在海外
[00:19:46.670 - 00:19:47.630] 沒有微信
[00:19:47.630 - 00:19:47.950] 所以
[00:19:47.950 - 00:19:49.950] 大家在海外還是會
[00:19:49.950 - 00:19:51.950] 用有件用的比較多
[00:19:51.950 - 00:19:52.670] 所以就等於
[00:19:52.670 - 00:19:53.470] 我們把這個
[00:19:53.470 - 00:19:54.750] 邏輯放到
[00:19:54.750 - 00:19:56.430] 這個有件以銷上面
[00:19:56.430 - 00:19:57.470] 也都是一樣的
[00:19:57.470 - 00:19:58.510] 就是有件以銷的
[00:19:58.510 - 00:20:00.350] 真的像微信公眾好
[00:20:00.350 - 00:20:01.550] 超不多的
[00:20:01.550 - 00:20:03.790] 我們還是可以分享一些
[00:20:03.790 - 00:20:05.230] 成功案例
[00:20:05.230 - 00:20:05.950] 那這個是
[00:20:05.950 - 00:20:06.830] 對比當刻
[00:20:06.830 - 00:20:08.830] 還是非常有說服力的
[00:20:08.830 - 00:20:10.830] 因為他們不想要
[00:20:10.830 - 00:20:12.830] 看很多的資料
[00:20:12.830 - 00:20:13.710] 都就是說
[00:20:13.710 - 00:20:15.630] 我們公司有多厲害
[00:20:15.630 - 00:20:17.310] 我們公司有多
[00:20:17.310 - 00:20:18.190] 了不起
[00:20:18.190 - 00:20:19.070] 我們唱片
[00:20:19.070 - 00:20:20.670] 告治鏈了等等
[00:20:20.670 - 00:20:22.430] 他們更想要看一些
[00:20:22.430 - 00:20:24.590] 比較實際點的案例
[00:20:24.590 - 00:20:25.550] 所以他們對
[00:20:25.550 - 00:20:26.750] 這些成功案例
[00:20:26.750 - 00:20:27.550] 還是會
[00:20:27.550 - 00:20:28.990] 非常感謝
[00:20:28.990 - 00:20:30.510] 那如果我們
[00:20:30.510 - 00:20:31.310] 怕
[00:20:31.310 - 00:20:32.830] 我們在我們成功案例
[00:20:32.830 - 00:20:33.550] 裡面
[00:20:33.550 - 00:20:35.790] 提到了客戶的公司
[00:20:35.790 - 00:20:36.590] 可能
[00:20:36.590 - 00:20:38.110] 這家客戶
[00:20:38.110 - 00:20:38.830] 不懂意
[00:20:38.830 - 00:20:40.590] 然後出現什麼問題
[00:20:40.590 - 00:20:43.070] 我們其實在我們的成功案例裡面
[00:20:43.070 - 00:20:44.910] 還是可以當讀說
[00:20:44.910 - 00:20:48.510] 我們跟某一家
[00:20:48.510 - 00:20:50.190] 當賣起業
[00:20:50.190 - 00:20:51.390] 合作了
[00:20:51.390 - 00:20:54.750] 他們是在這個行業
[00:20:54.750 - 00:20:56.430] 有多少年的紀念
[00:20:56.430 - 00:20:58.190] 然後他們是比較大的
[00:20:58.190 - 00:20:59.390] 然後他們有
[00:20:59.390 - 00:21:01.470] 這個方面的問題
[00:21:01.470 - 00:21:03.070] 然後他們利用了
[00:21:03.070 - 00:21:04.990] 我們的長批以後
[00:21:04.990 - 00:21:08.670] 他們可以把他們的成本
[00:21:08.670 - 00:21:10.590] 就剪低很多
[00:21:10.590 - 00:21:12.350] 他們是減少了
[00:21:12.350 - 00:21:15.310] 百分之二十五的
[00:21:16.430 - 00:21:18.030] 成本
[00:21:18.030 - 00:21:19.470] 就介紹一下
[00:21:19.470 - 00:21:21.070] 他們合作
[00:21:21.070 - 00:21:22.670] 跟我們合作之前
[00:21:22.670 - 00:21:25.070] 合作之後的一些變化
