# 新课抢先学_7. 搜索页面焕新，广告转化提效

language=zh
language_probability=1.000
model=tiny

[00:00:00.620 - 00:00:02.260] 各位商家朋友大家好
[00:17:02.140 - 00:17:03.820] 同时四制齐权
[00:17:03.820 - 00:17:06.220] 并且能够展示出来
[00:17:06.220 - 00:17:09.820] 所以我们在这个改办的之前也做了一些
[00:17:09.820 - 00:17:11.180] 调整大概可以注意到
[00:17:11.180 - 00:17:15.100] 像我们一系列资认认认之类的标识
[00:17:15.100 - 00:17:16.540] 也是更加的出出了
[00:17:16.540 - 00:17:18.060] 所以从这些违度来讲
[00:17:18.060 - 00:17:21.100] 如果说我们的广告能够把信息完善的
[00:17:21.100 - 00:17:23.740] 更加匹配买家的这个需求一圖
[00:17:23.740 - 00:17:25.580] 那相当来讲无论是广告
[00:17:25.580 - 00:17:26.700] 还是普通的产品
[00:17:26.700 - 00:17:29.660] 买家都还是有更多愿意点击的机会
[00:17:29.660 - 00:17:32.700] 所以我们对调广告进行了升级
[00:17:32.700 - 00:17:35.900] 买提升我们整个广告的广告
[00:17:35.900 - 00:17:37.500] 那我们具体看一下
[00:17:37.500 - 00:17:41.020] 首先我们是基于买家的行为需确认界面
[00:17:41.020 - 00:17:42.700] 我们刚刚所讲的要
[00:17:42.700 - 00:17:45.420] 买足买家个性化的匹配需求
[00:17:45.420 - 00:17:47.580] 我们也可以通过其他的页面
[00:17:47.580 - 00:17:50.380] 了解到当我这个页面去呈现
[00:17:50.380 - 00:17:51.660] 确认界面的时候
[00:17:51.660 - 00:17:53.260] 它的防控广告
[00:17:53.260 - 00:17:56.060] 其实是能够提升到20%的一个数据
[00:17:56.060 - 00:17:57.100] 所以我们对
[00:17:57.100 - 00:17:59.180] TR这边也去做了一些调整
[00:17:59.180 - 00:18:01.020] 基于买家的行为线人前面
[00:18:01.020 - 00:18:02.780] 那如何去实现这个前面
[00:18:02.780 - 00:18:04.140] 明需要有产品库
[00:18:04.140 - 00:18:05.980] 所以我们提供人工
[00:18:05.980 - 00:18:08.620] 加智能旋品系统智能旋品的一个
[00:18:08.620 - 00:18:12.220] 落借来提供这种产品库的一个支持
[00:18:12.220 - 00:18:14.940] 那买我们自己也可以去设置
[00:18:14.940 - 00:18:16.140] 主推品和平地产品
[00:18:16.140 - 00:18:17.980] 满足我们各行化的配置
[00:18:17.980 - 00:18:21.420] 那同时我们贴二广告这里面有固定第一的
[00:18:21.420 - 00:18:24.780] 这个版式我们也提供多品和产品组的一个选择
[00:18:24.780 - 00:18:26.540] 根据自己的需求去设置
[00:18:26.540 - 00:18:28.380] 那同时我们前面也注意到
[00:18:28.380 - 00:18:29.820] 有一些厌面的广告
[00:18:29.820 - 00:18:31.020] 如果没有即时设置的
[00:18:31.020 - 00:18:32.300] 它是一个空置的
[00:18:32.300 - 00:18:34.860] 所以我们这一次自动圈面的逻辑也会
[00:18:34.860 - 00:18:38.940] 能够让我们的资源不至于空号不至于浪费
[00:18:38.940 - 00:18:40.860] 所以整体的这样的一个
[00:18:40.860 - 00:18:42.620] 优化的逻辑是针对我们
[00:18:42.620 - 00:18:43.820] TR不然广告的
[00:18:43.820 - 00:18:45.260] 我们可以具体看一下后台
[00:18:45.260 - 00:18:47.340] 有哪些厌面的一个主要挑战
[00:18:47.340 - 00:18:48.940] 首先是百世的选择
[00:18:48.940 - 00:18:52.540] 我们固定第一是支持两种买式多品和产品组
[00:18:52.540 - 00:18:54.060] 所以这方面不支持
[00:18:54.060 - 00:18:55.580] 不支持选择百世单
[00:18:55.580 - 00:18:57.580] 直接就是选择了
[00:18:57.580 - 00:18:59.900] 这一次是没有展示进的一个逻辑
[00:18:59.900 - 00:19:01.020] 因为展示进行其实
[00:19:01.020 - 00:19:04.700] 和核心之前也是为了让买家点击
[00:19:04.700 - 00:19:05.900] 看到更多的产品
[00:19:05.900 - 00:19:08.060] 这一次我们是圈人圈面的产品
[00:19:08.060 - 00:19:10.620] 本身就是给买家多样化的这种呈现
[00:19:10.620 - 00:19:13.580] 所以我们不在增加一个流程
[00:19:13.580 - 00:19:14.860] 让买家在跳转了
[00:19:14.860 - 00:19:16.540] 我们直接从产品入手
[00:19:16.540 - 00:19:18.380] 能够不多度流度买家
[00:19:18.380 - 00:19:19.420] 锁定买家
[00:19:19.420 - 00:19:22.140] 第二个就是圈品的逻辑
[00:19:22.140 - 00:19:23.020] 这能圈品
[00:19:23.020 - 00:19:25.420] 你就是系统会根据你的广告辞
[00:19:25.420 - 00:19:26.860] 只能圈选
[00:19:26.860 - 00:19:27.980] 符合挑战的产品
[00:19:27.980 - 00:19:29.180] 作为广告产品
[00:19:29.180 - 00:19:31.420] 这里面独大产品是出来的
[00:19:31.420 - 00:19:33.660] 第二如果说我们有自己的需求
[00:19:33.660 - 00:19:36.140] 也可以手动天价想要绑低广告产品
[00:19:36.140 - 00:19:37.820] 这样一个圈品的逻辑
[00:19:37.820 - 00:19:40.460] 要求的是4.5星级以上
[00:19:40.460 - 00:19:43.020] 予广告辞非常相关的产品
[00:19:43.020 - 00:19:47.340] 每个广告最多是200条产品的一个广并
[00:19:47.340 - 00:19:50.620] 这边是我们Top Rang的一个基础设置
[00:19:50.620 - 00:19:53.340] 还有我们去设置品闭
[00:19:53.340 - 00:19:54.580] 比如说我有证设置
[00:19:54.580 - 00:19:56.780] 我不想让这个系统推荐这条产品
[00:19:56.780 - 00:19:57.820] 去作为我的广告
[00:19:57.820 - 00:19:59.260] 我也可以去品闭
[00:19:59.260 - 00:20:00.460] 那以频闭的产品
[00:20:00.460 - 00:20:03.260] 后续是不会进入系统天价的产品的方为
[00:20:03.260 - 00:20:05.980] 同时我们也可以支持加入主推品
[00:20:05.980 - 00:20:07.820] 主推品在亲人前面推荐的时候
[00:20:07.820 - 00:20:09.580] 想要優先的展示权
[00:20:09.580 - 00:20:12.140] 就是我们想要重点推广的产品
[00:20:12.140 - 00:20:14.060] 可以去把它大标产主推并
[00:20:14.060 - 00:20:18.060] 最多是可以选择适合主推品
[00:20:18.380 - 00:20:21.740] 另外提到广告的一个空置位的问题
[00:20:21.740 - 00:20:26.380] 我们这一次是做了广告默认其都避免空窗器的设置
[00:20:26.380 - 00:20:30.860] 如果您之前已经设置我前一个幅期已经设置我广告
[00:20:30.860 - 00:20:33.420] 并且先设置比较完整
[00:20:33.420 - 00:20:36.140] 比较符合当起的配置规则
[00:20:36.140 - 00:20:37.900] 那系统就会责优严用
[00:20:37.900 - 00:20:40.940] 如果说你的之前的设置的不符合或者是
[00:20:40.940 - 00:20:45.660] 为即时设置广告的话系统就会根据符合条件的产品
[00:20:45.660 - 00:20:46.940] 进行一个智能圈选
[00:20:46.940 - 00:20:48.060] 然后进行展示
[00:20:48.060 - 00:20:52.460] 如果是呼类第一会以这种多品的形式进行一个展示
[00:20:52.460 - 00:20:57.980] 保障我们广告充分的利用上不会有空置的状态
[00:20:57.980 - 00:21:00.220] 结合前面所讲的细节点
[00:21:00.220 - 00:21:02.860] 我们总结两个维度一个是更高流量
[00:21:02.860 - 00:21:05.500] 一个是更多流量一个是更高掌化
[00:21:05.500 - 00:21:09.020] 更多流量就是为让我们搜索结果业受业改版
[00:21:09.020 - 00:21:11.980] 也就是我们广告位所在的业面
[00:21:11.980 - 00:21:14.780] 是重点要去做一些优化和提升的
[00:21:14.780 - 00:21:17.900] 让我们的流量更多让我们的流程更高
[00:21:17.900 - 00:21:19.340] 就是我们的搜索结果业
[00:21:19.340 - 00:21:21.660] 产品量从10个增加至30个
[00:21:21.660 - 00:21:24.220] 一化来伤选绪合以及版面的图导
[00:21:24.220 - 00:21:26.300] 它不然广告的主要是
[00:21:26.300 - 00:21:27.340] 千人千面
[00:21:27.340 - 00:21:31.340] 然后圈秘的邏輯变成了系统圈秘和加人物圈秘
[00:21:31.340 - 00:21:33.420] 以及我们广告能够自动圈秘展示
[00:21:33.420 - 00:21:34.620] 比你自愿的空号
[00:21:34.620 - 00:21:37.980] 这样的一个操作让我们的手业的暴光
[00:21:37.980 - 00:21:39.260] 能够进行一个三倍
[00:21:39.260 - 00:21:40.540] 能够进入的处答
[00:21:40.540 - 00:21:44.300] 让我们的广告能够获得更多的暴光更多的流量
[00:21:44.300 - 00:21:51.220] 能够在这次基础上提升它的短化
[00:21:51.220 - 00:21:56.340] 这边也给大家顺便分享一下其他广告的一些挑战
[00:21:56.340 - 00:21:59.300] 这次我们前进应该也在
[00:21:59.300 - 00:22:02.100] 享受端这边给大家做了一些通知
[00:22:02.100 - 00:22:03.700] 比如说像随心头的广告
[00:22:03.700 - 00:22:05.940] 支持优质优投放效果刚好
[00:22:05.940 - 00:22:08.500] 以及每个企则最多广告5个产品
[00:22:08.500 - 00:22:09.940] 带来更多的短化
[00:22:09.940 - 00:22:13.220] 同时我们翻一翻的广告也同步做了升级
[00:22:13.220 - 00:22:14.580] 只够我们添广告一样
[00:22:14.580 - 00:22:17.140] 用自动圈品和人工圈品的垃圾
[00:22:17.140 - 00:22:20.020] 能够让我们千人千命的呈现
[00:22:20.020 - 00:22:24.020] 能够的效果能够更好的找化
[00:22:24.020 - 00:22:30.020] 那刚刚所讲的是我们目前广告体系升级的主要和信要点
[00:22:30.020 - 00:22:34.260] 大家在上线之前大家就知道2月3号上线
[00:22:34.260 - 00:22:39.300] 在上线之前我们也就是今天1月22号做了升级的玉告
[00:22:39.300 - 00:22:43.300] 我们通过直播讲解一些有件通知
[00:22:43.300 - 00:22:45.540] 大家在此之后就可以开始行动了
[00:22:45.540 - 00:22:47.860] 比如说像我们想要去推广的一些
[00:22:47.860 - 00:22:50.340] 广告产品我们可以中免去幽化一下
[00:22:50.340 - 00:22:52.740] 我们相关的视频啊
[00:22:52.740 - 00:22:57.220] 图片素材等等都可以做一些挑战幽化
[00:22:57.220 - 00:22:58.660] 那我们在这个期间
[00:22:58.660 - 00:23:01.940] 如果说有一些以问我们可以及时的去通过有件
[00:23:01.940 - 00:23:06.340] 直播外亡一家里面的相关内容都可以进行一个学习和了解
[00:23:06.340 - 00:23:09.380] 甚至可以资取我们科技你自行我们的四名名
[00:23:09.380 - 00:23:12.900] 那另外我们2月3号正上线
[00:23:12.900 - 00:23:16.180] 相关的课程也是可以回看的
[00:23:16.180 - 00:23:18.180] 自行通道也是一只开放的
[00:23:18.180 - 00:23:23.140] 所以满足大家在这个期间的一个读间的转变
[00:23:23.140 - 00:23:29.140] 那最后我们给大家做一个整体的FQ的
[00:23:29.140 - 00:23:32.900] 讲解可能设计到大家比较关注的一些问题
[00:23:32.900 - 00:23:36.900] 首先我们是做结果一样是有一夜产品从10个增加到30个
[00:23:36.900 - 00:23:39.140] 我的它不让个广告的位置有没有变化
[00:23:39.140 - 00:23:42.420] 这可以处大家是完全不会变化的
[00:23:42.420 - 00:23:46.100] 我们的它不让个本身就是前10位的一个黄金位置
[00:23:46.100 - 00:23:47.940] 这一次依然不会变化
[00:23:47.940 - 00:23:51.700] 而且我们买家的流暖器官依然是从上往下不变的
[00:23:51.700 - 00:23:55.060] 所以对于广告而言依然是黄金位置有些流暖
[00:23:55.060 - 00:23:58.980] 广告升级之后为什么要即使有化天而广告产品
[00:23:58.980 - 00:24:03.540] 因为我们苏索结果业首业的产品增加新新密度变好了
[00:24:03.540 - 00:24:06.260] 以及整个排板变好了我们的苏索引擎
[00:24:06.260 - 00:24:08.660] 它能抓取以后它的排名也好
[00:24:08.660 - 00:24:11.060] 都带来的是更大的流量
[00:24:11.060 - 00:24:15.220] 而我们的广告它是前10位的一个位置是黄金位置
[00:24:15.220 - 00:24:19.140] 它能够获取到的这个流量的机会以及更大
[00:24:19.140 - 00:24:22.100] 你就是获得流量更大的情况下我们要去做什么
[00:24:22.100 - 00:24:24.340] 让你的产品能够成阶住对不对
[00:24:24.340 - 00:24:27.780] 所以我们要去对这种买家流存下来的买家
[00:24:27.780 - 00:24:32.900] 去做一些流存我们去提升这种广告的点击状化
[00:24:32.900 - 00:24:36.260] 所以我们要把这些产品给它优化到位
[00:24:36.260 - 00:24:37.540] 举付我们的视频
[00:24:37.540 - 00:24:40.100] 要体已经一些SQ等的信息
[00:24:40.100 - 00:24:44.100] 让买家进入的时候就能够对你的广告一件信息
[00:24:45.220 - 00:24:47.380] 第三个苏索结果业首业改版
[00:24:47.380 - 00:24:49.220] 我们的巨交广告如何优化呢
[00:24:49.220 - 00:24:51.380] 首先我们进行业面通关之后
[00:24:51.380 - 00:24:53.300] 巨交广告的大小它其实没有变化
[00:24:53.300 - 00:24:56.020] 依然是我们的霸屏位置展成像
[00:24:56.020 - 00:24:57.540] 本次业面升级之后
[00:24:57.540 - 00:25:00.580] 长期来看我们业面的流量会进一步的提升
[00:25:00.580 - 00:25:01.540] 并且呢
[00:25:01.540 - 00:25:03.300] 我们山寻组合优化后
[00:25:03.300 - 00:25:04.660] 在买家山寻的时候
[00:25:04.660 - 00:25:07.460] 我们巨交依然能够吸引买家的关注
[00:25:07.460 - 00:25:10.180] 所以必须要关注我们巨交的一个优化了
[00:25:10.180 - 00:25:13.060] 那我们要提醒大家如果您买了巨交广告
[00:25:13.060 - 00:25:15.300] 一定要提醒地去配置我们的巨交
[00:25:15.300 - 00:25:18.260] 第二个一定要根据我们广告辞设置
[00:25:18.260 - 00:25:22.500] 与这匹配的广告产品视频或者素材图片等等
[00:25:23.060 - 00:25:24.740] 能够吸引买家流入买家
[00:25:24.740 - 00:25:26.340] 因为我们前面讲到
[00:25:26.340 - 00:25:29.140] 不管是苏索引秦也还是买家的提也也好
[00:25:29.140 - 00:25:31.300] 他对于这种相关度高的信息
[00:25:31.300 - 00:25:32.660] 会更加地侵賴
[00:25:32.660 - 00:25:34.260] 所以我们一定要把这种
[00:25:34.260 - 00:25:36.500] 手屏、霸屏位置的资源、利用好
[00:25:36.500 - 00:25:37.780] 让它能够成阶入
[00:25:39.300 - 00:25:40.100] 那第四个呢
[00:25:40.100 - 00:25:42.820] 是偷不然个升级之后广告产品是多少个
[00:25:42.820 - 00:25:45.540] 这个跟前面应该也跟大家提过是200个
[00:25:45.540 - 00:25:46.660] 主对产品是什么
[00:25:46.660 - 00:25:47.780] 可以屏蔽产品吗
[00:25:47.780 - 00:25:50.580] 相关的操作我们前面也给大家呈现过
[00:25:50.580 - 00:25:51.940] 我们可以在
[00:25:51.940 - 00:25:54.820] 天下产品的时候通过系统或者人工圈品
[00:25:54.820 - 00:25:56.740] 最多可以选择200个产品
[00:25:56.740 - 00:25:58.660] 并且实现了亲人亲命的展示
[00:25:58.660 - 00:26:00.900] 充分的利用我们的广告资源
[00:26:00.900 - 00:26:02.180] 大家在设置的时候
[00:26:02.180 - 00:26:03.940] 可以选择十个土推品
[00:26:03.940 - 00:26:06.900] 主推品在广告位是有优先展示圈的
[00:26:06.900 - 00:26:08.500] 并且也可以屏蔽产品
[00:26:08.500 - 00:26:10.340] 如果说这个产品我不想主推
[00:26:10.340 - 00:26:11.860] 我不想作为广告位置出现
[00:26:11.860 - 00:26:12.900] 那我可以把他屏蔽
[00:26:12.900 - 00:26:13.940] 以后就不会再
[00:26:13.940 - 00:26:15.460] 听家到这个方位了
[00:26:16.820 - 00:26:18.660] 那翻译翻译这一次有身体吗
[00:26:18.660 - 00:26:20.740] 翻译翻译人然是我们的苏索结果月的
[00:26:20.740 - 00:26:22.100] 二到二十位秦三位
[00:26:22.100 - 00:26:23.620] 二到二十一的
[00:26:23.620 - 00:26:24.580] 秦三位
[00:26:24.580 - 00:26:25.940] 那翻译翻广告
[00:26:25.940 - 00:26:27.140] 也同步升级了
[00:26:27.140 - 00:26:29.220] 我们的亲人亲命展示的邏輯
[00:26:29.220 - 00:26:30.740] 那也是支持我们的系统
[00:26:30.740 - 00:26:31.380] 智能
[00:26:31.380 - 00:26:32.580] 而人工圈品的
[00:26:32.580 - 00:26:35.380] 可以选择200条产品进一一刻推广
[00:26:36.420 - 00:26:37.460] 什么情况下
[00:26:37.460 - 00:26:39.620] 我们前台是不展示特别让广告的
[00:26:39.620 - 00:26:41.060] 前面给大家分享过
[00:26:41.060 - 00:26:43.620] 我们现在的邏輯是自动圈品展示
[00:26:43.620 - 00:26:44.820] 并免空转机
[00:26:44.820 - 00:26:46.020] 但是会有一个情况
[00:26:46.020 - 00:26:50.260] 我这个广告下面还没有任何于广告辞
[00:26:50.260 - 00:26:51.620] 或者是孟路相关的产品
[00:26:51.620 - 00:26:52.980] 无法缺选到产品
[00:26:52.980 - 00:26:54.340] 那就没办法展示了
[00:26:54.340 - 00:26:58.660] 如果说比如说像一些新开的帐号
[00:26:58.660 - 00:26:59.780] 它没有去发品
[00:26:59.780 - 00:27:02.740] 或者是我没有在这个广告磁下面放对应的产品
[00:27:02.740 - 00:27:03.940] 我就没有办法抓取的
[00:27:03.940 - 00:27:05.140] 已经没办法展示
[00:27:05.140 - 00:27:06.500] 所以还是要提醒大家
[00:27:06.500 - 00:27:07.780] 如果咱们够买了广告
[00:27:07.780 - 00:27:10.340] 一定要提前不局一下我们产品的发布
[00:27:11.940 - 00:27:13.620] 它不认为广告的广告产品
[00:27:13.620 - 00:27:14.500] 是怎么缺选的
[00:27:14.500 - 00:27:16.100] 支持手动天家吗
[00:27:16.100 - 00:27:19.220] 这广告是支持系统圈训和人工圈训训的
[00:27:19.220 - 00:27:22.340] 如果说系统圈训云法圈到符合条件的产品
[00:27:22.340 - 00:27:23.140] 或者说
[00:27:23.140 - 00:27:24.980] 你想要自定意义选择广告产品
[00:27:24.980 - 00:27:26.900] 都可以信心手动的选择
[00:27:28.100 - 00:27:29.940] 我们的既然广告的系统圈训训训
[00:27:29.940 - 00:27:31.780] 是根据购买此购买购买购买墓路
[00:27:31.780 - 00:27:33.620] 去批配符合条件的产品的
[00:27:33.620 - 00:27:36.500] 要求是产品达到4.5星以上
[00:27:36.500 - 00:27:38.100] 4.5星极以上
[00:27:38.100 - 00:27:39.140] 并且相关路高
[00:27:39.140 - 00:27:41.780] 系统圈训是不会缺选我们的阻大产品
[00:27:41.780 - 00:27:45.220] 我们可以手动地去选择阻大产品
[00:27:45.220 - 00:27:47.220] 但正面是提醒大家
[00:27:47.220 - 00:27:49.700] 我们的工作结果也设计要去重处理的
[00:27:49.700 - 00:27:51.780] 一旦是阻大产品进入了广告推荐
[00:27:51.780 - 00:27:54.580] 主大产品可能不会重复推荐在
[00:27:54.580 - 00:27:56.340] 首页的飞广告位置
[00:27:56.340 - 00:27:58.820] 我们建议是合理配置一下
[00:27:58.820 - 00:28:00.420] 哪些资源是作为广告
[00:28:00.420 - 00:28:02.020] 哪些资源是作为阻大
[00:28:02.020 - 00:28:06.340] 或者是广告辞和阻大和心辞是有区分的
[00:28:06.340 - 00:28:10.020] 来做为广告设置的一个思路
[00:28:10.020 - 00:28:11.220] 最后是我们托不然了
[00:28:11.220 - 00:28:15.460] 广告圣级后之前广告市值版社和产品会保留
[00:28:15.460 - 00:28:18.020] 大概的邏輯就是如果我们之前已经设置过
[00:28:18.020 - 00:28:21.460] 并且你的信息是满足我们新的规则的
[00:28:21.460 - 00:28:24.740] 那就会保留作为这样的一个广告产品
[00:28:24.740 - 00:28:26.820] 人工清晰来广告产品去呈现
[00:28:26.820 - 00:28:30.180] 如果之前设置展示因过的是一组产品
[00:28:30.180 - 00:28:32.900] 或者是这些产品不复合条件
[00:28:32.900 - 00:28:35.540] 圣级后就没有产品大陆到广告
[00:28:35.540 - 00:28:38.420] 範围游戏统自动重新圈品
[00:28:38.420 - 00:28:44.180] 具体升级后的后台大家可以进入后台进一查看
[00:28:44.180 - 00:28:47.780] 这边的建议是大家在2月3号上限之后
[00:28:47.780 - 00:28:50.020] 即使的登入后台去设置广告
[00:28:50.020 - 00:28:54.180] 而在2月3号之前我们可以对想要配置广告资源
[00:28:54.180 - 00:28:58.900] 去做广告对我们的搜索的图片也好
[00:28:58.900 - 00:29:02.900] 我们这个广告的一些图片也好还有视频也好
[00:29:02.900 - 00:29:04.340] 所谓的广告
[00:29:04.340 - 00:29:06.500] 我们广告设置如果还是一样的
[00:29:06.500 - 00:29:08.660] 我们的影响平的广告
[00:29:08.660 - 00:29:12.260] 自动广告这一块去设置或者是影响资产服务力量
[00:29:12.260 - 00:29:15.540] 进入然后进一查做
[00:29:15.540 - 00:29:19.380] 这边就不要的一些更新的
[00:29:19.380 - 00:29:21.540] 或者是大家可能有以后的一些问题
[00:29:21.540 - 00:29:25.540] 更多的一些问题大家可以在评论去留言
[00:29:25.540 - 00:29:27.700] 我们稍后给大家做一一的解答
[00:29:27.700 - 00:29:32.100] 同时也支持大家去过到我们的四屆名热线
[00:29:32.100 - 00:29:36.580] 或者是在现刻服或者相关的解答
[00:29:36.580 - 00:29:39.460] 如果说设计到我们广告证刺
[00:29:39.460 - 00:29:42.020] 或者是购买这一些需求等等
[00:29:42.020 - 00:29:44.260] 可以直接资取您的客户经理
[00:29:44.260 - 00:29:45.860] 都可以得到对应的打负
[00:29:45.860 - 00:29:51.010] 接下来大家可以真的信信一些提问
[00:29:51.010 - 00:29:53.650] 好的今天的歌诚大概就是这些
[00:29:53.650 - 00:29:57.010] 稍后我们把客成进行一个回放
[00:29:57.010 - 00:30:00.770] 满足大家是日后去做学习的一个了解
[00:30:00.770 - 00:30:02.770] 好,谢谢大家
