# 新课抢先学_4. 参展攻略（上）

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:08.590] 首先我在這一個展規的課上
[00:16:37.600 - 00:16:39.280] 大家更多的是通過
[00:16:39.280 - 00:16:40.480] 微信平台
[00:16:40.480 - 00:16:41.840] Facebook
[00:16:41.840 - 00:16:44.000] 包括通過另一個硬去找一些
[00:16:44.000 - 00:16:45.040] 相當的展會
[00:16:45.040 - 00:16:45.840] 所以呢
[00:16:45.840 - 00:16:46.640] 這樣呢
[00:16:46.640 - 00:16:47.440] 這樣呢
[00:16:47.440 - 00:16:49.840] 我覺得這是一個傳統的方式
[00:16:49.840 - 00:16:51.120] 那麼我並不推薦
[00:16:51.120 - 00:16:51.680] 但是呢
[00:16:51.680 - 00:16:54.160] 大家可以去進行的嘗試
[00:16:55.280 - 00:16:56.640] 那麼後面的話呢
[00:16:56.640 - 00:16:58.400] 我就這兩場
[00:16:58.400 - 00:17:00.720] 我覺得和大家要細直討論一下
[00:17:00.720 - 00:17:02.320] 就是我們展會
[00:17:02.320 - 00:17:03.920] 前面是知道了
[00:17:04.480 - 00:17:05.600] 一開始到去
[00:17:05.600 - 00:17:07.280] 怎麼樣去早展會
[00:17:07.280 - 00:17:09.840] 但是並不代表這個展會
[00:17:09.840 - 00:17:12.000] 真正的事和我們
[00:17:12.000 - 00:17:15.280] 我們只是找到了他而已
[00:17:15.280 - 00:17:17.520] 我們要考慮一下其他的因素
[00:17:17.520 - 00:17:18.480] 比如說
[00:17:18.480 - 00:17:19.360] 地獄性
[00:17:19.360 - 00:17:21.440] 這個是非常的重要的
[00:17:21.440 - 00:17:23.040] 和為地獄
[00:17:23.040 - 00:17:24.160] 就是比如說
[00:17:24.160 - 00:17:25.200] 我現在是在中國
[00:17:25.200 - 00:17:27.040] 我是中國的一家企業
[00:17:27.040 - 00:17:29.760] 我收到了很多
[00:17:29.760 - 00:17:31.920] 來自中東的巡盤
[00:17:32.480 - 00:17:35.040] 那麼很多有異鄉的潛在客戶
[00:17:35.040 - 00:17:36.320] 來自中東
[00:17:36.320 - 00:17:37.680] 這個時候
[00:17:37.680 - 00:17:39.200] 我要去評估一下
[00:17:39.200 - 00:17:40.800] 自己個中東的客戶
[00:17:40.800 - 00:17:42.320] 承擔的可能性
[00:17:42.560 - 00:17:45.040] 有了承擔的可能性之後
[00:17:45.040 - 00:17:47.360] 我同時要去思考
[00:17:47.360 - 00:17:49.760] 我這個產品
[00:17:49.760 - 00:17:52.160] 在中東為什麼受歡迎
[00:17:52.880 - 00:17:54.160] 這個潛在客戶
[00:17:54.160 - 00:17:56.160] 有沒有和我說這些
[00:17:57.520 - 00:17:58.160] 所以
[00:17:58.160 - 00:17:59.040] 這要請問一下
[00:17:59.040 - 00:18:01.760] 如果說當我覺得我的產品
[00:18:01.760 - 00:18:02.880] 在這個地方
[00:18:02.880 - 00:18:04.320] 會比較受歡迎
[00:18:04.320 - 00:18:05.520] 因為一個比方
[00:18:05.520 - 00:18:06.400] 司經
[00:18:06.400 - 00:18:08.720] 那肯定會在阿拉伯市場
[00:18:08.720 - 00:18:09.520] 很受歡迎
[00:18:09.520 - 00:18:11.040] 或者在印尼市場
[00:18:11.040 - 00:18:12.960] 你說考慮到的有關
[00:18:12.960 - 00:18:14.640] 於是南教的國家的
[00:18:14.640 - 00:18:16.880] 都一定會很喜歡司經
[00:18:16.880 - 00:18:18.560] 因為他們旅行
[00:18:18.560 - 00:18:20.160] 這個帶頭經
[00:18:20.160 - 00:18:21.600] 這是非常普遍的
[00:18:21.600 - 00:18:23.120] 在意思南教當中
[00:18:23.120 - 00:18:26.400] 所以這是對於你的市場
[00:18:26.400 - 00:18:28.880] 和民主文化所謂
[00:18:28.880 - 00:18:30.160] 那麼我們再講
[00:18:30.160 - 00:18:31.680] 當對客戶來說
[00:18:31.680 - 00:18:34.720] 如果說你有一個非常便宜的心產品
[00:18:34.720 - 00:18:36.800] 價格中點粗泊中點是
[00:18:36.800 - 00:18:38.320] 在於價格的話
[00:18:38.320 - 00:18:40.560] 那我建議並不要推薦美國
[00:18:40.560 - 00:18:42.320] 我建議你推薦印度
[00:18:42.320 - 00:18:44.480] 因為他們喜歡客戶
[00:18:44.480 - 00:18:46.640] 更喜歡低價
[00:18:46.640 - 00:18:49.840] 所以像一些像微握、歐巴、歐巴
[00:18:49.840 - 00:18:52.240] 甚至一些更便宜的一些手機
[00:18:52.240 - 00:18:55.440] 在印度會非常的受歡迎
[00:18:55.440 - 00:18:57.040] 這個就是我說考慮
[00:18:57.040 - 00:19:00.240] 大家說考慮遇的地獄性
[00:19:00.240 - 00:19:01.200] 這地層
[00:19:01.200 - 00:19:02.160] 還有
[00:19:02.160 - 00:19:02.880] 就是
[00:19:02.880 - 00:19:04.400] 遇言上面的
[00:19:04.400 - 00:19:07.360] 比如說我曾經去賣阿密參加過展會
[00:19:07.360 - 00:19:09.200] 賣阿密展會是什麼樣的
[00:19:09.200 - 00:19:10.640] 賣阿密是
[00:19:10.640 - 00:19:14.720] 結果的客戶和中南美的客戶結合在一起
[00:19:14.720 - 00:19:16.320] 都會去展會
[00:19:16.320 - 00:19:17.200] 為什麼
[00:19:17.200 - 00:19:22.320] 因為賣阿密是美國最難端的城市
[00:19:22.320 - 00:19:24.480] 它成為最難端的城市時候
[00:19:24.480 - 00:19:26.240] 它的整個城市
[00:19:26.240 - 00:19:29.360] 因為有60%的人口
[00:19:29.360 - 00:19:31.360] 會說西班牙語
[00:19:31.360 - 00:19:34.960] 所以會有很多的南美人
[00:19:34.960 - 00:19:36.800] 會到美國面面來
[00:19:36.800 - 00:19:39.280] 因為就像說你到美國一個城市
[00:19:39.280 - 00:19:41.200] 很多人會說中文一樣
[00:19:41.200 - 00:19:43.680] 那當語言溝通好了
[00:19:43.680 - 00:19:45.600] 那麼深意就來了
[00:19:45.600 - 00:19:51.200] 所以語言也是深意成功的另一條道路
[00:19:51.200 - 00:19:53.360] 這個時候我們要明確一下
[00:19:53.360 - 00:19:54.320] 這個疊
[00:19:54.320 - 00:19:56.480] 這個城市
[00:19:56.480 - 00:20:00.320] 真正主流的語言和豐土人清是什麼樣的
[00:20:00.320 - 00:20:03.760] 我們之前是應該有一個出不了了解
[00:20:03.760 - 00:20:06.160] 所以在那次MAMI展會之後
[00:20:06.160 - 00:20:08.240] 我和我的
[00:20:08.240 - 00:20:10.560] 我見到很多南美的錢
[00:20:10.560 - 00:20:12.640] 客戶和美國的錢在客戶
[00:20:12.640 - 00:20:16.080] 真的是一個展會一舉多德
[00:20:16.080 - 00:20:17.120] 這是一個
[00:20:17.120 - 00:20:20.000] 第二個比如說摩洛哥摩洛哥的話
[00:20:20.000 - 00:20:22.640] 那邊是在非洲和歐洲這一塊
[00:20:22.640 - 00:20:25.920] 那麼它會有很多非洲的客戶會去了
[00:20:25.920 - 00:20:29.760] 那麼也會有很多的歐洲客戶也一同錢我
[00:20:29.760 - 00:20:31.840] 所以在這個上面地獄訓的話
[00:20:31.840 - 00:20:33.200] 大家可以在思考
[00:20:33.200 - 00:20:36.560] 第二個就是行業當中參展的企業
[00:20:36.560 - 00:20:40.080] 你所正在選擇這個餐廳會當中
[00:20:40.080 - 00:20:44.320] 你認識有多少家行業餐單企業
[00:20:44.320 - 00:20:46.320] 你之前對這個展會之前
[00:20:46.320 - 00:20:48.560] 你是需要有了解和摩洛洛的
[00:20:48.560 - 00:20:51.520] 你至少我每次去一個展會之前
[00:20:51.520 - 00:20:57.600] 我至少要認識時道二十家當地的展會的餐單企業
[00:20:57.600 - 00:20:59.840] 只能使時道二十家是認識
[00:20:59.840 - 00:21:01.440] 甚至有五家左右
[00:21:01.440 - 00:21:03.440] 都是有過有件難往的
[00:21:03.440 - 00:21:08.240] 那麼這個時候我可以花時間和他們預約
[00:21:08.240 - 00:21:10.720] 在展會上面進行進會面
[00:21:10.720 - 00:21:15.520] 所以這個展會餐單企業也是非常重要的
[00:21:15.520 - 00:21:17.840] 第三就是你年紀的一個錢
[00:21:17.840 - 00:21:20.640] 大家客戶他是否也會餐價這個展會
[00:21:20.640 - 00:21:23.360] 你可以你有時候不知道了什麼
[00:21:23.360 - 00:21:25.920] 有時候可能無話可說
[00:21:25.920 - 00:21:30.000] 但是這個時候可以問他你也不也沒有餐價
[00:21:30.000 - 00:21:32.880] 我可能會去餐價我們可以在那裡見面
[00:21:32.880 - 00:21:33.840] 真的
[00:21:33.840 - 00:21:35.840] 然後在這個考慮因素之後
[00:21:35.840 - 00:21:41.120] 那麼我們最後面就是要明確我們的餐展目
[00:21:41.120 - 00:21:45.440] 餐展會並不是只是簡單的去拿下客戶
[00:21:45.440 - 00:21:49.040] 拿下客戶這個目體實在是太大了
[00:21:49.040 - 00:21:51.120] 不具體不細化
[00:21:51.120 - 00:21:53.680] 我們每個人都想拿下行客戶
[00:21:53.680 - 00:21:56.640] 但是我們是通過什麼要方式的
[00:21:56.640 - 00:22:00.560] 那麼這餐各有三種方式我是自己思考的
[00:22:00.560 - 00:22:03.040] 第一種是推薦新產品
[00:22:03.040 - 00:22:04.640] 我在老的市場當中
[00:22:04.640 - 00:22:06.800] 你一定有一定的知名度了
[00:22:06.800 - 00:22:08.400] 我推薦我的新產品
[00:22:08.400 - 00:22:12.160] 我是到這個地方我帶了我的新產品來的
[00:22:12.160 - 00:22:14.400] 我想在這個市場上是市水
[00:22:14.400 - 00:22:17.840] 同時我的老產品當中也會有一些量點
[00:22:17.840 - 00:22:20.800] 所以目體是推薦新產品
[00:22:20.800 - 00:22:22.400] 這個時候你要出現
[00:22:22.400 - 00:22:24.560] 我想在這個市場上是市水
[00:22:24.560 - 00:22:28.080] 同時我的老產品當中也會有一些量點
[00:22:28.080 - 00:22:31.040] 所以目體是推薦新產品
[00:22:31.040 - 00:22:36.320] 這個時候你要出現了解到新產品的一些相關的基本情況和市場情況
[00:22:36.320 - 00:22:38.240] 你才會去選擇
[00:22:38.240 - 00:22:40.560] 第二個就是開了新市場
[00:22:40.560 - 00:22:45.760] 比如說我們的中東或者歐洲目前來說沒有一個客戶
[00:22:45.760 - 00:22:48.440] 但是我已經年紀到5到10家錢
[00:22:48.440 - 00:22:51.320] 大家都聊了不錯
[00:22:51.320 - 00:22:53.080] 為什麼不去一下呢
[00:22:53.080 - 00:22:56.200] 你可以去拜訪一下順便參加展會
[00:22:56.200 - 00:22:57.560] 這就是一舉多德
[00:22:57.560 - 00:22:59.160] 所以我們的目標就是
[00:22:59.160 - 00:23:01.880] 也可以說開拓一個新市場
[00:23:01.880 - 00:23:05.560] 這個市場當中我們沒有太多的客戶
[00:23:05.560 - 00:23:07.160] 我們可以去嘗試
[00:23:07.160 - 00:23:10.680] 第三個就是支持現有客戶的開拓等等
[00:23:10.680 - 00:23:14.680] 這個是相當於你對市場有一個老客戶
[00:23:14.680 - 00:23:16.920] 他這個市場有一個老客戶
[00:23:16.920 - 00:23:19.480] 他教你一同參加展會支持他
[00:23:19.480 - 00:23:23.560] 然後或者是他幫助你去調解一下
[00:23:23.560 - 00:23:26.200] 你的這個產品最終是怎麼使用的
[00:23:26.200 - 00:23:29.160] 大家對你的產品是有花音程度等等
[00:23:29.160 - 00:23:31.160] 所以這也是可以的
[00:23:31.160 - 00:23:33.720] 那麼明確的參展三個產品目的
[00:23:33.720 - 00:23:35.640] 那麼我們的方案是什麼呢
[00:23:35.640 - 00:23:38.440] 我們有什麼方案呢
[00:23:38.440 - 00:23:41.720] 第一個當我們推薦新產品是
[00:23:41.720 - 00:23:45.240] 我們的測重點是在於重點體現
[00:23:45.240 - 00:23:48.200] 新產品的價值與運用
[00:23:48.200 - 00:23:51.720] 然後明確了潛在客戶群體
[00:23:51.720 - 00:23:55.160] 觀察展會上的新產品與輿情
[00:23:55.160 - 00:23:58.600] 第一層就是體現新產品的價值運用
[00:23:58.600 - 00:24:01.000] 你肯定是有被牙來
[00:24:01.000 - 00:24:04.200] 所以你要是重點去體現出你的價值運用
[00:24:04.200 - 00:24:07.000] 你要設置好你的展品
[00:24:07.000 - 00:24:09.160] 你要把他的價值和運用去
[00:24:09.160 - 00:24:11.960] 明明禁止展現出來
[00:24:11.960 - 00:24:15.640] 第二個就是明確你的潛在客戶群體是在哪
[00:24:15.640 - 00:24:18.440] 你要知道你的潛在客戶群體
[00:24:18.440 - 00:24:20.360] 實在什麼地方一方
[00:24:20.360 - 00:24:22.280] 他們是否對你這個感興趣
[00:24:22.280 - 00:24:24.760] 已經有沒有過有見彼此
[00:24:24.760 - 00:24:27.320] 溝通過這個產品
[00:24:27.320 - 00:24:28.920] 大家是否期待
[00:24:28.920 - 00:24:32.920] 第三層就是你當你展現出你這個新產品
[00:24:32.920 - 00:24:35.640] 在專業展會上展現出新產品的時候
[00:24:35.640 - 00:24:37.720] 你可以觀察他們人群
[00:24:37.720 - 00:24:40.120] 觀察他們人群對你的反應
[00:24:40.120 - 00:24:42.680] 他們是不是很喜歡你的產品
[00:24:42.680 - 00:24:44.440] 他們是不是對你產品
[00:24:44.440 - 00:24:46.200] 停留了一活
[00:24:46.200 - 00:24:48.040] 像你去討教
[00:24:48.040 - 00:24:50.600] 關於這個產品相關的信息
[00:24:50.600 - 00:24:52.040] 這就叫停留
[00:24:52.040 - 00:24:55.000] 那麼你就去有了一個產生年輕的機會
[00:24:55.000 - 00:24:56.680] 那麼你要去摸清楚
[00:24:56.680 - 00:24:59.240] 他對你這個產品喜歡的點是什麼
[00:24:59.240 - 00:25:00.680] 為什麼喜歡
[00:25:00.680 - 00:25:03.800] 他為什麼會抓住他的租一臂
[00:25:03.800 - 00:25:07.000] 這就是你新產品的真正的價值
[00:25:07.160 - 00:25:11.640] 剛才是第一種方式推薦新產品
[00:25:11.640 - 00:25:13.720] 第二個就是開套新市場
[00:25:13.720 - 00:25:16.200] 開套新市場就是重點
[00:25:16.200 - 00:25:18.120] 是約一件的錢在客戶
[00:25:18.120 - 00:25:19.960] 或已經年紀上的客戶
[00:25:19.960 - 00:25:22.360] 我為什麼這麼說呢
[00:25:22.360 - 00:25:25.000] 當你沒有錢在客戶
[00:25:25.000 - 00:25:26.760] 或已經年紀上的客戶
[00:25:26.760 - 00:25:31.640] 你就去到那個地方設置展位
[00:25:31.640 - 00:25:33.480] 去展現你自己的產品
[00:25:33.480 - 00:25:35.240] 那是風險非常大
[00:25:35.240 - 00:25:38.920] 因為你對那個市場並不了解
[00:25:38.920 - 00:25:41.320] 可是當你知道了7月1日
[00:25:41.320 - 00:25:44.120] 現在的錢在客戶有5到10家的時候
[00:25:44.120 - 00:25:46.920] 這個時候你就能夠明確出
[00:25:46.920 - 00:25:48.280] 你的錢在客戶
[00:25:48.280 - 00:25:49.720] 需求在了
[00:25:49.720 - 00:25:51.160] 他們是否期待
[00:25:51.160 - 00:25:53.320] 認為市場上是怎麼玩的
[00:25:53.320 - 00:25:55.240] 或者是你的市場的錢在
[00:25:55.240 - 00:25:57.160] 競爭最少打可是在了
[00:25:57.160 - 00:25:58.760] 所以重點是
[00:25:58.760 - 00:26:00.360] 和約件的
[00:26:00.360 - 00:26:01.720] 錢在客戶
[00:26:01.720 - 00:26:04.120] 你和已經年紀上的客戶
[00:26:04.120 - 00:26:06.440] 要見面約談
[00:26:06.440 - 00:26:11.800] 然後去明確出新市場的興趣點
[00:26:11.800 - 00:26:14.600] 產品多要與你的老產品
[00:26:14.600 - 00:26:16.600] 或是全都產品為主
[00:26:16.600 - 00:26:17.880] 在這個產品上
[00:26:17.880 - 00:26:19.880] 一般來說你的全都產品都是
[00:26:19.880 - 00:26:21.320] 溝通過的產品
[00:26:21.320 - 00:26:24.520] 並非是你沒有不清楚的
[00:26:24.520 - 00:26:25.080] 對
[00:26:25.080 - 00:26:27.000] 往往很多我們的展規
[00:26:27.000 - 00:26:27.800] 也是一種
[00:26:27.800 - 00:26:30.360] 開著新市場更多一位一些
[00:26:30.360 - 00:26:31.080] 因為要比如說
[00:26:31.080 - 00:26:33.080] 剛性見你的公司
[00:26:33.080 - 00:26:34.920] 我可能客戶群都不多
[00:26:34.920 - 00:26:37.000] 但是我年輕的很多人
[00:26:37.000 - 00:26:39.400] 我覺得我應該要去那邊一下
[00:26:39.400 - 00:26:40.280] 然後要知道
[00:26:40.280 - 00:26:43.000] 大概我都要東西是怎麼去運用的
[00:26:43.000 - 00:26:45.720] 甚至你可以和聊得好的
[00:26:45.720 - 00:26:47.320] 錢在客戶
[00:26:47.320 - 00:26:49.800] 邀請他帶你去中端市場
[00:26:49.800 - 00:26:51.160] 一起去看
[00:26:51.160 - 00:26:53.000] 我曾經在墨西哥的時候
[00:26:53.000 - 00:26:54.200] 我的中端客戶
[00:26:54.200 - 00:26:56.600] 就誇了半天時間
[00:26:56.600 - 00:26:57.960] 這個我的客戶
[00:26:57.960 - 00:27:00.120] 已經要上花了半天時間
[00:27:00.120 - 00:27:02.440] 在帶我在墨西哥市場
[00:27:02.440 - 00:27:05.480] 一起去了解我的中端應用
[00:27:05.480 - 00:27:07.080] 第三個就是支持
[00:27:07.080 - 00:27:09.480] 現有客戶的市場開脫
[00:27:09.480 - 00:27:10.680] 就是現有的客戶
[00:27:10.680 - 00:27:11.960] 在當地的市場開脫
[00:27:11.960 - 00:27:13.160] 他可能讓你過去
[00:27:13.160 - 00:27:14.120] 大家一起聊一聊
[00:27:14.120 - 00:27:15.640] 或參加一個檔會
[00:27:15.640 - 00:27:17.480] 這個時候你不需要說太多
[00:27:17.480 - 00:27:19.080] 你和大家明確好分工
[00:27:19.080 - 00:27:20.920] 和你自己的自我定位
[00:27:20.920 - 00:27:24.280] 去重中之重是要學習觀察
[00:27:24.280 - 00:27:25.880] 市場的動態
[00:27:25.880 - 00:27:28.680] 與參展產品的中端應用
[00:27:28.680 - 00:27:30.680] 你要觀察你的產品的
[00:27:30.680 - 00:27:31.880] 客戶買你的產品
[00:27:31.880 - 00:27:34.200] 你的產品的市場的動態是怎麼樣
[00:27:34.200 - 00:27:36.600] 大家的中端應用是如何
[00:27:36.600 - 00:27:39.240] 別人是怎麼討論你的產品的
[00:27:39.240 - 00:27:42.040] 這個是你需要學習的
[00:27:42.040 - 00:27:44.200] 當別人興趣點越濃的時候
[00:27:44.200 - 00:27:45.400] 你的價值
[00:27:45.400 - 00:27:48.520] 你可生物挖的東西會越來越多
[00:27:48.520 - 00:27:51.560] 所以我們去參加展會
[00:27:51.560 - 00:27:54.360] 並不是僅僅是開脫客戶
[00:27:54.360 - 00:27:57.400] 我們需要明確好準確的目的
[00:27:57.400 - 00:27:59.320] 我們的優勢
[00:27:59.320 - 00:28:00.840] 然後帶著目的
[00:28:00.840 - 00:28:03.880] 列下方案去參加展會
[00:28:03.880 - 00:28:06.120] 這樣更有針對性
[00:28:06.120 - 00:28:08.840] 這樣我們經歷更加會集中
[00:28:08.840 - 00:28:10.440] 不會分散
[00:28:10.440 - 00:28:12.840] 所以對於目的來說
[00:28:12.840 - 00:28:14.280] 做一件事情
[00:28:14.280 - 00:28:16.920] 把目的對於好目的動清楚
[00:28:16.920 - 00:28:18.520] 甚至我們打每個電話
[00:28:18.520 - 00:28:19.800] 我們都要清楚
[00:28:19.800 - 00:28:21.960] 我們打這個電話的目的是什麼
[00:28:21.960 - 00:28:24.200] 弄好目的 領確好目的
[00:28:24.200 - 00:28:26.920] 細化目的 將目的越來越細化
[00:28:26.920 - 00:28:30.680] 你就會有更好的準備
[00:28:30.680 - 00:28:32.840] 第三塊就是
[00:28:32.840 - 00:28:36.200] 降低參感成本的方式方法
[00:28:36.200 - 00:28:37.320] 為什麼講這個
[00:28:37.320 - 00:28:39.080] 這個為什麼單拉出來呢
[00:28:39.080 - 00:28:42.680] 因為出國參加展會時代是必要貴
[00:28:42.680 - 00:28:43.880] 國際機票
[00:28:43.880 - 00:28:45.240] 展為費
[00:28:45.240 - 00:28:46.520] 助說費
[00:28:46.520 - 00:28:49.560] 包括當地的物流成本
[00:28:49.560 - 00:28:52.520] 包括你的交通費等等
[00:28:52.520 - 00:28:54.600] 即確實不便宜的
[00:28:59.510 - 00:29:00.470] 一般來說
[00:29:00.470 - 00:29:01.830] 如果像你要去美國
[00:29:01.830 - 00:29:04.390] 和OO州長的展會的話
[00:29:04.390 - 00:29:05.910] 一般兩個人
[00:29:05.910 - 00:29:07.670] 機票加展為費
[00:29:07.670 - 00:29:08.390] 一般來說
[00:29:08.390 - 00:29:10.390] 你最好要控制在10萬左右
[00:29:10.390 - 00:29:12.630] 你可以想你要花一個10萬
[00:29:12.630 - 00:29:14.470] 並不是輕鬆的事情
[00:29:14.470 - 00:29:16.070] 而且同時
[00:29:16.070 - 00:29:19.110] 你自己的要準備很清楚
[00:29:19.110 - 00:29:21.670] 那我分幾成分五成是考慮
[00:29:21.670 - 00:29:24.230] 第一個展為的大小選擇
[00:29:24.230 - 00:29:26.630] 展為這個大部分的美國的展為
[00:29:26.630 - 00:29:28.070] O州長為一般來說是為
[00:29:28.070 - 00:29:29.990] 最小的是九平方米
[00:29:29.990 - 00:29:31.350] 一般的展為的價格
[00:29:31.350 - 00:29:33.830] 是在一萬到三萬平方米人民幣
[00:29:33.830 - 00:29:37.350] 我建議大家就選擇九平方米的小的
[00:29:37.350 - 00:29:40.390] 你並不是要去很大的場地
[00:29:40.390 - 00:29:41.670] 但大的場地的時候
[00:29:41.670 - 00:29:43.430] 是你要有非常大的機器
[00:29:43.430 - 00:29:45.350] 會非常大的核心靜靜的
[00:29:45.350 - 00:29:47.270] 所以選擇小的展為的時候
[00:29:47.270 - 00:29:48.630] 就會有人來
[00:29:48.630 - 00:29:51.030] 有人來的時候會看一下你的東西
[00:29:51.030 - 00:29:53.270] 然後你有了展位之後
[00:29:53.270 - 00:29:56.150] 你可以做一個很少的簡單的展示
[00:29:56.150 - 00:29:59.030] 但是你要在選擇好一個地段
[00:29:59.030 - 00:30:02.230] 不要說太偏一些
[00:30:02.230 - 00:30:04.310] 我以前比較喜歡選擇哪邊
[00:30:04.310 - 00:30:06.790] 我以前比較喜歡的選擇是
[00:30:06.790 - 00:30:09.030] 展會的吃飯的地區
[00:30:09.030 - 00:30:11.110] 靠近吃飯地方不遠的地方
[00:30:11.110 - 00:30:12.550] 在那邊選展為
[00:30:12.550 - 00:30:13.990] 為什麼這麼說呢
[00:30:13.990 - 00:30:17.230] 因為大家一開始上來就會
[00:30:17.230 - 00:30:18.630] 把天性聊好
[00:30:18.630 - 00:30:19.910] 而且那個地方
[00:30:19.910 - 00:30:22.470] 在靠大門的展位就特別的過
[00:30:22.470 - 00:30:24.310] 而且都被強調了
[00:30:24.310 - 00:30:25.910] 所以擔任選吃飯地方
[00:30:25.910 - 00:30:27.670] 大家都展會展會展會了
[00:30:27.670 - 00:30:29.750] 展類了都要吃飯嘛
[00:30:29.750 - 00:30:32.070] 所以吃飯的時候會放鬆
[00:30:32.070 - 00:30:33.750] 有了放鬆的時候
[00:30:33.750 - 00:30:34.870] 那麼大家
[00:30:34.870 - 00:30:36.150] 上面看到你的展位
[00:30:36.150 - 00:30:37.590] 就順便過來光營光
[00:30:37.590 - 00:30:39.350] 這時候你可以跟他聊
[00:30:39.350 - 00:30:41.270] 甚至你可以做一些
[00:30:41.270 - 00:30:42.870] 即時的處消方式
[00:30:42.870 - 00:30:45.350] 所以展位的選擇也非常重要
[00:30:45.350 - 00:30:47.110] 第二個就是一般呢
[00:30:47.110 - 00:30:49.750] 我的餐覽人員的安排
[00:30:49.750 - 00:30:51.750] 一般覽說最少的人員是在一年
[00:30:51.750 - 00:30:53.110] 但我不訂不建議
[00:30:53.110 - 00:30:55.590] 最何時一般我建議是兩人左右
[00:30:55.590 - 00:30:56.710] 為什麼呢
[00:30:56.710 - 00:30:59.990] 因為兩個人可以互相照顧一下安排
[00:30:59.990 - 00:31:01.430] 甚至比如說你餐蛋當中
[00:31:01.430 - 00:31:02.310] 你要雙測所
[00:31:02.310 - 00:31:03.910] 如果說你一個人的話
[00:31:03.910 - 00:31:05.070] 你就沒有辦法幫你
[00:31:05.070 - 00:31:06.950] 有人幫你看展位了
[00:31:06.950 - 00:31:08.310] 我建議大家的是兩個人
[00:31:08.310 - 00:31:09.990] 三個人就又有點多了
[00:31:09.990 - 00:31:11.110] 又多了好幾萬塊
[00:31:11.110 - 00:31:13.110] 請那一個飛機票等等
[00:31:13.110 - 00:31:14.390] 所以除非你知道
[00:31:14.390 - 00:31:16.470] 你會有很多人來看你展位
[00:31:16.470 - 00:31:17.830] 你在多安排一些人
[00:31:17.830 - 00:31:19.990] 一般來說兩個人足夠
[00:31:21.110 - 00:31:21.830] 第三個呢
[00:31:21.830 - 00:31:23.830] 你的展品的準備
[00:31:23.830 - 00:31:26.150] 你需要考慮好你這一的展品
[00:31:26.150 - 00:31:27.830] 你基本都是物流過去的
[00:31:27.830 - 00:31:29.110] 運輸過去的
[00:31:29.110 - 00:31:32.070] 那麼你需要考慮好你的物流的成本
[00:31:32.070 - 00:31:34.470] 你要知道你這個物流的東西
[00:31:34.470 - 00:31:36.630] 你要運過去大概花多少錢
[00:31:36.630 - 00:31:37.350] 多久
[00:31:37.350 - 00:31:39.350] 哦你同時呢
[00:31:39.350 - 00:31:41.350] 你要還要一個非常重要點
[00:31:42.070 - 00:31:45.270] 當你也送到了展位的時候
[00:31:45.270 - 00:31:46.710] 展會的時候
[00:31:46.710 - 00:31:48.550] 你也要弄清楚
[00:31:48.550 - 00:31:50.870] 大概別人用差車
[00:31:50.870 - 00:31:53.430] 代理差道你的展位的地方
[00:31:53.430 - 00:31:55.030] 也是要花錢的
[00:31:55.030 - 00:31:56.390] 而且錢不少
[00:31:56.390 - 00:31:59.110] 一般有的可能是大集百甚至上千
[00:31:59.110 - 00:32:00.870] 所以這個的考慮成本
[00:32:00.870 - 00:32:03.590] 一般要和餐覽方提前確定好
[00:32:03.590 - 00:32:05.910] 確定好這個費用
[00:32:05.910 - 00:32:06.950] 那麼第四個呢
[00:32:06.950 - 00:32:08.710] 就是酒店的選擇
[00:32:08.710 - 00:32:09.750] 一般來說呢
[00:32:09.750 - 00:32:11.750] 在選擇酒店的時候
[00:32:11.750 - 00:32:14.150] 不一定要在展會的旁邊
[00:32:14.150 - 00:32:16.790] 因為地鐵的延線也是可以的
[00:32:16.790 - 00:32:19.750] 而我曾經在底白參加展會的時候之後
[00:32:19.750 - 00:32:21.190] 展會的時候
[00:32:21.190 - 00:32:23.030] 你也要弄清楚
[00:32:23.030 - 00:32:25.350] 大概別人用那個差車
[00:32:25.350 - 00:32:27.830] 代理差道你的展位的地方
[00:32:27.830 - 00:32:29.430] 也是要花錢的
[00:32:29.430 - 00:32:30.790] 而且錢不少
[00:32:30.790 - 00:32:33.510] 一般有的可能是大集百甚至上千
[00:32:33.510 - 00:32:35.270] 所以這個的考慮成本
[00:32:35.270 - 00:32:37.990] 一般要和餐覽方提前確定好
[00:32:37.990 - 00:32:40.390] 確定好這個費用
[00:32:40.390 - 00:32:41.430] 那麼第四個呢
[00:32:41.430 - 00:32:43.190] 就是酒店的選擇
[00:32:43.190 - 00:32:44.310] 一般來說呢
[00:32:44.310 - 00:32:46.230] 在選擇酒店的時候
[00:32:46.230 - 00:32:48.790] 不一定要在展會的旁邊
[00:32:48.790 - 00:32:51.270] 因為地鐵的延線也是可以的
[00:32:51.270 - 00:32:53.510] 而我曾經在底白參加展會的時候
[00:32:53.510 - 00:32:56.950] 旁邊有一個一倍思的酒店
[00:32:56.950 - 00:32:59.110] 然後我去準備去訂的時候
[00:32:59.110 - 00:33:01.190] 算滿了
[00:33:01.190 - 00:33:01.990] 沒了
[00:33:01.990 - 00:33:03.270] 沒房間了
[00:33:03.270 - 00:33:04.470] 然後我會早期待的
[00:33:04.470 - 00:33:07.030] 方言義工你的基本上好像都被訂滿了
