# 4.新版数据罗盘功能全解析

language=zh
language_probability=1.000
model=tiny

[00:00:00.430 - 00:00:03.170] 各位中国制造网的会员朋友大家好
[00:19:40.930 - 00:19:41.730] 山选为度
[00:19:41.730 - 00:19:43.130] 或者想要的数据
[00:19:44.330 - 00:19:45.730] 点击查看更多
[00:19:45.730 - 00:19:46.930] 就可以跳转到
[00:19:46.930 - 00:19:49.730] 商机分析查看更惨性的数据
[00:19:49.930 - 00:19:56.020] 在趋势对比这里
[00:19:56.020 - 00:19:58.420] 会根据山选的时间范围成限
[00:19:58.420 - 00:20:00.820] 和跟同行的这个对比
[00:20:00.820 - 00:20:02.420] 这里的同行选择的是
[00:20:02.420 - 00:20:03.820] 归斯发布产品数量
[00:20:03.820 - 00:20:05.420] 前三多的中级目录
[00:20:05.420 - 00:20:07.220] 以及对应的二级目录
[00:20:07.220 - 00:20:08.220] 比如说
[00:20:08.220 - 00:20:10.420] 我们发布产品量最多的前三个
[00:20:10.420 - 00:20:12.020] 中级目录是
[00:20:12.020 - 00:20:15.020] 房车不见和赋渐
[00:20:15.020 - 00:20:17.020] 它样能认识器
[00:20:17.020 - 00:20:18.620] 无法不合够带
[00:20:18.620 - 00:20:21.020] 那么他们所对应的二级目录
[00:20:21.020 - 00:20:22.420] 也会顺向在这里
[00:20:22.420 - 00:20:25.420] 也就是最多可以对比六个行业
[00:20:25.420 - 00:20:27.020] 还有一个注意点就是
[00:20:27.020 - 00:20:28.420] 大家进到
[00:20:28.420 - 00:20:30.220] 数据楼盘应该会发现
[00:20:30.220 - 00:20:32.420] 西桶默认会选择一个行业
[00:20:32.420 - 00:20:33.820] 显示相关的数据
[00:20:33.820 - 00:20:35.620] 这个就叫默认行业
[00:20:35.620 - 00:20:38.220] 就是前面也跟她讲到的
[00:20:38.220 - 00:20:40.020] 默认行业就是我们在
[00:20:40.020 - 00:20:41.820] 哪个目录下
[00:20:41.820 - 00:20:42.820] 产品量最多
[00:20:42.820 - 00:20:44.820] 我们的默认行业就是哪一个
[00:20:44.820 - 00:20:46.620] 我们可以只观察看
[00:20:46.620 - 00:20:49.220] 自己的取线以及同行平均
[00:20:49.220 - 00:20:50.620] 以及在一起同行
[00:20:50.620 - 00:20:52.620] 透ped实的取线土
[00:20:52.620 - 00:20:54.820] 来了解自己的推往效果
[00:20:54.820 - 00:21:01.310] 在行业中的情况
[00:21:01.310 - 00:21:03.510] 在数据盘兰整体
[00:21:03.510 - 00:21:05.510] 数据成线的这个模块中
[00:21:05.510 - 00:21:07.110] 除了数据去世之外
[00:21:07.110 - 00:21:10.310] 还包括产品数据
[00:21:10.310 - 00:21:11.310] 产品盘兰
[00:21:11.310 - 00:21:13.110] 可以按照近七天进
[00:21:13.110 - 00:21:15.910] 三十天以及第十二个月的数据分析
[00:21:15.910 - 00:21:17.110] 展示到
[00:21:17.110 - 00:21:19.310] 显示时间段内
[00:21:19.310 - 00:21:22.110] 我们的数据
[00:21:22.110 - 00:21:23.510] 在火阅满家房安量
[00:21:23.510 - 00:21:26.310] 套不时和许盘套不时的产品
[00:21:26.310 - 00:21:27.710] 点击产品的土
[00:21:27.710 - 00:21:28.910] 线或者是名称
[00:21:28.910 - 00:21:31.910] 超转到该产品的边级业面
[00:21:31.910 - 00:21:33.310] 点击产品更多
[00:21:33.310 - 00:21:35.110] 挑转到产品分析的板块
[00:21:35.110 - 00:21:37.110] 差看更多惹性的数据
[00:21:37.110 - 00:21:41.160] 通过分析访问量和
[00:21:41.160 - 00:21:42.960] 许盘量高的产品
[00:21:42.960 - 00:21:45.760] 可以了解买家的信息和需求
[00:21:45.760 - 00:21:47.760] 从而把握市场的趋势
[00:21:47.760 - 00:21:50.360] 如果某些产品访问量
[00:21:50.360 - 00:21:51.960] 核心盘量都很高
[00:21:51.960 - 00:21:54.760] 说明这些产品市场接受度
[00:21:54.760 - 00:21:55.560] 非常好
[00:21:55.560 - 00:21:57.360] 可以调整机园的分配
[00:21:57.360 - 00:21:58.160] 比如说
[00:21:58.160 - 00:21:59.760] 优化重要的资源
[00:21:59.760 - 00:22:01.160] 广告产品
[00:22:01.160 - 00:22:02.760] 主大产品产品
[00:22:02.760 - 00:22:03.760] 配置等等
[00:22:03.760 - 00:22:05.760] 这些重要的推广
[00:22:05.760 - 00:22:07.160] 如果访问量高
[00:22:07.160 - 00:22:08.360] 许盘量低
[00:22:08.360 - 00:22:09.560] 就要检查
[00:22:09.560 - 00:22:10.760] 公司介绅
[00:22:10.760 - 00:22:12.560] 以及产品描述
[00:22:12.560 - 00:22:14.360] 接受是否完善
[00:22:14.360 - 00:22:16.560] 更好的去做优化调整
[00:22:16.560 - 00:22:18.360] 比如增加扑的品价
[00:22:18.360 - 00:22:19.960] 或者调整价格策略
[00:22:19.960 - 00:22:23.220] 来提升转化
[00:22:23.220 - 00:22:25.420] 我们账户的买家数据
[00:22:25.420 - 00:22:27.020] 在数据盖来模块
[00:22:27.020 - 00:22:28.820] 也可以快速的查看
[00:22:28.820 - 00:22:30.020] 买家低于分布
[00:22:30.020 - 00:22:32.020] 可以按照近30天
[00:22:32.020 - 00:22:33.020] 近
[00:22:33.020 - 00:22:34.020] 3月
[00:22:34.020 - 00:22:38.640] 以及近一年查看我们的数据
[00:22:38.640 - 00:22:40.040] 展示时间
[00:22:40.040 - 00:22:40.840] 断了
[00:22:40.840 - 00:22:42.240] 在这个范围内访问
[00:22:42.240 - 00:22:43.440] 归司产品
[00:22:43.440 - 00:22:46.440] 或展示听到胡运满家的地域分布情况
[00:22:46.440 - 00:22:47.840] 了解主要的是上
[00:22:47.840 - 00:22:49.040] 在哪些区域之后
[00:22:49.040 - 00:22:50.640] 我们可以了解我们的满家
[00:22:50.640 - 00:22:52.440] 主要是在哪些市场
[00:22:52.440 - 00:22:53.440] 可以针对信了
[00:22:53.440 - 00:22:55.040] 借这一市场的满家特征
[00:22:55.040 - 00:22:58.840] 从而做好市场推广色月调整
[00:22:58.840 - 00:23:00.040] 这里也是一样的
[00:23:00.040 - 00:23:00.840] 可以点击
[00:23:00.840 - 00:23:01.840] 查看更多
[00:23:01.840 - 00:23:04.840] 调转到买家分析的板块
[00:23:04.840 - 00:23:11.180] 查看更多买家相关的一些数据
[00:23:11.180 - 00:23:12.580] 快速查看
[00:23:12.580 - 00:23:14.380] 平台的数据可以
[00:23:14.380 - 00:23:16.380] 直接再数据盖来实现
[00:23:16.380 - 00:23:18.180] 如果要去看
[00:23:18.180 - 00:23:19.980] 占号更细指的数据
[00:23:19.980 - 00:23:21.780] 就要从以向几个版块
[00:23:21.780 - 00:23:22.980] 流量分析
[00:23:22.980 - 00:23:24.180] 商机分析
[00:23:24.180 - 00:23:26.580] 产品分析和买家分析
[00:23:26.580 - 00:23:29.810] 在流量分析
[00:23:29.810 - 00:23:30.610] 板块
[00:23:30.610 - 00:23:31.810] 可以查看
[00:23:31.810 - 00:23:33.810] 回思的推广流量数据
[00:23:33.810 - 00:23:35.610] 进行统计和分析
[00:23:35.610 - 00:23:37.810] 并可以分析流量的来去
[00:23:37.810 - 00:23:39.210] 帮助公益商
[00:23:39.210 - 00:23:41.410] 更快速准确的把握
[00:23:41.410 - 00:23:43.010] 占号推广效果
[00:23:43.010 - 00:23:45.210] 至定相应的推广计划
[00:23:45.210 - 00:23:47.810] 可以按约分析最长当显示
[00:23:47.810 - 00:23:51.160] 最近12个月的数据
[00:23:51.160 - 00:23:52.760] 在流量来源这里
[00:23:52.760 - 00:23:54.160] 显示的
[00:23:54.160 - 00:23:58.360] 使自身与默认行印象的高级会员的同行
[00:23:58.360 - 00:23:59.160] 数据
[00:23:59.160 - 00:24:01.160] 来云取道展示
[00:24:01.160 - 00:24:02.760] 选择时间段内
[00:24:02.760 - 00:24:05.160] 回约买家访问国贵斯的产品
[00:24:05.160 - 00:24:06.360] 或者展示定
[00:24:06.360 - 00:24:08.760] 它的各个取道的占品情况
[00:24:08.760 - 00:24:12.160] 取道包括搜索活动
[00:24:12.160 - 00:24:13.160] 展示听
[00:24:13.160 - 00:24:15.960] 直接访问首页和其他
[00:24:16.160 - 00:24:17.560] 并展示与同行
[00:24:17.560 - 00:24:18.960] 他们使得对比情况
[00:24:18.960 - 00:24:22.360] 通过对比优秀的同行的流量
[00:24:22.360 - 00:24:23.760] 来源取道分布
[00:24:23.760 - 00:24:27.160] 我们可以针对性的去调整
[00:24:27.160 - 00:24:29.760] 以流的取道又换流量结构
[00:24:29.760 - 00:24:31.560] 跟个取道是什么意思
[00:24:31.560 - 00:24:33.360] 其实也非常简单
[00:24:33.360 - 00:24:36.560] 在我们的取道分布的旁边与高级分号
[00:24:36.560 - 00:24:38.560] 取消饭训绝就很直接能看到
[00:24:38.560 - 00:24:40.360] 搜索就是指到活约买家
[00:24:40.360 - 00:24:43.760] 经过搜索叶面对规思产生的访问
[00:24:43.760 - 00:24:45.360] 活约买家
[00:24:45.560 - 00:24:47.960] 活约买家活动就是活约买家
[00:24:47.960 - 00:24:50.560] 经过活动相关的一面对
[00:24:50.960 - 00:24:52.560] 贵斯产生的访问
[00:24:52.560 - 00:24:54.560] 展示听内容就是活约买家
[00:24:54.560 - 00:24:56.360] 经过贵斯自己的展示
[00:24:56.360 - 00:24:59.160] 或者是参访的乡金叶产生的持续的访问
[00:24:59.160 - 00:25:00.360] 直接访问
[00:25:00.360 - 00:25:01.560] 就是买家
[00:25:01.560 - 00:25:04.960] 没有经过任何的叶面直接对贵斯产生的访问
[00:25:04.960 - 00:25:05.760] 比如说
[00:25:05.760 - 00:25:08.360] 我之前这个买家收藏了我们的练接
[00:25:08.360 - 00:25:11.360] 直接对我们的公司去境上访问
[00:25:11.360 - 00:25:13.160] 这个就是我们的直接访问
[00:25:13.960 - 00:25:16.160] 首颜是指的活约买家
[00:25:17.760 - 00:25:19.160] 经过纯结果稍往首颜
[00:25:19.160 - 00:25:21.160] 对贵斯产生的访问
[00:25:21.160 - 00:25:25.160] 其他就是 buffs atra与亿亿ματα对贵斯产生的访问
[00:25:25.160 - 00:25:27.160] 这些节目不是要计厌
[00:25:27.160 - 00:25:28.160] 我们刚刚也说呢
[00:25:28.160 - 00:25:29.160] 在其他分析旁边闷号里面
[00:25:29.160 - 00:25:31.160] 就有詳织的解释
[00:25:32.160 - 00:25:33.160] 我们洛 provincial的我解释 considerably
[00:25:33.160 - 00:25:35.160] 我们讲到这个渠道的来源之后
[00:25:35.160 - 00:25:38.160] 我们看到这些数据要具体怎么用
[00:25:38.760 - 00:25:39.560] 当我对比后
[00:25:39.960 - 00:25:42.160] 我的校有数据与斗号有差距
[00:25:42.160 - 00:25:44.160] 怎么办呢
[00:25:44.160 - 00:25:46.660] 这里也跟大家去说明一下
[00:25:46.660 - 00:25:49.160] 如果我们的搜索区道
[00:25:49.160 - 00:25:52.160] 访问占比地域优秀的同行
[00:25:52.160 - 00:25:56.660] 说明我们需要在搜索结果也去增加产品的路出
[00:25:56.660 - 00:26:01.160] 了解平台占内的搜索广告
[00:26:01.160 - 00:26:03.160] 通过平台的规则
[00:26:03.160 - 00:26:06.160] 提升我们的排名以及占外退广
[00:26:06.160 - 00:26:08.160] 这些服务来增加我们的流量
[00:26:08.160 - 00:26:11.660] 如果我们看到规刺的活动渠道
[00:26:11.660 - 00:26:14.660] 访问地域平行通行
[00:26:14.660 - 00:26:17.660] 我们就建议多产加一些平台的活动
[00:26:17.660 - 00:26:20.660] 去关注我们的影响活动板块
[00:26:20.660 - 00:26:21.660] 去多多产加
[00:26:21.660 - 00:26:24.660] 如果我们规刺的展示性内的渠道
[00:26:24.660 - 00:26:27.160] 访问占比地域优秀的同行
[00:26:27.160 - 00:26:29.660] 说明我们的展示性和展示产品
[00:26:29.660 - 00:26:31.660] 优化不是良好
[00:26:31.660 - 00:26:33.800] 那就建议大家去
[00:26:33.800 - 00:26:35.600] 装是我们的展示性
[00:26:35.600 - 00:26:38.800] 完善产品更好的去留住满家
[00:26:38.800 - 00:26:45.300] 如果我们的情况在中国这张画首页的访问
[00:26:45.300 - 00:26:47.800] 占比地域优秀的同行
[00:26:47.800 - 00:26:51.800] 我们就要去了解平台首页有哪些推广服务
[00:26:51.800 - 00:26:53.800] 比如说行业占产产
[00:26:53.800 - 00:26:55.800] 所以占产等等
[00:26:55.800 - 00:26:58.300] 有这服务之后来吸引更多满家
[00:26:58.300 - 00:27:06.470] 从中国这张画的首页进不到我们的电脱
[00:27:06.470 - 00:27:09.470] 在关键来源的观点此板块
[00:27:09.470 - 00:27:12.470] 会呈现自身的观点此套时
[00:27:12.470 - 00:27:15.470] 以及同行认为观点此套时
[00:27:15.470 - 00:27:18.970] 自身观点此套时主要是方便大家去了解
[00:27:18.970 - 00:27:21.970] 买家到底是通过什么此搜索到我
[00:27:21.970 - 00:27:24.010] 同时不同的此套时
[00:27:24.010 - 00:27:25.470] 不要放上去会显示
[00:27:25.470 - 00:27:26.970] 留下的这个分布
[00:27:26.970 - 00:27:31.470] 可以检查买家通过这次查看了哪些产品的信息
[00:27:31.470 - 00:27:33.470] 那对于一些买家高闭房的产品
[00:27:33.470 - 00:27:35.470] 我们就需要重点的
[00:27:35.470 - 00:27:38.470] 去将该产品的信息品支
[00:27:38.470 - 00:27:40.470] 图片的买关键是平
[00:27:40.470 - 00:27:43.470] 将个的信息去做更好的优化
[00:27:43.470 - 00:27:46.470] 提升我们的转化情况
[00:27:46.470 - 00:27:54.380] 大家了解了自己的放了来源的此之后
[00:27:54.380 - 00:27:56.880] 会有不少的灰木又提到这样的疑问
[00:27:56.880 - 00:27:59.880] 我的同行的访问持有哪些
[00:27:59.880 - 00:28:02.880] 那么这里也是我们
[00:28:02.880 - 00:28:04.880] 比较关注的
[00:28:04.880 - 00:28:07.880] 我们就可以去看同行认为的关键词
[00:28:07.880 - 00:28:11.880] 主要目的就是放在大家去了解同行的访问词的情况
[00:28:11.880 - 00:28:13.880] 如果显示的时候
[00:28:13.880 - 00:28:15.880] 与我们品类相关的词
[00:28:15.880 - 00:28:17.880] 那检查自己的产品名称
[00:28:17.880 - 00:28:18.880] 以及关键词
[00:28:18.880 - 00:28:20.880] 是否有体现这些词
[00:28:20.880 - 00:28:22.880] 如果品类不相关
[00:28:22.880 - 00:28:24.880] 我们就要了解行访语词
[00:28:24.880 - 00:28:27.880] 讲说我们是网一公司
[00:28:27.880 - 00:28:28.880] 那么就可以考虑
[00:28:28.880 - 00:28:30.880] 是不是需要去增加这些品类
[00:28:30.880 - 00:28:34.880] 来提升我们的这些情况的转化
[00:28:34.880 - 00:28:37.880] 所以这些都可以通过
[00:28:37.880 - 00:28:40.880] 流量来源这里能去进行
[00:28:40.880 - 00:28:43.880] 做相应的分析
[00:28:43.880 - 00:28:45.880] 也是非常重要的
[00:28:45.880 - 00:28:50.360] 那了解了来源去到一集关键词的之后
[00:28:50.360 - 00:28:52.360] 再来看产品的情况
[00:28:52.360 - 00:28:54.360] 流量成结板块
[00:28:54.360 - 00:28:58.360] 流量成结是将公司商自身所有的产品的
[00:28:58.360 - 00:29:01.360] 访问量和访问转化率的品军值
[00:29:01.360 - 00:29:03.360] 化分成了四个上限
[00:29:03.360 - 00:29:07.360] 并且分别按自身有买家访问产品的
[00:29:07.360 - 00:29:11.360] 回约买家访问量和访问转化率的品军值
[00:29:11.360 - 00:29:13.360] 化分为4类的产品
[00:29:13.360 - 00:29:16.360] 想高访问的转化
[00:29:16.360 - 00:29:18.360] 高访问低转化
[00:29:18.360 - 00:29:19.360] 低转化
[00:29:19.360 - 00:29:22.360] 高转化以及低访问低转化
[00:29:22.360 - 00:29:25.830] 那什么意思呢
[00:29:25.830 - 00:29:27.830] 如果我们的高访问高转化
[00:29:27.830 - 00:29:31.830] 就是回约买家访问量和访问转化率
[00:29:31.830 - 00:29:33.830] 去大于品军值的产品
[00:29:33.830 - 00:29:35.830] 对低转化的产品
[00:29:35.830 - 00:29:36.830] 我们就可以考虑
[00:29:36.830 - 00:29:39.830] 优化产品和观念的设置
[00:29:39.830 - 00:29:41.830] 对低访问的产品就可以考虑
[00:29:41.830 - 00:29:44.830] 增加以流取到来增加报光机会
[00:29:44.830 - 00:29:46.830] 点击产品
[00:29:46.830 - 00:29:49.830] 可以能调整到我们对应产品的变集的演面
[00:29:49.830 - 00:29:51.830] 非常方便去进行优化
[00:29:51.830 - 00:29:57.450] 还有一些会有也表关性的就是
[00:29:57.450 - 00:30:01.450] 假如我的买家确实是流出了
[00:30:01.450 - 00:30:03.450] 那到底去了哪里呢
[00:30:03.450 - 00:30:05.450] 我能不能看到
[00:30:05.450 - 00:30:07.450] 那这里也新增了这个流量去想
[00:30:07.450 - 00:30:09.450] 流量去想展示的就是
[00:30:09.450 - 00:30:10.450] 灰思产生
[00:30:10.450 - 00:30:12.450] 访问的回买家在访问
[00:30:12.450 - 00:30:14.450] 灰思的产品后的流出情况
[00:30:14.450 - 00:30:16.450] 那对于流出买家数
[00:30:16.450 - 00:30:18.450] 赵多的产品可以考虑
[00:30:18.450 - 00:30:19.450] 去进行优化
[00:30:19.450 - 00:30:22.450] 并在去向目路进行
[00:30:22.450 - 00:30:24.450] 有针对性的发品
[00:30:24.450 - 00:30:26.450] 使得我们买家进可能的
[00:30:26.450 - 00:30:28.450] 流智到我们的展示听里面
[00:30:28.450 - 00:30:30.450] 比如说像我们一面上
[00:30:30.450 - 00:30:32.450] 呈现了第一条产品
[00:30:32.450 - 00:30:34.450] 流出的买家相对是比较多的
[00:30:34.450 - 00:30:35.450] 这个时候我们照见查
[00:30:35.450 - 00:30:37.450] 为什么买家访问了
[00:30:37.450 - 00:30:38.450] 但是没有发尋谈
[00:30:38.450 - 00:30:40.450] 反而流出去了
[00:30:40.450 - 00:30:42.450] 是因为我们产品设置的不好
[00:30:42.450 - 00:30:45.450] 那这个时候我们就要去用化产品的信息
[00:30:45.450 - 00:30:47.450] 比如说产品秒数还等等
[00:30:47.450 - 00:30:50.450] 在天家一些公司或者是产品的
[00:30:50.450 - 00:30:51.450] 自治方面的信息
[00:30:51.450 - 00:30:54.450] 或者是在家一些买家品价
[00:30:54.450 - 00:30:57.450] 在比我向我们的第三条产品
[00:30:57.450 - 00:30:59.450] 流出的目路去向他要设计
[00:30:59.450 - 00:31:02.450] 那是不是要考虑去更方向路
[00:31:02.450 - 00:31:05.450] 提升买家回游到我们展示听的
[00:31:05.450 - 00:31:07.450] 概率或者是我在这个目路之下
[00:31:07.450 - 00:31:11.450] 去在多增加一些相关的一些品类等等
[00:31:11.450 - 00:31:13.450] 透过这些数据我们可以针对性的
[00:31:13.450 - 00:31:15.450] 去用化我们的产品信息
[00:31:15.450 - 00:31:16.450] 进大
[00:31:16.450 - 00:31:19.450] 进可能的就是几大万去做好买家
[00:31:19.450 - 00:31:21.450] 流量的回流
[00:31:21.450 - 00:31:27.840] 这些就是我们的流量分析
[00:31:27.840 - 00:31:29.840] 呈现给大家的
[00:31:29.840 - 00:31:33.840] 一些内容打击下来就进入到第三个模块
[00:31:33.840 - 00:31:34.840] 升级分析
[00:31:34.840 - 00:31:37.840] 在这个模块下可以查看
[00:31:37.840 - 00:31:40.840] 我们公司里面所获得的整体出去去训示
[00:31:40.840 - 00:31:42.840] 以及同行的情况
[00:31:42.840 - 00:31:44.840] 也可以终合地去查看
[00:31:44.840 - 00:31:47.840] 我们贵私隐相世界的一些关键时间节点
[00:31:47.840 - 00:31:51.840] 更好的做好优劲体推广色源
[00:31:51.840 - 00:31:57.840] 可以对时间、战点、对比行业、进行、山选查看
[00:31:57.840 - 00:31:59.840] 其中呢开启查看
[00:31:59.840 - 00:32:01.840] 隐相世界之后
[00:32:01.840 - 00:32:06.840] 去世土上呢会标注这个隐消服务的关键时间节点
[00:32:06.840 - 00:32:10.840] 这些显示的隐相世界是我们公司能购买的
[00:32:10.840 - 00:32:12.840] 隐消服务和付费的活动
[00:32:12.840 - 00:32:16.840] 呈现具体的模象服务和活动的时间、结束
[00:32:16.840 - 00:32:18.840] 开始时间和结束时间
[00:32:18.840 - 00:32:20.840] 如果服务中有操作
[00:32:20.840 - 00:32:21.840] 比如说
[00:32:21.840 - 00:32:24.840] 修改了主大产品会呈现社制主大
[00:32:24.840 - 00:32:25.840] 修改主大
[00:32:25.840 - 00:32:27.840] 提换主大、山处主大等等
[00:32:27.840 - 00:32:30.840] 这些关键动作的时间节点的呈现
[00:32:30.840 - 00:32:33.840] 我们就可以去看在这个时间节点
[00:32:33.840 - 00:32:36.840] 前后的数据整体的效果变化
[00:32:36.840 - 00:32:46.120] 我们想要查看更想信的明信数据就可以在
[00:32:46.120 - 00:32:49.120] 显示基录里面去查看
[00:32:49.120 - 00:32:50.120] 如果上方呢
[00:32:50.120 - 00:32:54.120] 选择的时间方便是近七天或者是近三十天
[00:32:54.120 - 00:32:57.120] 这里就显示案天的明信数据
[00:32:57.120 - 00:32:59.120] 如果是按选择的是约
[00:32:59.120 - 00:33:00.120] 那相信
[00:33:00.120 - 00:33:02.120] 基录里面就按约显示明信数据
[00:33:02.120 - 00:33:04.120] 包括活躍的满家、报光量
[00:33:04.120 - 00:33:07.120] 活躍满家、访问量、活躍满家数
[00:33:07.120 - 00:33:10.120] 访问转化率天的资讯人数
[00:33:10.120 - 00:33:13.120] 讯判论数据和讯判论数据和讯判论数据
[00:33:13.120 - 00:33:17.120] 那点击下载数据就可以下载明信
[00:33:17.120 - 00:33:19.120] 到我们的本地
[00:33:19.120 - 00:33:25.610] 那也建议大家其实下载到本地来保存
[00:33:25.610 - 00:33:28.610] 一些相关的数据做内部进一步的分析
[00:33:28.610 - 00:33:30.610] 因为数据了坦我们知道
[00:33:30.610 - 00:33:31.610] 更新的时间
[00:33:31.610 - 00:33:34.610] 咱是来说的最长就是最近一年的数据
[00:33:34.610 - 00:33:38.610] 如果说我们后续在分析数据的时候
[00:33:38.610 - 00:33:40.610] 需要一年前的数据
[00:33:40.610 - 00:33:44.610] 所以就建议大家每个月就下载一下我们的数据
[00:33:44.610 - 00:33:46.610] 保存起来
[00:33:46.610 - 00:33:50.610] 以防后续大家需要相关的一些数据的时候长大
[00:33:50.610 - 00:33:55.720] 那了解完流量
[00:33:55.720 - 00:33:56.720] 升机数据
[00:33:56.720 - 00:33:59.720] 接下来最关心的就是产品的数据
[00:33:59.720 - 00:34:02.720] 在产品分析板块可以了解
[00:34:02.720 - 00:34:05.720] 贵斯当前限上产品的数据情况
[00:34:05.720 - 00:34:08.720] 可以选择按针统计时据就先
[00:34:09.720 - 00:34:13.720] 显示最近三个在人揪的数据
[00:34:13.720 - 00:34:15.720] 也大18岁本周的
[00:34:15.720 - 00:34:19.720] 美洲从中日开始到周六结束
[00:34:19.720 - 00:34:23.720] 显示最近12个在月的数据
[00:34:23.720 - 00:34:26.720] 查照产品时可以按照
[00:34:26.720 - 00:34:28.720] 产品的类型山选
[00:34:28.720 - 00:34:32.720] 比如说主大产品或者是产品产品的产品
[00:34:32.720 - 00:34:36.720] 也可以按照负责人产品组产品星期
[00:34:36.720 - 00:34:39.720] 所属的目录一集产品的图片数
[00:34:39.720 - 00:34:41.720] 产品视频观念数等等
[00:34:41.720 - 00:34:43.720] 这些伟度都可以去进山选
[00:34:43.720 - 00:34:46.720] 也可以输入产品的美称直接送付
[00:34:46.720 - 00:34:49.720] 通过山选在一面中间区域
[00:34:49.720 - 00:34:51.720] 乱就会显示
[00:34:51.720 - 00:34:53.720] 山选范围的总数据
[00:34:53.720 - 00:34:54.720] 产品数量
[00:34:54.720 - 00:34:57.720] 产品数量产品数量有访问
[00:34:57.720 - 00:34:59.720] 产品数有产品数
[00:34:59.720 - 00:35:01.720] 房子转化率以及和
[00:35:01.720 - 00:35:05.720] 产品的转化率都在这里去呈现
[00:35:05.720 - 00:35:07.720] 这里呢
[00:35:07.720 - 00:35:09.720] 让大家有能发现
[00:35:09.720 - 00:35:11.720] 也增加一个所属的目录
[00:35:11.720 - 00:35:14.720] 这里的所属目录是发布产品时
[00:35:14.720 - 00:35:16.720] 选择到中级目录
[00:35:16.720 - 00:35:17.720] 选择目录之后
[00:35:17.720 - 00:35:22.720] 可以将自己的产品转化率和同行平均去做对比
[00:35:22.720 - 00:35:25.720] 找到我们的公司优势的产品机
[00:35:25.720 - 00:35:27.720] 哪些产品需要带于换
[00:35:27.720 - 00:35:29.720] 来提升我们的推广效果
[00:35:29.720 - 00:35:35.560] 当然这里有一个很一品均
[00:35:35.560 - 00:35:38.560] 把我们再分析的时候可以去做相应的一些对比
[00:35:38.560 - 00:35:42.560] 下面就是单挑产品的明信数据
[00:35:42.560 - 00:35:47.560] 产视限的时间段的具体单个产品数据
[00:35:47.560 - 00:35:49.560] 包括产品的名称
[00:35:49.560 - 00:35:51.560] 主大分析
[00:35:51.560 - 00:35:54.560] 红月满家报光亮红月满家房文亮
[00:35:54.560 - 00:35:55.560] 训判亮
[00:35:55.560 - 00:35:57.560] 房文转化率去判转化率
[00:35:57.560 - 00:36:02.070] 及负责人天家时间更新时间
[00:36:02.070 - 00:36:03.070] 在操作这里
[00:36:03.070 - 00:36:06.070] 单挑产品的幼色会有分析的按钮
[00:36:06.070 - 00:36:08.070] 点击分析按钮之后
[00:36:08.070 - 00:36:11.070] 打开对应产品的分析双口
[00:36:11.070 - 00:36:13.070] 分析内容包括关键尺分析
[00:36:13.070 - 00:36:14.070] 区设分析
[00:36:14.070 - 00:36:17.070] 最近训判和进品分析
[00:36:18.070 - 00:36:20.070] 关键尺分析
[00:36:20.070 - 00:36:23.070] 分别显示该产品的来源
[00:36:23.070 - 00:36:26.070] 关键词以及行业热搜索
[00:36:26.070 - 00:36:29.070] 逃避和供应商场用的一些词
[00:36:29.070 - 00:36:31.070] 可以单选
[00:36:31.070 - 00:36:34.070] 最近三个月的数据
[00:36:34.070 - 00:36:37.070] 莫认显示是本月的
[00:36:37.070 - 00:36:39.070] 这边是有一个时间范围的
[00:36:39.070 - 00:36:41.070] 这里先跟大家说一下
[00:36:41.070 - 00:36:42.070] 这几个概念
[00:36:42.070 - 00:36:43.070] 来源观念词指的是
[00:36:43.070 - 00:36:46.070] 回来买家房文转产品的来源词
[00:36:46.070 - 00:36:49.070] 行业热搜索是根据该产品
[00:36:49.070 - 00:36:52.070] 所在的中进目路提取搜索
[00:36:52.070 - 00:36:54.070] 热搜索最高的10个万年赐
[00:36:54.070 - 00:36:57.070] 不包含该产品已经设置的关键词
[00:36:57.070 - 00:37:00.070] 那供应商场用词就只能是
[00:37:00.070 - 00:37:02.070] 该产品所设的
[00:37:02.070 - 00:37:05.070] 显示三个关键词分别统计
[00:37:05.070 - 00:37:08.070] 相关的关键词去使用
[00:37:08.070 - 00:37:11.070] 热度高的展示
[00:37:11.070 - 00:37:14.070] 不包含该产品设置的关键词
[00:37:14.070 - 00:37:17.760] 也就是我们公于商
[00:37:17.760 - 00:37:19.760] 经常使用的一些关键词
[00:37:19.760 - 00:37:22.760] 但是排除了我们商产品已经存在的一些
[00:37:22.760 - 00:37:23.760] 吃的
[00:37:23.760 - 00:37:29.140] 最多是展示10条有多少
[00:37:29.140 - 00:37:30.140] 就展示多少
[00:37:30.140 - 00:37:34.930] 那趋势分析展示的是
[00:37:34.930 - 00:37:37.930] 商产品今年的回来买家房文轮
[00:37:37.930 - 00:37:39.930] 轮和训判区设
[00:37:39.930 - 00:37:40.930] 可以关注一下
[00:37:40.930 - 00:37:43.930] 房文轮导寻地或者是
[00:37:43.930 - 00:37:44.930] 两者都低的时间段
[00:37:44.930 - 00:37:46.930] 在大段时间试试
[00:37:46.930 - 00:37:47.930] 没有去做优化
[00:37:47.930 - 00:37:49.930] 或是可以去做重点的关注
[00:37:49.930 - 00:37:51.930] 有期能是一些
[00:37:51.930 - 00:37:53.930] 期间的节日性比较明显的产品
[00:37:53.930 - 00:37:55.930] 就更需要去关注在
