# 3. 秒懂社媒营销•第三节

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:03.360] 好的今天就是來到我們這一次的
[00:17:59.170 - 00:18:02.930] 或者說你已經查排除了所有的詞的問題
[00:18:02.930 - 00:18:04.370] 並不是你註策的太多
[00:18:04.370 - 00:18:05.810] 或者說你的簡單有問題
[00:18:05.810 - 00:18:08.930] 那這邊的話也可以去進行一個深屎
[00:18:08.930 - 00:18:10.850] 深屎的模板其實很簡單
[00:18:10.850 - 00:18:13.970] 就是可以用我這個模板去跟T.D它的官方
[00:18:13.970 - 00:18:15.330] 發現有件說
[00:18:15.330 - 00:18:16.770] 現在我不能註策
[00:18:16.770 - 00:18:20.050] 並且這個顏面提示我的是註策過於頻繁了
[00:18:20.050 - 00:18:23.330] 然後需要他們幫忙解決我這個問題
[00:18:23.330 - 00:18:26.530] 這三個方式如果都嘗試了以後基本上都可以
[00:18:26.530 - 00:18:29.970] 基本上就可以解決註策訪完頻繁了這個問題
[00:18:29.970 - 00:18:32.770] 第三個的話就是可能會發現
[00:18:32.770 - 00:18:35.330] 你所有的一些設置運動晚上了
[00:18:35.330 - 00:18:37.330] 然後我打開T.Dock以後
[00:18:37.330 - 00:18:39.330] 我只能刷除一個視頻
[00:18:39.330 - 00:18:42.210] 或者說是刷除一個視頻之後後面的全部都是黑頻
[00:18:42.210 - 00:18:45.410] 然後我說我沒辦法去顯示視頻內容
[00:18:45.410 - 00:18:47.330] 這邊的話就是建議大家把它
[00:18:47.330 - 00:18:49.890] 這個T.D軟件把它就現在
[00:18:49.890 - 00:18:54.050] 然後把影片的節段再去重新在去調整一下
[00:18:54.050 - 00:18:56.530] 然後再去把軟件的裝回來
[00:18:56.530 - 00:18:57.970] 然後動動裝後
[00:18:57.970 - 00:19:01.490] 這邊的話如果發現沒有辦法去很好靠的恢復
[00:19:01.490 - 00:19:05.250] 就是重新能够说到视频的这个软件
[00:19:05.250 - 00:19:08.290] 一个内容也可以去多次尝试
[00:19:08.290 - 00:19:09.610] 就是我这一个部主
[00:19:09.610 - 00:19:11.130] 如果说还是不行的话
[00:19:11.130 - 00:19:12.850] 这边就是建议它在还是
[00:19:12.850 - 00:19:13.850] 把软件删掉
[00:19:13.850 - 00:19:16.050] 然后把手机的操作全部重置
[00:19:16.050 - 00:19:19.130] 按照注射流程的第一步开始从重新就行设置
[00:19:19.130 - 00:19:21.210] 基本上也是可以解决这个问题的
[00:19:21.210 - 00:19:24.290] 所以总结下如果说我们在注射TicTok的时候
[00:19:24.290 - 00:19:25.690] 出现的问题
[00:19:25.690 - 00:19:29.530] 其实也就是在资查一下你的网络
[00:19:29.530 - 00:19:32.250] 然后VPM的节点以及尝试
[00:19:32.250 - 00:19:34.250] 去更换多个不同的VPM
[00:19:34.250 - 00:19:36.570] 最后在检查一下你的手机尾装度
[00:19:36.570 - 00:19:38.890] 基本上都可以解决大部分的问题
[00:19:38.890 - 00:19:40.850] 如果说这里面出现的问题
[00:19:40.850 - 00:19:43.170] 但是你不知道是哪一边出现的问题
[00:19:43.170 - 00:19:46.170] 最简单的话就是把手机尝试全部重置
[00:19:46.170 - 00:19:49.770] 并且多次去尝试它的一个出测的流程
[00:19:49.770 - 00:19:51.850] 把软件删出重新下载
[00:19:51.850 - 00:19:56.090] 然后把手机尝试重置重新再去开机进一个设置
[00:19:56.290 - 00:19:58.610] 基本上可以解决掉在注射的时候
[00:19:58.610 - 00:20:00.330] 碰到了90%的问题
[00:20:02.530 - 00:20:04.730] 到我们把正后注射好了以后
[00:20:04.730 - 00:20:08.290] 我们就可以进行到个人正好的一个资料修改的环节
[00:20:08.290 - 00:20:10.410] 这边的话拿的是我们
[00:20:10.410 - 00:20:13.610] 每天尝到我飞舍的一个正好就已经演示
[00:20:13.610 - 00:20:17.610] 这边的话可以看到我们这个正好信息其实已经完善了
[00:20:17.610 - 00:20:19.890] 但是如果作为一个新手的话
[00:20:19.890 - 00:20:22.450] 你刚刚注射的一个正好虽然完善的一些内容
[00:20:22.450 - 00:20:24.850] 可以看这边第二张图
[00:20:24.850 - 00:20:28.530] 我们的用户名又户名的话是前往唯一的
[00:20:28.530 - 00:20:30.530] 就是没有人可以跟着串名
[00:20:30.530 - 00:20:35.970] 所以用这个用户名的话基本上可以定位到这个照号已经你这个照号本人
[00:20:35.970 - 00:20:37.490] 或者说你的公司本人
[00:20:37.490 - 00:20:40.810] 第二个的话是名称这个名称的话是可以自定意的
[00:20:40.810 - 00:20:42.770] 并且跟别人是可以重复的
[00:20:42.770 - 00:20:46.090] 但是需要注射的是这个名称是七天只能修改一次
[00:20:46.090 - 00:20:48.050] 你可以去定义一个
[00:20:48.050 - 00:20:50.770] 你公司的一个名称作为你的用户名
[00:20:50.770 - 00:20:55.250] 然后名称的话就是你的这个名称的话可以去选择一个你们最近
[00:20:55.250 - 00:20:56.690] 在使用的一个产品
[00:20:56.690 - 00:21:01.370] 金品或者说是公司的一个比较广位人之类一个带号
[00:21:01.370 - 00:21:02.650] 然后作为你的名称
[00:21:02.650 - 00:21:05.690] 方便打就已经搜索因为有没有用红名为的房重
[00:21:05.690 - 00:21:07.690] 房重复未比较长
[00:21:08.410 - 00:21:12.970] 个人剪接的话就是一些比较简单的公司的介绍就可以
[00:21:12.970 - 00:21:16.130] 然后自服的话会需要在80个自服以内
[00:21:16.130 - 00:21:18.810] 标点复号的话也是会切算在里面的
[00:21:19.130 - 00:21:22.130] 80个连接就是我图一里面的这个标红的这一串
[00:21:22.130 - 00:21:26.130] 连接它是可以支持你TikTok跳软到其他那个页面的
[00:21:26.770 - 00:21:28.810] 比如说你可以放你的公司的一个
[00:21:28.810 - 00:21:32.530] 独立战的一个页面或者放我们MIC的展示定面剪
[00:21:32.530 - 00:21:39.770] 这边的话就是手机上面怎么样的出进行一个个人照号性席的一个修改的页面吧
[00:21:39.770 - 00:21:42.170] 然后其实TiTi的话呢
[00:21:42.170 - 00:21:46.050] 它这个平台更加的是和在手机上就进一入影
[00:21:46.050 - 00:21:51.690] P.C的话可能更是和我们在进行一些就是其他的操作手工方面进行操作版
[00:21:51.690 - 00:21:53.470] 因为手机上面
[00:21:53.470 - 00:21:59.850] 会有更多的操作一些选项后面的我们会介绍一些直入在手机上的才能进行更改的一些功能
[00:21:59.850 - 00:22:02.130] 这边的话的流程是一样的
[00:22:02.130 - 00:22:06.970] 我们找到它的一个修改个人主义的一些一个一个标识
[00:22:06.970 - 00:22:10.690] 点击它以后它可以支持你去上传图片以及视频投下
[00:22:10.690 - 00:22:13.690] 这个的话是在P.C上我没有办法去进设置的
[00:22:14.130 - 00:22:18.050] 视频投赞的话呢它是指示你上传一个三秒隐内的一个短视频
[00:22:18.050 - 00:22:21.250] 这个视频投赛就是可以动的那种可以看到其他的一些
[00:22:21.250 - 00:22:24.770] 博主它不会放一些这种可以动的一些短视频
[00:22:24.770 - 00:22:28.050] 比如说Binkah或者说是微笑的这种都是可以的
[00:22:29.090 - 00:22:32.050] 你升任用不明的话是跟P.C完全一样的
[00:22:32.050 - 00:22:34.170] 然后个人剪接的话也是一样的
[00:22:34.170 - 00:22:35.650] 这边多了一个正好内幕
[00:22:35.650 - 00:22:39.730] 这边的话其实是需要你去设置一下你的内幕是什么样的
[00:22:39.730 - 00:22:41.650] 比如说你知道这些行业的
[00:22:41.810 - 00:22:44.930] 或者说你是一个时尚美装好业的都是可以进行选择的
[00:22:44.930 - 00:22:48.210] 后面的话呢它可以去观念你的一些其他视频平台
[00:22:48.210 - 00:22:50.610] 比如说一次的观点以及YouTube这两个平台
[00:22:50.610 - 00:22:59.160] 这边跟大家介绍一下就是在Dictil上面会分一接谈一些账互内型
[00:22:59.160 - 00:23:02.920] 主要的话其实是分成3.0DL的话是个人转号
[00:23:02.920 - 00:23:05.880] 第二个的话是转型转号D3的话是广告转号
[00:23:05.880 - 00:23:09.320] 个人转号的话呢就是我们普通通注册的一个转号
[00:23:09.320 - 00:23:11.880] 我们刚刚注册完它其实就是一个人转号
[00:23:12.840 - 00:23:17.000] 个人转号的话它仅仅是个人是用来查看
[00:23:17.000 - 00:23:20.640] 不是个去你就是怎么说的话
[00:23:20.640 - 00:23:23.800] 它都是时间就进一步以为它可能比较难去
[00:23:23.800 - 00:23:26.400] 设置一些钱的内容比如说你的练接
[00:23:26.400 - 00:23:29.040] 然后也不能看它的一些后台的数据
[00:23:29.040 - 00:23:31.360] 还有些加的功能其实也都是没有的
[00:23:31.440 - 00:23:33.240] 这边的话其实适合的人呢
[00:23:33.240 - 00:23:34.880] 也不仅仅仅仅仅仅仅仅仅仅仅仅仅仅仅小狂的
[00:23:34.880 - 00:23:37.760] 其实大部分是如果不去转号的转号的转号的话
[00:23:37.760 - 00:23:40.560] 这个转号也就是挺用于查看
[00:23:40.560 - 00:23:43.200] 第二个内型的话就是转晏转号
[00:23:43.200 - 00:23:46.800] 转晏转号的话其实可以有个人转号经转换的
[00:23:46.800 - 00:23:49.680] 这边的话是比较适合于视频闯的者
[00:23:49.680 - 00:23:52.960] 或者是一些企业他去用转晏的转号去查看
[00:23:52.960 - 00:23:54.560] 和台的一个数据分析功能
[00:23:54.560 - 00:23:56.680] 也可以去对街道广告业务
[00:23:56.680 - 00:23:59.680] 更加地适合需要去看和台数据
[00:23:59.680 - 00:24:03.780] 在这个平台上我们是进行消得一些公司或者说是窗路者
[00:24:04.180 - 00:24:06.080] 第三个的话是广告照顾
[00:24:06.340 - 00:24:09.920] 广告照顾的话这一趟是紧线级也是有的
[00:24:10.180 - 00:24:12.480] 这一部分广告照顾其实它是没有个人主义的
[00:24:12.980 - 00:24:17.340] 就是你的广告照顾开起了以后然后进行一些广告投放
[00:24:17.860 - 00:24:20.680] 它是直接就可以跳软到就是这个广告主
[00:24:20.920 - 00:24:21.440] 它的一个
[00:24:22.460 - 00:24:25.020] 可以像是产品的一个练接或者说是它的一个
[00:24:25.280 - 00:24:26.820] 公司就是
[00:24:27.080 - 00:24:29.120] 或者是它的一个公司主要一个练接
[00:24:29.120 - 00:24:32.700] 直接就会去进行一个转化定单的它是没有任何的工
[00:24:32.960 - 00:24:35.520] 就是自己的根据业也没有办法去接在粉丝
[00:24:38.080 - 00:24:43.200] 这边的话可以跟大家说一下怎么样去把你的客人转号转换成窗路者转号
[00:24:43.460 - 00:24:47.040] 就是我们刚刚说的转号轮号里面的第一种窗路者转号
[00:24:47.560 - 00:24:52.920] 点击到我们的一个用户的后台这边的话其实都全部都是在手底上我们已经操作的
[00:24:53.180 - 00:24:54.980] PC上我们是不支持这个转号的功能
[00:24:54.980 - 00:25:00.360] 第一不打开我们的转号设置然后先是愿正以下你的游项
[00:25:00.620 - 00:25:03.680] 因为我们在注册之后其实它是只是一个注册
[00:25:03.940 - 00:25:07.520] 但是并没有去愿正的这个游项是不是你现在目前正在使用的
[00:25:07.780 - 00:25:10.860] 愿正完了之后呢它会这边底下有个
[00:25:11.100 - 00:25:13.420] 可以转换成转变转号的一个按钮
[00:25:13.660 - 00:25:16.740] 我们选择点击这个按钮然后就可以看到第二张图
[00:25:17.000 - 00:25:20.060] 它里面分成了两类第一个是窗路者第二个是企业
[00:25:20.320 - 00:25:22.120] 我们先选择窗路者转号
[00:25:22.880 - 00:25:30.560] 然后在这个分内第二个分内里面去选择你所在的一个行业比如说你是艺术行业或者说实实上美装的行业
[00:25:30.560 - 00:25:35.160] 再去玩善你的性别 这边的话按照需求 旧进行修改就可以
[00:25:35.160 - 00:25:42.780] 所以该好之后 这边就可以看到我们的体试 它会说已经注册了玩
[00:25:42.780 - 00:25:49.080] 就是已经转化成了一个串的转化并且可以去查看你的后台分析功能
[00:25:49.080 - 00:25:53.380] 后台分析功能的话呢 其实也是在我们的设置里面它会有一个
[00:25:53.380 - 00:25:59.580] Analytics这个选项 然后我们去点击这个选项就可以看到我们的主约的一些基本信息
[00:25:59.580 - 00:26:01.860] 比如说我们一个视频的流量量
[00:26:01.860 - 00:26:04.700] 然后我们的关注者都是什么国大地区的
[00:26:04.700 - 00:26:06.980] 以及我们的关注者边块去世是什么样的
[00:26:07.980 - 00:26:11.420] 这些都是可以在后台的一个分析里面去经常看
[00:26:12.700 - 00:26:15.020] 第二个如果我们想要转化成就是
[00:26:15.020 - 00:26:18.580] Bisnase account的话就是比较适合我们工程上的这些
[00:26:18.580 - 00:26:20.820] 其实正好是怎么样去经试者的一样的
[00:26:20.820 - 00:26:23.580] 我们找到我们的正好设置的一个选项
[00:26:23.580 - 00:26:26.380] 引起去升级成为专业帐号
[00:26:26.620 - 00:26:28.620] 这边我们选择点击第二个按钮
[00:26:28.620 - 00:26:30.100] Bisnase的按钮
[00:26:30.100 - 00:26:31.860] 然后我们这边继续选择
[00:26:31.860 - 00:26:33.940] 我们企业所在了一个行业
[00:26:34.540 - 00:26:37.380] 然后这边去看懂我们已经转化成
[00:26:37.380 - 00:26:39.180] 就是企业帐号成功了
[00:26:39.500 - 00:26:41.740] 这边对比刚刚的創造者帐号
[00:26:41.740 - 00:26:43.740] 去可以进行修改的地方多了一个
[00:26:43.740 - 00:26:45.020] 可以增加王质的地方
[00:26:46.220 - 00:26:51.260] 这个王质的话是可以在我们的个个人的剪接里面
[00:26:51.260 - 00:26:53.100] 出现那个创红色的一个练接
[00:26:53.500 - 00:26:54.780] 这个是区别的創造者
[00:26:54.780 - 00:26:55.980] 然后最大的一个地方
[00:26:56.220 - 00:26:59.260] 我们可以在没有什么粉丝基础的情况下
[00:26:59.260 - 00:27:01.180] 增加我们公司的主要练剪
[00:27:05.980 - 00:27:07.500] 回来之后我们就可以看到
[00:27:07.500 - 00:27:09.420] 其实它的一个个人帐号
[00:27:09.420 - 00:27:11.980] 以及专业帐号是可以互相切换的
[00:27:11.980 - 00:27:14.300] 如果我们说已经是一个企业帐号了
[00:27:14.300 - 00:27:16.460] 我们也可以切换成串的帐号
[00:27:16.460 - 00:27:18.460] 也可以退回成个人帐号
[00:27:18.460 - 00:27:22.860] 但是退回了以后我们就会损失掉我们的那个后台粉丝的功能
[00:27:24.860 - 00:27:28.940] 接下来的话是介绍一下怎么样的去进行一个定时发布
[00:27:29.180 - 00:27:30.220] TickFog的话呢
[00:27:30.220 - 00:27:32.780] 它是也是支持我们的一个定时发布功能
[00:27:32.780 - 00:27:33.900] 但是最后注意的是
[00:27:33.900 - 00:27:37.100] 它只在PC端去支持定时发布的功能
[00:27:37.100 - 00:27:40.940] 手机端的话是只能几拍几发或者是几用的一法
[00:27:41.580 - 00:27:44.060] 点击我们的那个Tick到的一个练接
[00:27:44.060 - 00:27:45.580] 然后我们可以看到右上角
[00:27:45.580 - 00:27:47.100] 可以出现一个上传
[00:27:47.100 - 00:27:48.220] 怎么一个字样
[00:27:48.540 - 00:27:50.300] 然后我们点击这个上传
[00:27:50.780 - 00:27:51.980] 点击进来以后呢
[00:27:51.980 - 00:27:54.380] 就说一会进入到一个上传视频的一个页面
[00:27:54.780 - 00:27:58.300] 这边的话就是按照它的一个体制去进上来击客
[00:27:58.300 - 00:28:00.860] 我们选择我们需要上传一个视频素材
[00:28:00.860 - 00:28:02.940] 把字幕以及方便都编辑好
[00:28:02.940 - 00:28:07.820] 这边的方便的话是可以选择视频的某一针进行一个方便的上传
[00:28:08.060 - 00:28:11.340] 然后我们可以去把它添加到我们的视频和基礎面
[00:28:11.340 - 00:28:13.660] 这个都是在手上都是一样的
[00:28:14.460 - 00:28:16.860] 所以要注意的是这边它的一个约发布时间
[00:28:16.860 - 00:28:19.580] 其实只能支持10天以内的一个发布时间
[00:28:19.580 - 00:28:22.460] 如果你想要支持更长远的一个发布的话
[00:28:22.460 - 00:28:25.340] 其实是没有办法选择更长那个时间的
[00:28:25.340 - 00:28:26.460] 这边的话也是
[00:28:26.460 - 00:28:31.900] 其实也是帮助大家能够更好的去把这个视频发在一个热点之内吧
[00:28:31.900 - 00:28:34.060] 因为你说你现在定位到一个月以后发
[00:28:34.060 - 00:28:38.540] 你现在这个活的一个可能一个月以后已经没有那么火热了
[00:28:38.780 - 00:28:41.900] 也是不一定就是现在大家都会吃的一个内容
[00:28:43.900 - 00:28:47.180] 最后就是在TikTok上面的一些视频贴文
[00:28:47.180 - 00:28:48.700] 它是怎么样那个展现形式
[00:28:49.260 - 00:28:50.940] 如果在PC上我们的话呢
[00:28:50.940 - 00:28:52.940] 它的一个展现形形就是一个列表式的
[00:28:52.940 - 00:28:54.860] 就是可以看到一个视频的方面
[00:28:55.020 - 00:28:57.020] 以及可以越南到一部分的文案
[00:28:57.020 - 00:28:58.380] 其他的一个视频播放量
[00:28:59.500 - 00:29:03.580] 点击来的话点击来的话就是视频的一个内容
[00:29:03.580 - 00:29:04.620] 它会有一个很板
[00:29:04.620 - 00:29:07.660] 但是只有中间一小锁的一个视频的一个内容
[00:29:07.900 - 00:29:11.500] 然后点赞啊平安以及视频的数据会显示在右边
[00:29:13.450 - 00:29:16.170] 文案的话就会显示的更完全一些
[00:29:16.410 - 00:29:18.410] PC上这个是PC上的
[00:29:18.410 - 00:29:20.330] 如果说是在手机上面的话
[00:29:20.330 - 00:29:24.330] 其实就是跟我们去看刷的应该刷一些快手
[00:29:24.330 - 00:29:26.250] 其他的视频平台是完全一样的
[00:29:26.250 - 00:29:28.090] 数平的然后点击
[00:29:28.090 - 00:29:31.290] 双机机和点赞啊等等这些功能是完全共通的
[00:29:31.930 - 00:29:33.930] 然后今天的内容的话呢
[00:29:33.930 - 00:29:36.170] 到这里就差不多结束了
[00:29:36.170 - 00:29:40.650] TT的话呢可能对比其他的平台会有一些住责方向的一些问题
[00:29:40.650 - 00:29:42.970] 如果说大家在注册的时候有什么问题的呢
[00:29:42.970 - 00:29:44.410] 也可以去选择
[00:29:44.410 - 00:29:45.930] 在这个视频底下
[00:29:45.930 - 00:29:47.930] 只在我们这个直播里面去经英问
[00:29:47.930 - 00:29:50.570] 或者说是天价我们小注意的微信进行语语语语语语语语语
[00:29:51.290 - 00:29:54.170] 然后也是希望大家能够在好玩说没上面
[00:29:54.170 - 00:29:55.930] 能够为自己的公司
[00:29:55.930 - 00:29:57.450] 做出更多的一些推广
[00:29:57.450 - 00:29:59.770] 以及能够更适当你的做出一些影响
[00:29:59.770 - 00:30:00.730] 谢谢大家
