# 1.秒懂社媒营销•第一节

language=zh
language_probability=1.000
model=tiny

[00:00:00.340 - 00:00:04.500] 哈囉大家好 我是這邊是來自中國製造網的酒令老師
[00:00:04.500 - 00:00:09.500] 今天的話會跟大家介紹一下海外設美的一些平台特幸
[00:23:20.980 - 00:23:22.980] 在邊境的視頻的時候
[00:23:22.980 - 00:23:24.340] 直接等擊素材固
[00:23:24.340 - 00:23:27.140] 把這個音頻配到你原來我的視頻上面
[00:23:27.140 - 00:23:28.420] 也是可以的
[00:23:28.420 - 00:23:31.500] 那麼
[00:23:31.500 - 00:23:34.940] 對於我們想要在海外上面上
[00:23:34.940 - 00:23:36.860] 就進行消息一些企業來說
[00:23:36.860 - 00:23:39.340] 怎麼樣的去規矽一些不能夠
[00:23:39.340 - 00:23:40.540] 隨便發的內容
[00:23:40.540 - 00:23:42.780] 保證我們的個人狀況以及公共主義
[00:23:42.780 - 00:23:44.380] 也是一個安全的狀況
[00:23:44.380 - 00:23:47.500] 而不會是被風景給大家幾個思路
[00:23:47.500 - 00:23:49.500] 一些不能發的內容
[00:23:49.500 - 00:23:50.700] 第一個的話呢
[00:23:50.700 - 00:23:51.740] 其實比較明顯
[00:23:51.740 - 00:23:54.540] 就是一些關於國家主權的這種政治問題
[00:23:54.540 - 00:23:55.980] 是比較明感的並且
[00:23:55.980 - 00:23:57.980] 這個是大紅線不能碰的
[00:23:57.980 - 00:24:00.140] 不過你發一些政治敏感的內容
[00:24:00.140 - 00:24:02.300] 第一個的話平台會去進行檢測
[00:24:02.300 - 00:24:03.660] 它會檢測到你這個
[00:24:03.660 - 00:24:05.260] 這個言論其實有問題
[00:24:05.260 - 00:24:06.940] 以及風險是不正確的
[00:24:06.940 - 00:24:10.860] 第二個的話是比較容易被其他任務戶去舉報
[00:24:10.860 - 00:24:13.100] 任務戶舉報的話呢
[00:24:13.100 - 00:24:15.260] 它平台的判定我進史
[00:24:15.260 - 00:24:16.460] 有任務舉報
[00:24:16.460 - 00:24:17.820] 它就會去進行監察
[00:24:17.820 - 00:24:19.820] 又會舉報的數量一多起來
[00:24:19.820 - 00:24:21.500] 平台就會去進入監察
[00:24:21.500 - 00:24:23.580] 如果對平台監察的時候發現
[00:24:23.580 - 00:24:25.580] 你這個行為是屬實的
[00:24:25.580 - 00:24:27.580] 那你就最勇就猜死了
[00:24:27.580 - 00:24:29.740] 就不會有任何回事的預例
[00:24:29.740 - 00:24:31.260] 也不可能也不存在說什麼
[00:24:31.260 - 00:24:32.780] 賬號神署
[00:24:32.780 - 00:24:34.140] 然後二四八一年之後
[00:24:34.140 - 00:24:37.420] 拿回來總情況當然不存在的
[00:24:37.420 - 00:24:38.700] 又面致幾個的話呢
[00:24:38.700 - 00:24:42.140] 就是一些是宗教總組的一些問題
[00:24:42.140 - 00:24:43.500] 宗教問題的話
[00:24:43.500 - 00:24:45.820] 其實也是比較明顯的
[00:24:45.820 - 00:24:48.180] 我們建議的話是一些
[00:24:48.180 - 00:24:50.540] 從節日的角度去進行影響
[00:24:50.540 - 00:24:53.260] 比如說一些表大的官邦節
[00:24:53.260 - 00:24:55.180] 然後開戰節的這種
[00:24:55.180 - 00:24:57.060] 你可以從他比較正面的方向
[00:24:57.060 - 00:25:01.740] 最近影響不要去踩他的雷區
[00:25:01.740 - 00:25:03.740] 比如說總讀歧視
[00:25:03.740 - 00:25:06.380] 然後宗教信仰的一些
[00:25:06.380 - 00:25:08.380] 不能發了東西也比較多
[00:25:08.380 - 00:25:10.780] 這個的話大家其實平常是常說
[00:25:10.780 - 00:25:12.220] 那種也會碰的
[00:25:12.220 - 00:25:13.580] 然後後面兩個的話
[00:25:13.580 - 00:25:15.820] 就是還有一次之前
[00:25:15.820 - 00:25:18.300] 應該是去年的就是黑人的那個
[00:25:18.300 - 00:25:19.900] 黑人的命也是命
[00:25:19.900 - 00:25:20.780] 這種問題的話
[00:25:20.780 - 00:25:22.220] 就是可能在其他時候
[00:25:22.220 - 00:25:24.220] 每幾平常是比較火的一些內容
[00:25:24.220 - 00:25:26.060] 或者說大家談論的比較多的一些內容
[00:25:26.060 - 00:25:28.940] 其實在非常好景量不要去煩
[00:25:28.940 - 00:25:31.180] 就算我們在其他平常的討論的標火
[00:25:31.180 - 00:25:33.740] 你做一個企業來說
[00:25:33.740 - 00:25:37.820] 也不應該是涉及這些比較明顯的內容
[00:25:37.820 - 00:25:39.500] 最後的話呢就是一些
[00:25:39.500 - 00:25:41.740] 關於一些政治言論
[00:25:41.740 - 00:25:44.700] 國家、獨立、國家、分立、然後
[00:25:44.700 - 00:25:46.620] 什麼獨立、這種問題
[00:25:46.620 - 00:25:49.340] 也是不要去觸碰的
[00:25:49.340 - 00:25:51.820] 這邊的話呢再跟大家介紹一下
[00:25:51.820 - 00:25:53.100] 就是我們
[00:25:53.100 - 00:25:55.180] 阿麥斯平的上了一個功能
[00:25:55.180 - 00:25:57.740] 現在阿麥斯平的話其實他是支持
[00:25:57.740 - 00:25:59.740] S&L來自英修分享
[00:25:59.740 - 00:26:02.700] 這個的話呢我們如果從前台去點擊
[00:26:02.700 - 00:26:05.660] 其實可以看到一個設有的一個框
[00:26:05.660 - 00:26:07.820] 就是點擊這個產品鏈接
[00:26:07.820 - 00:26:09.740] 點擊他的一個具體的顏面
[00:26:09.740 - 00:26:11.900] 然後可以看到一個Favorites
[00:26:11.900 - 00:26:12.940] 以及一個Share
[00:26:12.940 - 00:26:16.300] Share的話呢我們平台目前是支持
[00:26:16.300 - 00:26:19.900] 五個放上的一個個放上的一個分享
[00:26:19.900 - 00:26:22.700] 前面四個的話呢是吃到媒體平台的分享
[00:26:22.700 - 00:26:25.260] 最後的話呢是一個油線的分享
[00:26:25.260 - 00:26:26.460] 這邊的話也比較簡單
[00:26:26.460 - 00:26:27.820] 比如說我想要分享
[00:26:27.820 - 00:26:31.260] 我的Facebook公共主義或者是我的一個個人賬號
[00:26:31.260 - 00:26:33.180] 我直接從這個產品鏈接裡面
[00:26:33.180 - 00:26:35.740] 點擊FB的這個圖標按鈕
[00:26:35.740 - 00:26:38.860] 點擊在點擊一遍以後會跳出來
[00:26:38.860 - 00:26:42.140] 這個都是動物種來想會出現的一些顏面
[00:26:42.140 - 00:26:45.740] 這邊的話呢你可以在選擇分享到你的動態消息
[00:26:45.740 - 00:26:48.220] 分享到你的小組或者分享到活動
[00:26:48.220 - 00:26:50.940] 活動的化呢就是Facebook它的一個功能
[00:26:50.940 - 00:26:54.140] 這個活動的化呢他到了時間會在你的公主
[00:26:54.140 - 00:26:56.060] 上門實際上一個高量提醒
[00:26:56.060 - 00:26:59.900] 告訴你的粉絲們現在這個活動已經開始了
[00:26:59.900 - 00:27:01.900] 然後下面的話就可以去選擇
[00:27:01.900 - 00:27:03.980] 你可以分享到動態還是分享到快拍
[00:27:03.980 - 00:27:06.700] 這邊的話建議動態跟快拍都夠選上
[00:27:06.700 - 00:27:09.260] 因為快拍的話他是只能存在24個小時
[00:27:09.260 - 00:27:10.540] 就會自動消失
[00:27:10.540 - 00:27:13.020] 動態的話呢是長期存在的
[00:27:13.020 - 00:27:16.300] 然後記得需要選擇一下就是他的一個全線
[00:27:16.300 - 00:27:17.340] 全部都是公開的
[00:27:17.340 - 00:27:20.300] 不是只分享給你自己個人一個人才能看到
[00:27:20.300 - 00:27:23.340] 第二個平台的話呢今天跟大家會介紹的
[00:27:23.340 - 00:27:25.740] 其實就是Facebook應該算是
[00:27:25.740 - 00:27:28.380] Metagon在其下的另外一個是有什麼平台
[00:27:28.380 - 00:27:30.460] Skwan這個平台的話呢
[00:27:30.460 - 00:27:33.820] 我們最大的一般的定位或者平價
[00:27:33.820 - 00:27:35.980] 都是比較受年輕人去息碼
[00:27:35.980 - 00:27:38.540] 在一個社區他的一些用戶群體呢
[00:27:38.540 - 00:27:40.140] 是一些比較活躍的
[00:27:40.140 - 00:27:43.340] 然後年輕層屍比較低的一些年輕人
[00:27:43.340 - 00:27:45.980] 但是年輕人的用戶至少其實是比較高
[00:27:45.980 - 00:27:47.740] 他們會生產很多
[00:27:47.740 - 00:27:49.340] 圖片的資料會很高
[00:27:49.340 - 00:27:51.740] 然後並且生產的一些內容也是
[00:27:51.740 - 00:27:54.700] 大家喜歡弱劍的
[00:27:54.700 - 00:27:58.860] 也比較受品牌去認可的一個是叫Metaping台
[00:27:58.860 - 00:28:01.020] IG他這個平台的一個日活的話
[00:28:01.020 - 00:28:03.340] 可能對比Facebook沒有那麼多
[00:28:03.340 - 00:28:06.300] 他現在越活大概在20億左右
[00:28:06.300 - 00:28:08.460] 日活的話是5億用戶左右
[00:28:08.460 - 00:28:11.260] 他們每日分享的一個照片會在30億
[00:28:11.260 - 00:28:14.860] 雙加速的話平台上的雙加速有兩億
[00:28:14.860 - 00:28:17.420] 兩億加應該算是
[00:28:17.420 - 00:28:20.220] 這個數據的話呢也是有一次萬萬
[00:28:20.220 - 00:28:23.900] 觀光在2020-23年的時候去出自一個數據
[00:28:23.900 - 00:28:26.380] 節直到2020-23年年初
[00:28:26.380 - 00:28:30.140] 地球上應該有大概18.1的走人口
[00:28:30.140 - 00:28:31.180] 會在使用
[00:28:31.180 - 00:28:35.260] Metaping台然後跟Facebook一個比較明顯的一個區別
[00:28:35.260 - 00:28:38.300] 就是他的用戶群你比較年輕
[00:28:38.300 - 00:28:42.700] 用戶的一線年輕的都會集中在18-24歲左右
[00:28:42.700 - 00:28:45.420] 而Metaping在全球最火月的時候
[00:28:45.420 - 00:28:48.860] Metaping台綁單中排名有在第五位
[00:28:48.860 - 00:28:53.020] 1910的Metaping台是用戶至少關注一個平台
[00:28:53.020 - 00:28:55.180] 用戶平均的話每天會在Metaping
[00:28:55.180 - 00:28:57.900] Metaping上沒有花費大概有53分鐘
[00:28:57.900 - 00:29:00.060] 所以這數據是比較可觀的
[00:29:00.060 - 00:29:03.020] 如果他在這個平均上面高雙都去刷50幾分鐘
[00:29:03.020 - 00:29:04.780] 他能看到了一些平排數
[00:29:04.780 - 00:29:11.550] 應該是一個比較巨大的數字
[00:29:11.550 - 00:29:13.390] 加拿大給他介紹一下
[00:29:13.390 - 00:29:15.710] 就是Instagram平台的一個主策
[00:29:15.710 - 00:29:18.590] Instagram平台的主策對比Facebook的話可能
[00:29:18.590 - 00:29:20.750] 他的風扣沒有那麼的嚴格
[00:29:20.750 - 00:29:22.910] 主策上面會比較簡單
[00:29:22.910 - 00:29:24.670] 如果說你想要用來
[00:29:24.670 - 00:29:26.830] 就是做一些影響推廣的話
[00:29:26.830 - 00:29:28.590] 我建議還是按照Facebook
[00:29:28.590 - 00:29:31.070] 他的標準去進行主策
[00:29:31.070 - 00:29:33.070] 主策的話需要提問內容
[00:29:33.070 - 00:29:34.190] 其實差不多
[00:29:34.190 - 00:29:35.550] 當然可能會簡單一點
[00:29:35.550 - 00:29:36.670] 不需要添那麼多內容
[00:29:36.670 - 00:29:37.630] 因為他沒有公共主策
[00:29:37.630 - 00:29:40.430] 要注意怕你用你的鼓勾
[00:29:40.430 - 00:29:42.110] 或者是好特別有效
[00:29:42.110 - 00:29:44.590] 然後選一個專號名譬金
[00:29:44.590 - 00:29:47.310] 把你的性名跟你的專號名碼設置完成
[00:29:47.310 - 00:29:49.150] 就可以主策好了
[00:29:49.150 - 00:29:52.270] 主策好了之後到你的主業裡面去進一邊
[00:29:52.270 - 00:29:54.270] 因此萬不專號的話
[00:29:54.270 - 00:29:56.270] 因為虛風剛剛說Facebook
[00:29:56.270 - 00:29:57.550] 他沒有公共主業
[00:29:57.550 - 00:30:00.030] 他可以把你的因此萬不專號去做
[00:30:00.030 - 00:30:03.070] 所以三種類型就已經分類
[00:30:03.070 - 00:30:04.670] 第一個的話就是普通專號
[00:30:04.670 - 00:30:05.870] 沒有任何的
[00:30:05.870 - 00:30:07.870] 應該算是什麼
[00:30:07.870 - 00:30:09.390] 後台出去分析的功能
[00:30:09.390 - 00:30:11.150] 也沒有什麼廣告推廣的功能
[00:30:11.150 - 00:30:13.870] 就是普通大眾會用的一些普通專號
[00:30:13.870 - 00:30:15.310] 第二個的話就是
[00:30:15.310 - 00:30:16.270] 創作者專號
[00:30:16.270 - 00:30:17.150] 創作者專號的話
[00:30:17.150 - 00:30:18.670] 其實普通大專號也可以
[00:30:18.670 - 00:30:20.750] 規定在創作者專號這一類裡面
[00:30:20.750 - 00:30:22.750] 但是一般大家不會是
[00:30:22.750 - 00:30:24.750] 把自己的專號完成了那麼豐富
[00:30:24.750 - 00:30:28.510] 就會稍微那種會比較單柏一些
[00:30:28.510 - 00:30:30.830] 創作者專號的話他可以支持你的
[00:30:30.830 - 00:30:32.270] 後台數據分析譬如說
[00:30:32.270 - 00:30:33.470] 你發了一個貼紫你想
[00:30:33.470 - 00:30:34.910] 看他有多少人點贊了
[00:30:34.910 - 00:30:36.110] 多少人評論了
[00:30:36.110 - 00:30:37.710] 然後你比如說想看到
[00:30:37.710 - 00:30:39.470] 通過這個貼位有多少人
[00:30:39.470 - 00:30:40.590] 關注你的專號
[00:30:40.590 - 00:30:43.230] 都是可以通過他的後台數據分析功能
[00:30:43.230 - 00:30:45.950] 至今今天了解
[00:30:45.950 - 00:30:47.950] 第三樣就是商家專號
[00:30:47.950 - 00:30:48.990] 商家專號的話
[00:30:48.990 - 00:30:50.590] 他區別於聰明的專號
[00:30:50.590 - 00:30:51.950] 就是一個儲創的功能
[00:30:51.950 - 00:30:54.190] 你可以去上傳你的一些產品
[00:30:54.190 - 00:30:57.230] 目錄在你的商家專號裡面
[00:30:57.230 - 00:30:59.230] 這一塊的話商家專號
[00:30:59.230 - 00:31:00.670] 增加了一些
[00:31:00.670 - 00:31:02.670] 最多的應該就是這個商品的功能
[00:31:02.670 - 00:31:04.110] 後台分析的功能是
[00:31:04.110 - 00:31:06.270] 跟創人功能是一樣的
[00:31:06.270 - 00:31:07.470] 然後旁邊的話
[00:31:07.470 - 00:31:10.350] 這張圖就是我們的主約編輯地方
[00:31:10.350 - 00:31:13.070] 你可以把你的一些網站
[00:31:13.070 - 00:31:15.470] 網站的練習加到
[00:31:15.470 - 00:31:18.750] 你的名字關於主約的信息編輯裡面
[00:31:18.750 - 00:31:19.950] 這個網站的練習是
[00:31:19.950 - 00:31:21.550] 可以直接進跳轉的
[00:31:21.550 - 00:31:25.070] 就是皮身上也或者是你的手機上面
[00:31:25.070 - 00:31:27.150] 就一動手機上面都是可以直接點擊
[00:31:27.150 - 00:31:29.310] 然後跳到一個外鏈
[00:31:29.310 - 00:31:30.590] 過行簽名這邊的話
[00:31:30.590 - 00:31:32.430] 需要注意就是他會有一個自復數
[00:31:32.430 - 00:31:34.430] 上限的一個限制
[00:31:34.430 - 00:31:35.710] 就是你可能
[00:31:35.710 - 00:31:37.470] 過分析簡介比較多
[00:31:37.470 - 00:31:38.590] 然後寫不下
[00:31:38.590 - 00:31:39.550] 那就是要去經檢
[00:31:39.550 - 00:31:40.750] 因為他這邊展示
[00:31:40.750 - 00:31:42.670] 如果太多的內容會折敵
[00:31:42.670 - 00:31:43.630] 如果折敵的話
[00:31:43.630 - 00:31:45.310] 其實也沒有什麼
[00:31:45.310 - 00:31:46.510] 他意義最好是
[00:31:46.510 - 00:31:52.690] 能夠在他一平之內顯示完成
[00:31:52.690 - 00:31:54.930] 這個的話就是我們平台
[00:31:54.930 - 00:31:55.970] 在一次外面上
[00:31:55.970 - 00:31:57.850] 每一個照號的顏面間接
[00:31:57.850 - 00:32:00.530] 顏面的樣子是可以給大家做一個參考
[00:32:00.530 - 00:32:01.810] 編輯主要在按鈕
[00:32:01.810 - 00:32:03.890] 在手機上面是一個左側
[00:32:03.890 - 00:32:05.810] 這個的話推薦大雜實
[00:32:05.810 - 00:32:08.050] 在手機上面去經營照號主的編輯
[00:32:08.050 - 00:32:09.010] 因為皮身上沒功能
[00:32:09.010 - 00:32:11.250] 沒有手機上面去那麼晚上
[00:32:11.250 - 00:32:12.770] 畢竟大部分的用戶時
[00:32:12.770 - 00:32:15.090] 用場景都是在手機上
[00:32:15.090 - 00:32:16.450] 編輯主要進來以後
[00:32:16.450 - 00:32:18.850] 就是剛剛提到的你的照號名
[00:32:18.850 - 00:32:19.890] 信名
[00:32:19.890 - 00:32:22.610] 和你的一些個性簽名的一些晚上
[00:32:22.610 - 00:32:24.610] 貼文的主要一個遇兰的情況
[00:32:24.610 - 00:32:27.010] 在英寺外面上面的話
[00:32:27.010 - 00:32:28.850] 他沒有廢話那麼多的
[00:32:28.850 - 00:32:31.650] 圖片尺寸紙紙紙紙紙紙紙紙紙紙紙紙紙紙紙
[00:32:31.650 - 00:32:33.730] 圖片跟視頻兩種類型
[00:32:33.730 - 00:32:35.250] 他的一個貼文展現有
[00:32:35.250 - 00:32:37.250] 跟廢話其實差不多
[00:32:37.250 - 00:32:40.610] 只是因為可能受到一個手機屏幕的一個大小的限制
[00:32:40.610 - 00:32:42.530] 我按鈕的會展現的表權
[00:32:42.530 - 00:32:45.740] 有的可能會被折抵
[00:32:46.460 - 00:32:48.220] 這邊的話如果說
[00:32:48.220 - 00:32:50.300] 在英寺外面上的法體
[00:32:50.300 - 00:32:52.460] 其實也是表現大家去使用
[00:32:52.460 - 00:32:54.300] 一筆的一個比例
[00:32:54.300 - 00:32:56.140] 然後圖片的審分的話
[00:32:56.140 - 00:32:59.340] 也時間已經在2018年成2018年左右
[00:33:00.860 - 00:33:02.540] 定時發布的功能的話
[00:33:02.540 - 00:33:04.940] 其實跟Facebook剛在一個地方
[00:33:04.940 - 00:33:06.660] 剛剛也有提到的
[00:33:06.660 - 00:33:09.020] 就是 Metabes Newt這個地方
[00:33:09.020 - 00:33:10.860] 你可以去把你的
[00:33:10.860 - 00:33:12.940] Instagram賺後跟Facebook
[00:33:12.940 - 00:33:15.020] 功能主要賺後保定在一個
[00:33:16.140 - 00:33:17.740] 一個比例是秀特裡面
[00:33:17.740 - 00:33:18.540] 這邊的話
[00:33:18.540 - 00:33:20.860] 所以大家應該也是有了解過的
[00:33:20.860 - 00:33:23.100] Facebook跟Instagram覺得他們
[00:33:23.100 - 00:33:26.860] 是一家公司的兩款不同的社交媒體平台
[00:33:26.860 - 00:33:28.860] 你可以去在住車Facebook
[00:33:28.860 - 00:33:30.860] 然後同時也去住車一個
[00:33:30.860 - 00:33:32.460] 你的Instagram的轉號
[00:33:32.460 - 00:33:35.100] 這兩款可以同時一起去運
[00:33:35.100 - 00:33:38.140] 那種的話也可以跟Facebook的特新不同
[00:33:38.140 - 00:33:39.900] 是進一些區分
[00:33:39.900 - 00:33:42.300] 這邊的話我回歸正題
[00:33:42.300 - 00:33:44.140] 貼文定時發體
[00:33:44.140 - 00:33:44.940] 這邊的話
[00:33:44.940 - 00:33:47.020] 做跟Facebook其實是一樣的
[00:33:47.020 - 00:33:49.180] 把你的文案以及圖片就選擇好
[00:33:49.180 - 00:33:53.460] 然後把時間去選擇好
[00:33:53.460 - 00:33:54.740] 或者你也可以選擇
[00:33:54.740 - 00:33:56.420] 就是在手機上面
[00:33:56.420 - 00:33:58.180] 時間直接的一個發體
[00:33:58.180 - 00:34:00.340] 手機上的話就對比PCT
[00:34:00.340 - 00:34:02.580] 沒有一定是發布的功能
[00:34:02.580 - 00:34:03.380] 只能說
[00:34:03.380 - 00:34:05.140] 我現在是奧置發體了
[00:34:05.140 - 00:34:06.740] 現在一個新鮮熱門的事情
[00:34:06.740 - 00:34:08.100] 我需要立刻去把它
[00:34:08.100 - 00:34:09.700] 跟上這個熱點
[00:34:09.700 - 00:34:11.620] 那我們就用手機去發
[00:34:11.620 - 00:34:12.740] 然後手機上的話
[00:34:12.740 - 00:34:15.140] 就是直接點擊屏幕這個家號按鈕
[00:34:15.140 - 00:34:18.100] 右上角角帶也能看到一個家號的按鈕
[00:34:18.100 - 00:34:19.860] 這個是一樣的地方
[00:34:19.860 - 00:34:21.300] 就是你點中間的
[00:34:21.300 - 00:34:22.180] 跟右上角的
[00:34:22.180 - 00:34:24.260] 一樣都是可以發體的地方
[00:34:24.260 - 00:34:25.860] Azure 萬元天文的尺寸
[00:34:25.860 - 00:34:27.300] 剛剛有大概帶了一下
[00:34:27.300 - 00:34:29.300] 就是也是建議大家去用
[00:34:29.300 - 00:34:31.620] 一筆一的一個圖片比例
[00:34:31.620 - 00:34:32.820] 然後像錯的話
[00:34:32.820 - 00:34:36.020] 是最好用於8080成8080上速的
[00:34:36.020 - 00:34:36.900] 視頻的話
[00:34:36.900 - 00:34:40.260] 因為現在SWM 還有一些變動
[00:34:40.260 - 00:34:41.060] 視頻的話
[00:34:41.060 - 00:34:42.340] 它會把你
[00:34:42.340 - 00:34:44.580] 不足十分終於上的視頻
[00:34:44.580 - 00:34:47.460] 自動的區規列為一個Rose視頻
[00:34:47.460 - 00:34:48.580] Rose視頻的話
[00:34:48.580 - 00:34:50.820] 就是最右邊的主要是
[00:34:50.820 - 00:34:54.820] Azure 一個Jobi 史諾的視頻的歌詞
[00:34:54.820 - 00:34:56.580] 然後你在預覽的時候
[00:34:56.580 - 00:34:59.220] 就是我們的天文的信息
[00:34:59.220 - 00:34:59.940] 都裡面
[00:34:59.940 - 00:35:01.860] 就是在這個主義的原始預覽的時候
[00:35:01.860 - 00:35:02.980] 其實它不會是這種
[00:35:02.980 - 00:35:03.940] 數品的樣子
[00:35:03.940 - 00:35:05.380] 而是一個正方形的樣子
[00:35:05.380 - 00:35:07.380] 因為因此外我們它的一個預覽
[00:35:07.380 - 00:35:08.980] 圖片一樣是是9公格的
[00:35:08.980 - 00:35:10.020] 每一張圖片
[00:35:10.020 - 00:35:13.380] 每一個天文它都是一個小正方體的樣子
[00:35:13.380 - 00:35:14.660] 這就是為什麼推薦大家
[00:35:14.660 - 00:35:17.620] 在發體的時候用一筆一的一個圖片比例
[00:35:17.620 - 00:35:18.660] 這樣它在預覽的時候
[00:35:18.660 - 00:35:20.740] 其實能夠看得比較完整
[00:35:20.980 - 00:35:22.260] 中間的這個的話
[00:35:22.260 - 00:35:24.580] 其實就是我們的視頻
[00:35:24.580 - 00:35:27.140] 在正常的天文預覽裡面
[00:35:27.140 - 00:35:28.820] 如果說不是9B16
[00:35:28.820 - 00:35:30.100] 它是什麼樣的樣子
[00:35:30.100 - 00:35:31.860] 就是很半的
[00:35:31.860 - 00:35:33.780] 跟你的原視頻是一樣的
[00:35:33.780 - 00:35:35.140] 但是會發現
[00:35:35.140 - 00:35:38.580] 它對比圖片體來說也是很小的
[00:35:38.580 - 00:35:41.460] 就是看上面的張圖
[00:35:41.460 - 00:35:42.900] 同樣的一個天文
[00:35:42.900 - 00:35:44.740] 我用手機來看這兩個是
[00:35:44.740 - 00:35:46.180] 這兩個貼子的一個圖片
[00:35:46.180 - 00:35:47.460] 一個視頻
[00:35:47.460 - 00:35:49.300] 視頻貼的話是很半
[00:35:49.300 - 00:35:51.860] 然後也不是9B16那種數本的樣子
[00:35:51.860 - 00:35:53.780] 它的展現就只有中間小少一塊
[00:35:53.780 - 00:35:55.620] 甚至都沒有這個圖片貼大
[00:35:55.620 - 00:35:58.500] 最後的話就是給大家提及
[00:35:58.500 - 00:36:00.020] 一個Instagram的平台的
[00:36:00.020 - 00:36:02.500] 不多一些玩法跟思路吧
[00:36:02.500 - 00:36:04.020] 第一個就是
[00:36:04.020 - 00:36:05.860] 可以看到這個光電鋪
[00:36:05.860 - 00:36:07.060] 光電鋪的話
[00:36:07.060 - 00:36:09.060] Instagram的平台的話
[00:36:09.060 - 00:36:11.380] 其實視頻是在為商家在平台上面
[00:36:11.380 - 00:36:15.060] 引力做出了很多的一些想法的改變
[00:36:15.060 - 00:36:16.740] 光電鋪只有功能的話
[00:36:16.740 - 00:36:19.700] 可以看我又不中間結了一個晶平的一個例子
[00:36:19.700 - 00:36:21.140] 這就是他們晶平
[00:36:21.140 - 00:36:21.940] 就這個平台
[00:36:21.940 - 00:36:24.820] 他們在Instagram上面一個店鋪的一個樣子
[00:36:24.820 - 00:36:25.940] 基本上說
[00:36:25.940 - 00:36:28.340] 就是你可以在流染它的工
[00:36:28.340 - 00:36:30.740] Instagram裝好主要的時候
[00:36:30.740 - 00:36:32.420] 比如說我對這個裡面圖片的一個
[00:36:32.420 - 00:36:33.540] 同畫產品感情
[00:36:33.540 - 00:36:35.060] 我想說過滿
[00:36:35.060 - 00:36:36.100] 那麼怎麼辦
[00:36:36.100 - 00:36:38.180] 我就可以直接點到這個店鋪的
[00:36:38.660 - 00:36:39.860] 點到這個店鋪裡面
[00:36:39.860 - 00:36:41.380] 去看它這個店鋪
[00:36:41.380 - 00:36:42.740] 有沒有這個視頻同畫
[00:36:42.740 - 00:36:44.660] 或者是這個圖片的同畫
[00:36:44.660 - 00:36:45.540] 如果有的話
[00:36:45.540 - 00:36:46.340] 我就直接可以
[00:36:46.340 - 00:36:48.780] 在Instagram這個平台上面去完成鋪
[00:36:48.780 - 00:36:49.620] 下單
[00:36:49.620 - 00:36:50.820] 復款
[00:36:50.820 - 00:36:52.660] 這一系列的流程
[00:36:52.660 - 00:36:53.780] 也是通過
[00:36:53.780 - 00:36:54.820] 就是這個的話
[00:36:54.820 - 00:36:56.580] 更多的像是從
[00:36:56.580 - 00:36:57.540] 設美平台
[00:36:57.540 - 00:36:58.580] 就是我們從一個新興趣
[00:36:58.580 - 00:37:01.300] 或是的平台變成了一個購物的平台
[00:37:01.300 - 00:37:02.180] 如果說
[00:37:02.180 - 00:37:03.140] 大家的一些產品
[00:37:03.140 - 00:37:04.900] 是那種低價的
[00:37:04.900 - 00:37:06.260] 比較能夠
[00:37:06.260 - 00:37:08.420] 適應快速的短時間的發貨
[00:37:08.420 - 00:37:10.980] 然後說後也是比較能夠完善
[00:37:10.980 - 00:37:12.580] 並且能夠支持
[00:37:12.580 - 00:37:14.980] 在Instagram上面開不自己的一個店鋪
[00:37:14.980 - 00:37:17.140] 那麼我建議大家去嘗試一下
[00:37:17.140 - 00:37:18.660] 這邊的話就算不可以嘗試
[00:37:18.660 - 00:37:19.540] 也可以去到這裡
[00:37:19.540 - 00:37:20.820] 下現在平台的一些玩法
[00:37:20.820 - 00:37:22.100] 跟去世是什麼樣的
[00:37:22.100 - 00:37:23.620] 以後也可以參考或者說
[00:37:23.620 - 00:37:25.620] 自己一個玩法的入主
[00:37:25.620 - 00:37:26.500] 第二個的話
[00:37:26.500 - 00:37:27.620] 是這個圖標
[00:37:27.620 - 00:37:29.380] 這個圖標有認識的吧
[00:37:29.380 - 00:37:30.340] 大家如果有認識的
[00:37:30.340 - 00:37:31.860] 可以在平坡裡面去
[00:37:31.860 - 00:37:32.900] 可以想
[00:37:32.900 - 00:37:34.740] 應該說大家都會知道
[00:37:34.740 - 00:37:37.780] 這是我之前有提到過的
[00:37:37.780 - 00:37:38.740] Instagram
[00:37:38.740 - 00:37:40.020] 就是 Meta的母公司
[00:37:40.020 - 00:37:41.220] 出的對於Twitter
[00:37:41.220 - 00:37:42.420] 這個平台的一個Gingping
[00:37:42.420 - 00:37:44.180] SWARS
[00:37:44.180 - 00:37:48.420] 它是一個性息分曉類的一個資訊平台
[00:37:48.420 - 00:37:51.380] 更多的話是以文字信息為主
[00:37:51.380 - 00:37:53.620] 其實這個平台如果大家有去試用的話
[00:37:53.620 - 00:37:54.740] 會發現
[00:37:54.740 - 00:37:57.780] 它現在的話是支持圖片的一個上傳功能
[00:37:57.780 - 00:37:59.780] 也支持視頻的一個上傳功能
[00:37:59.780 - 00:38:02.260] 但是它更多的還是希望大家有圖片
[00:38:02.260 - 00:38:03.620] 以文字信息為主
[00:38:03.620 - 00:38:05.940] 畢竟它對標的平台還是
[00:38:05.940 - 00:38:07.940] 信息資訊為平台裡面
[00:38:07.940 - 00:38:10.180] 那一條老大哥比如說Twitter嘛
