# 2. 秒懂社媒营销•第二节

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:03.060] 哈囉大家好,今天是我們玩戰海灣設備的第二節克
[00:23:09.120 - 00:23:12.320] 就是以左邊一個大圖又邊一個文案
[00:23:12.320 - 00:23:14.560] 然後這個圖片的話它會有一個
[00:23:14.560 - 00:23:16.640] 你可以在發布手上上唯一一個鏈接
[00:23:16.640 - 00:23:19.920] 然後再圖片上面以及在這個文案上面有一個鏈接
[00:23:19.920 - 00:23:23.490] 可以已經點擊跳轉的
[00:23:23.490 - 00:23:25.730] 這個就是一個視頻鐵的樣式
[00:23:25.730 - 00:23:28.130] 其實光看兩個圖片的兩張圖片
[00:23:28.130 - 00:23:31.010] 看不出來他們兩個是圖片的一個視頻鐵
[00:23:31.010 - 00:23:33.650] 但是因為視頻嘛你點擊進來以後
[00:23:33.650 - 00:23:36.770] 它會自動播放其實這個也是可以去去分的
[00:23:36.770 - 00:23:42.450] 那麼我們怎麼樣呢去進行一個圖片的一個發布呢
[00:23:42.450 - 00:23:45.970] 這個評測的這個評測也是支持定時發布的
[00:23:45.970 - 00:23:49.330] 並且它設置的鏈接也是可以去進行跳轉的
[00:23:49.330 - 00:23:52.370] 我們可以點擊到我們的其二照護的一個
[00:23:52.370 - 00:23:54.370] 照護個人主義的一個顏面
[00:23:54.370 - 00:23:57.410] 然後左上角的話會出現一個創建案友
[00:23:57.410 - 00:24:00.370] 這邊可以乾著按照我們的這個體試
[00:24:00.370 - 00:24:03.330] 點擊創建創建片圖
[00:24:03.330 - 00:24:07.650] 然後就可以進入到我們的一個創建的一個圖片的鏈接裡面
[00:24:07.650 - 00:24:11.410] 這邊的話我圈選的這些地方其實都是避填雅
[00:24:11.410 - 00:24:13.570] 這是建議大家去避填的
[00:24:13.570 - 00:24:16.210] 第一步的話就是我們一個圖片
[00:24:16.210 - 00:24:17.570] 這個天文那個標題
[00:24:17.570 - 00:24:20.690] 這個標題的話也是跟其他平台是一樣的
[00:24:20.690 - 00:24:23.010] 最好是你這個圖片的一個金環內容
[00:24:23.010 - 00:24:26.530] 或者說是想要跟大家說的一個最主要的一個畫
[00:24:26.530 - 00:24:30.050] 在這個地方去進行一個整體的一個展現
[00:24:30.050 - 00:24:33.090] 然後標題的話它是有文字的一個次幅上線的
[00:24:33.090 - 00:24:36.370] 所以說大家在天寫標題的時候需要注意一下
[00:24:36.370 - 00:24:38.690] 第二塊的話是講要去描述你的平圖
[00:24:38.690 - 00:24:40.770] 也就是這個平圖裡面的一個長文
[00:24:40.770 - 00:24:43.570] 如果有的話可以在這個地方進行天價
[00:24:43.570 - 00:24:45.570] 這裡的地方也可以去天價表情
[00:24:45.570 - 00:24:50.690] 如果說你們有常玩的話這一塊也可以去不進行天寫
[00:24:51.890 - 00:24:57.090] 在一個的話就是天價這個圖片可以去跳轉的一個外鏈
[00:24:57.090 - 00:25:00.690] 這個地方最好就是這個地方的鏈接其實也是
[00:25:00.690 - 00:25:05.650] 你這個圖片裡面的一個產品它在比如說來自身上的一個展現鏈接
[00:25:05.650 - 00:25:08.930] 或者說是在我們的其圖離戰觀望上的一個鏈接
[00:25:08.930 - 00:25:11.810] 可以方便用圖點擊圖片或者說通過點擊
[00:25:11.810 - 00:25:14.610] 那個顏面上的顯示的一個鏈接就已經跳轉
[00:25:14.610 - 00:25:18.770] 左邊的話就是我們可以去上傳的一個圖片的一個鏈接的一個地方
[00:25:18.770 - 00:25:22.610] 我們可以點擊上傳或者說脫動把圖片上傳進來
[00:25:22.610 - 00:25:27.490] 然後最好是按照就是平圖是他們官方建議的一個圖片的大小文質
[00:25:27.490 - 00:25:31.810] 侧取景上傳這個地方你可以選擇就是圈好的
[00:25:31.810 - 00:25:38.450] 這有一個稍後發布去對圖片進行一個定時發布的一個操作
[00:25:38.450 - 00:25:44.130] 這邊的話就是平圖的官方他們去建議我們在上傳圖片的時候的一些尺寸
[00:25:44.130 - 00:25:48.210] 這邊大家可以待會兒結圖或者說保存去進行官方
[00:25:48.210 - 00:25:50.530] 這邊的話我就不想適合說了
[00:25:50.530 - 00:25:53.330] 因為這塊人那種其實比較多並且黏出來
[00:25:53.330 - 00:25:55.250] 可能也沒有什麼太大的意思
[00:25:55.250 - 00:25:59.250] 最好的話就是在上傳的時候把圖片選擇好
[00:25:59.250 - 00:26:00.610] 然後在上傳
[00:26:00.610 - 00:26:05.250] 因為你在上傳的階段的時候再去再先的一邊擊
[00:26:05.250 - 00:26:11.420] 沒有辦法很好去試影它評述這個平台的圖片的要求
[00:26:11.420 - 00:26:13.820] 然後這邊的話可以跟大家去體現
[00:26:13.820 - 00:26:18.460] 我就我再再說一個另外一個圖片的類型就是它的一個倫波圖
[00:26:18.460 - 00:26:21.660] 倫波圖的話去別於它的一個單圖
[00:26:21.660 - 00:26:25.660] 就是倫波圖它沒有辦法去進行一個定時發布的一個操作
[00:26:25.660 - 00:26:31.420] 倫波圖的話基本上是只能你上傳以後就立馬直接進行發布的這麼一個流程
[00:26:31.420 - 00:26:36.620] 所以說你想要去發布倫波圖的話最好就是你想發的時候直接去進行發布
[00:26:36.620 - 00:26:43.090] 沒有辦法提前去進行一個就是預設的這麼一個操作
[00:26:43.090 - 00:26:46.290] 下一步的話就是介紹一下怎麼的吧
[00:26:46.290 - 00:26:51.730] 就是在我們MSC上面的一些產品的鏈接去分享到我們的平上面
[00:26:51.730 - 00:26:57.170] 可以點擊到比如說這個產品這個鏈接的話是在MSC光網上
[00:26:57.170 - 00:27:00.210] 然後它有一個設的一個分享列表
[00:27:00.210 - 00:27:03.810] 後面的話可以找到關於Pinchance這個圖標的一個按鈕
[00:27:03.810 - 00:27:05.730] 然後我們可以點擊分享
[00:27:05.730 - 00:27:08.690] 分享了以後它會跳轉到你的Pinchance的上面
[00:27:08.690 - 00:27:11.730] 這個地方如果你是動作狀態來想它會直接進行跳轉
[00:27:11.730 - 00:27:14.370] 如果說這邊沒有在動作狀態下的話
[00:27:14.370 - 00:27:18.210] 它這邊跳轉出來顏面需要你在網頁上面去玩善你的照號
[00:27:18.210 - 00:27:19.890] 就把你的照號密碼
[00:27:19.890 - 00:27:24.210] 這上面輸入一下然後就只用一個動作中立一個狀態
[00:27:24.210 - 00:27:27.570] 然後這邊的話可以推薦你去選一個圖版
[00:27:27.570 - 00:27:30.370] 把你的產品分享到這個圖版裡面
[00:27:30.370 - 00:27:35.250] 金選的話就是你之前創建好的並且分享了次數比較多的
[00:27:35.250 - 00:27:38.930] 兩個金選的內容它會分類到金選裡面
[00:27:39.090 - 00:27:42.370] 如果說不選的發布到金選這個圖版裡面的話
[00:27:42.370 - 00:27:45.890] 它會選擇你甚至還有一個所有圖版的內容分類
[00:27:45.890 - 00:27:50.050] 你可以選的把你的產品分享到金選裡面也可以分享到所有圖版裡面
[00:27:50.050 - 00:27:53.650] 或者說這些圖版都不符合你想要分享到這個產品的一個屬性
[00:27:53.650 - 00:27:56.770] 可以就是現場立即先創建一個新的圖版
[00:27:56.770 - 00:27:58.290] 那麼也可以去進一份想
[00:27:58.290 - 00:28:02.210] 這邊的話到這裡為止就是我們今天分享的一個所謂的內容
[00:28:02.210 - 00:28:06.690] 也是比較基礎的一個就是關於照號如何去創建以及怎麼樣的
[00:28:06.690 - 00:28:09.730] 所以今天我們的發布的一個大概的介紹
[00:28:09.730 - 00:28:12.050] 如果說大家還有什麼不太明白的地方
[00:28:12.050 - 00:28:14.610] 也可以在評論區裡面是基因科衛處理
[00:28:14.610 - 00:28:18.450] 就是把問題打來評論區裡面我們的小助理看到會進一反會
[00:28:18.450 - 00:28:22.130] 或者說也可以去天下我們的小助理給一個前微信來進行
[00:28:22.130 - 00:28:23.330] 是詢問
[00:28:23.330 - 00:28:26.450] 也是希望大家能夠通過這些課程去的
[00:28:26.450 - 00:28:30.930] 就得更多關於海外什麼如果去運營的一些方法的學習
[00:28:30.930 - 00:28:32.450] 然後我們下個個再見
[00:28:32.450 - 00:28:33.570] 謝謝大家
