# 2. 【精准发力】选择最适合你的营销模式

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:03.080] 也如何獲取精神流量
[00:16:10.670 - 00:16:13.230] 好 這些我們全部都沒任
[00:16:13.230 - 00:16:15.070] 全部都沒任
[00:16:15.070 - 00:16:16.110] 好 這個
[00:16:16.110 - 00:16:20.620] 我們要把我們的核心關鍵次放進去
[00:16:20.620 - 00:16:25.820] YouTube賺錢公內
[00:16:25.820 - 00:16:28.700] 我們把YouTube賺錢公內放進去
[00:16:28.700 - 00:16:29.420] 同樣的
[00:16:29.420 - 00:16:32.750] 我們可以寫的夢想
[00:16:32.750 - 00:16:35.710] YouTube
[00:16:35.710 - 00:16:38.430] 好 那這個我就不多寫了
[00:16:38.430 - 00:16:40.350] 我們知道怎麼回事就行了
[00:16:40.350 - 00:16:42.430] 好 下面我們全部都沒任
[00:16:42.430 - 00:16:43.550] 全部都沒任
[00:16:43.550 - 00:16:46.430] 好 點擊繼續
[00:16:46.430 - 00:16:48.270] 在這裡我們天家字幕
[00:16:48.270 - 00:16:50.430] 碰天家字幕
[00:16:50.430 - 00:16:52.910] 好 上傳文件
[00:16:52.910 - 00:16:56.620] 包含時間繼續
[00:16:56.620 - 00:16:58.380] 這裡我已經準備好了
[00:16:58.380 - 00:16:59.980] 這個ICT格式
[00:16:59.980 - 00:17:02.700] 直接失敵就可以了
[00:17:02.700 - 00:17:03.500] 好 當然
[00:17:03.500 - 00:17:07.340] 我們要在這裡把YouTube這天公內核心詞
[00:17:07.340 - 00:17:11.340] 解釋你的文字當中沒有提欠出來
[00:17:11.340 - 00:17:13.340] 我們要把它欠入那裏去
[00:17:13.340 - 00:17:17.340] 達到就是關鍵次欠入疲佩的一個目的
[00:17:17.340 - 00:17:19.740] 好的 我們把它放進去
[00:17:19.740 - 00:17:21.260] 好 可以了 差不多了
[00:17:21.260 - 00:17:25.650] 到我們點擊完成
[00:17:25.650 - 00:17:28.370] 好 點擊繼續
[00:17:28.370 - 00:17:31.170] 檢查 微發現任何的版權問題
[00:17:31.170 - 00:17:33.010] 點擊繼續
[00:17:33.010 - 00:17:42.080] 公開 點擊發布
[00:17:42.080 - 00:17:47.310] 好的
[00:17:47.310 - 00:17:51.070] 這就是一個YouTube發布的一個標準流程
[00:17:51.070 - 00:17:54.750] 大家知道是怎麼操作就可以了
[00:17:54.750 - 00:17:55.710] 好 讓它呢
[00:17:55.710 - 00:17:58.110] 我們一個食糙的一個視頻
[00:17:58.110 - 00:18:01.150] 帶著大家來認真地走了一遍
[00:18:01.150 - 00:18:04.190] 到底我們視頻發布的一個完整多程
[00:18:04.190 - 00:18:05.550] 希望大家看了之後
[00:18:05.550 - 00:18:07.790] 應該是會有所其法
[00:18:07.790 - 00:18:11.870] 這就是我通常的一個標準的發布流程
[00:18:11.870 - 00:18:12.910] OK
[00:18:12.910 - 00:18:16.030] 我們現在來驗證一下 剛才老實講了
[00:18:16.030 - 00:18:16.910] 6項匹配
[00:18:16.910 - 00:18:18.670] 能為你更好的排名到底
[00:18:18.670 - 00:18:20.430] 它能不能做到
[00:18:20.430 - 00:18:21.230] 好的排名
[00:18:21.230 - 00:18:23.870] 首先我們進入無恨模式
[00:18:23.870 - 00:18:25.310] 為了公平期間
[00:18:25.310 - 00:18:27.950] 我們進入無恨模式來進行關鍵次來授作
[00:18:27.950 - 00:18:29.150] 來
[00:18:29.150 - 00:18:33.150] 我們首先來打開YouTube這個平台
[00:18:33.150 - 00:18:35.710] 來 我們授作關鍵次YouTube
[00:18:35.710 - 00:18:38.990] 賺錢公略戰略各關鍵次
[00:18:38.990 - 00:18:41.070] 來 我們看看幾個
[00:18:41.070 - 00:18:42.110] 我們可以看到
[00:18:42.110 - 00:18:43.470] 在五分鐘之前
[00:18:43.470 - 00:18:47.070] 已經排名到YouTube的首頁裡面來了
[00:18:47.070 - 00:18:48.190] 好 我們再來
[00:18:48.190 - 00:18:53.460] 谷歌上來搜一首看能不能收到排名
[00:18:53.460 - 00:18:56.420] YouTube賺錢公略
[00:18:56.420 - 00:18:58.260] 同樣我們可以看到
[00:18:58.260 - 00:19:04.260] 在6分鐘前這個排名就出現了
[00:19:04.260 - 00:19:06.580] 當然我們也可以在必須上
[00:19:06.580 - 00:19:07.940] 在壓縫上進行搜索
[00:19:07.940 - 00:19:09.860] 它依然會有好的排名
[00:19:09.860 - 00:19:10.660] 當然
[00:19:10.660 - 00:19:11.380] 各位
[00:19:11.380 - 00:19:13.700] 只要我們Google上有排名
[00:19:13.700 - 00:19:15.780] 在YouTube的排名實際上是貸貸贏
[00:19:15.780 - 00:19:18.660] 壓縫它就是了料料的
[00:19:19.220 - 00:19:21.380] 結果一個平台
[00:19:21.380 - 00:19:22.180] 能為你帶來的
[00:19:22.180 - 00:19:23.540] 那就非常不得了
[00:19:23.540 - 00:19:25.300] 效果已經非常好
[00:19:25.300 - 00:19:27.460] 別人可能一年花幾十萬
[00:19:27.460 - 00:19:28.740] 幾百萬去打
[00:19:28.740 - 00:19:31.140] Google的廣告才能排名靠錢
[00:19:31.140 - 00:19:33.140] 而我們這種方式免費的
[00:19:33.140 - 00:19:34.500] 無需花錢
[00:19:34.500 - 00:19:35.780] 免費的
[00:19:36.740 - 00:19:37.940] 老實
[00:19:39.060 - 00:19:40.340] 你講得很好
[00:19:40.340 - 00:19:41.940] 但是我怎麼覺得
[00:19:41.940 - 00:19:45.220] YouTube這個平台不太適合我們行業
[00:19:45.220 - 00:19:48.020] 可能你說那些行業很適合
[00:19:48.020 - 00:19:50.020] 我們行業比較特殊
[00:19:50.020 - 00:19:52.420] 好像不是太適合這一款
[00:19:52.420 - 00:19:54.180] 那麼各位
[00:19:54.180 - 00:19:55.540] 老實要告訴大家的是
[00:19:55.540 - 00:19:58.980] YouTube是可以任何行業
[00:19:58.980 - 00:20:00.820] 包括你的行業
[00:20:00.820 - 00:20:01.700] 包括你的行業
[00:20:01.700 - 00:20:02.340] 為什麼
[00:20:02.340 - 00:20:04.100] 因為老實見得太多了
[00:20:04.100 - 00:20:06.180] 成功的案例有很多很多
[00:20:06.180 - 00:20:08.100] 而且我清楚的知道
[00:20:08.100 - 00:20:09.780] 它的原理是什麼
[00:20:09.780 - 00:20:12.500] 它能通過這個平台
[00:20:12.500 - 00:20:14.820] 轉化客戶它的原理是什麼
[00:20:14.820 - 00:20:17.540] 所以我才敢跟大家說這話
[00:20:17.540 - 00:20:18.740] 但是有一點
[00:20:18.740 - 00:20:20.180] 我想大家要明白
[00:20:20.180 - 00:20:22.180] 如果你的同行
[00:20:22.180 - 00:20:24.100] 已經入住的這個平台
[00:20:24.100 - 00:20:25.940] 而且做的還不錯
[00:20:27.060 - 00:20:28.500] 還有很多的同行
[00:20:28.500 - 00:20:30.420] 在這個平台做的還不錯
[00:20:30.420 - 00:20:32.980] 那麼大家千萬不要再浪費時間了
[00:20:32.980 - 00:20:34.740] 這個平台也許不適合你
[00:20:34.740 - 00:20:37.300] 因為你要做的工作
[00:20:37.300 - 00:20:39.460] 又太大太大了
[00:20:39.460 - 00:20:40.740] 所以說
[00:20:40.740 - 00:20:42.020] 如果你的同行
[00:20:42.020 - 00:20:44.100] 沒有在這個平台做出結果
[00:20:44.100 - 00:20:45.460] 那麼它就是你
[00:20:45.460 - 00:20:47.300] 很好的一個
[00:20:47.300 - 00:20:48.740] 流量戰場
[00:20:48.740 - 00:20:50.420] 流量戰場
[00:20:50.420 - 00:20:53.220] 所以大家已經要顛覆傳統的認知
[00:20:53.220 - 00:20:54.660] 這個平台有沒有人做
[00:20:54.660 - 00:20:56.020] 有人做出結果
[00:20:56.020 - 00:20:57.940] 你才覺得這個平台可以
[00:20:57.940 - 00:20:59.460] 這個平台如果沒有人做
[00:20:59.460 - 00:21:00.340] 沒做出結果
[00:21:00.340 - 00:21:02.180] 你就會認為這個平台好像
[00:21:02.180 - 00:21:03.940] 不可以錯了
[00:21:03.940 - 00:21:05.460] 一定要反向思維
[00:21:05.460 - 00:21:06.820] 如果這個平台
[00:21:06.820 - 00:21:08.820] 只要它有流量存在
[00:21:08.820 - 00:21:10.340] 然後你的同行
[00:21:10.340 - 00:21:11.380] 還沒有做出結果
[00:21:11.380 - 00:21:14.260] 這就是很好的平台
[00:21:14.260 - 00:21:17.220] 你要拿你的經歷在這個平台
[00:21:17.220 - 00:21:18.980] 花份十分之一
[00:21:18.980 - 00:21:21.860] 它的結果就非常好
[00:21:21.860 - 00:21:22.500] 來
[00:21:22.500 - 00:21:24.740] 給大家看一些案例
[00:21:24.740 - 00:21:27.620] 這個做工程機械是B2B領域的
[00:21:27.620 - 00:21:31.410] 大家來看看看
[00:21:31.410 - 00:21:33.810] 我們通過Youtube這個平台
[00:21:33.810 - 00:21:35.410] 通過視頻的方式
[00:21:35.410 - 00:21:38.690] 一年幫它轉化了6000萬的訂單
[00:21:38.690 - 00:21:40.930] 而
[00:21:40.930 - 00:21:42.210] 是這個客戶
[00:21:42.210 - 00:21:45.330] 從在2014年就確定通過Youtube
[00:21:45.330 - 00:21:48.130] 來製作視頻來轉化客戶的時候
[00:21:48.130 - 00:21:50.050] 就是因為這條視頻
[00:21:50.050 - 00:21:51.010] 這條視頻
[00:21:51.010 - 00:21:52.690] 我們花了40天打造的
[00:21:52.690 - 00:21:54.210] 這樣一個三位視頻
[00:21:54.210 - 00:21:55.170] 然後這條視頻
[00:21:55.170 - 00:21:59.900] 為它轉化了1500萬的訂單
[00:23:54.130 - 00:24:13.170] 這條視頻是很重要的
[00:24:13.170 - 00:24:23.420] 這個視頻是你想
[00:24:23.420 - 00:24:26.220] 他們是新研發的一款產品
[00:24:26.220 - 00:24:28.300] 但是由於
[00:24:28.300 - 00:24:33.020] 沒有辦法讓客戶看到實際的效果
[00:24:33.020 - 00:24:34.460] 因為它的產品很大
[00:24:34.460 - 00:24:36.060] 它都是訂製化的
[00:24:36.060 - 00:24:37.660] 除非客戶負了訂金
[00:24:37.660 - 00:24:39.340] 它才能進行生產
[00:24:39.340 - 00:24:41.740] 所以其實是挑戰性還是比較大的
[00:24:41.740 - 00:24:43.580] 而且沒有客戶
[00:24:43.580 - 00:24:46.300] 願意去當這個效果
[00:24:46.300 - 00:24:48.860] 所以它就做了一套視頻
[00:24:48.860 - 00:24:50.620] 很非常清楚的一眼
[00:24:50.620 - 00:24:52.060] 是出來產品的價值
[00:24:52.060 - 00:24:53.900] 就是移動是攪完戰
[00:24:53.900 - 00:24:55.500] 以前的攪完戰是固定的
[00:24:55.500 - 00:24:56.540] 這個效果結束之後
[00:24:56.540 - 00:24:58.140] 可能這個戰就廢掉了
[00:24:58.140 - 00:24:59.340] 而且固定是攪完戰
[00:24:59.340 - 00:25:01.500] 安裝周期需要一個月升著更久
[00:25:01.500 - 00:25:02.620] 而移動是攪完戰
[00:25:02.620 - 00:25:04.300] 可能脫車脫到這裡
[00:25:04.300 - 00:25:06.700] 整個安裝可能移出去搞定
[00:25:06.700 - 00:25:08.460] 而效果結束之後
[00:25:08.460 - 00:25:10.060] 直接就可以拆除
[00:25:10.060 - 00:25:11.580] 然後到下一個效果基地
[00:25:11.580 - 00:25:15.020] 非常的順應當下的環境
[00:25:15.020 - 00:25:16.780] 所以它通過這樣一個
[00:25:16.780 - 00:25:18.540] 三維的表現方式
[00:25:18.540 - 00:25:21.100] 把它的這樣一個麥點體現出來
[00:25:21.100 - 00:25:22.220] 就叫應用
[00:25:22.220 - 00:25:24.860] 我們叫的應用場景是最大動用火的
[00:25:24.860 - 00:25:26.540] 當場三個客戶
[00:25:26.540 - 00:25:29.020] 帶去他們公司進去考察的時候
[00:25:29.020 - 00:25:31.420] 就看了這個視頻全部成交
[00:25:31.420 - 00:25:33.580] 總經了1500萬
[00:25:33.580 - 00:25:35.500] 所以思思客戶就接著
[00:25:35.500 - 00:25:38.700] 視頻影響的確是一個非常不錯的東西
[00:25:38.700 - 00:25:41.260] 然後它就聯合我們幫它去做
[00:25:41.260 - 00:25:42.860] YouTube平台運用
[00:25:42.860 - 00:25:44.220] 好的一年幫它轉換
[00:25:44.220 - 00:25:45.500] 6強的零三
[00:25:45.500 - 00:25:47.460] 不如我們一個客戶
[00:25:47.460 - 00:25:49.100] 他們去上海的
[00:25:49.100 - 00:25:51.260] 單條視頻體積之每天
[00:25:51.260 - 00:25:52.300] 量萬的播放
[00:25:52.300 - 00:25:53.100] 單條視頻
[00:25:53.100 - 00:25:54.700] 2019萬的播放
[00:25:54.700 - 00:25:57.260] 包括第三天播放機的
[00:25:57.580 - 00:25:59.180] 這個客戶非常有意思
[00:25:59.180 - 00:26:00.620] 它曾經評論評論評論
[00:26:00.620 - 00:26:02.140] 定決量大概是3000多
[00:26:02.140 - 00:26:04.140] 其實也是相當不錯的
[00:26:04.140 - 00:26:07.260] 然後我專機的評渡
[00:26:07.260 - 00:26:08.460] 上千個
[00:26:08.460 - 00:26:09.820] 那麼你讓用戶
[00:26:09.820 - 00:26:11.580] 怎麼記住你
[00:26:11.580 - 00:26:12.620] 很重要
[00:26:12.620 - 00:26:14.380] 因為它自己是老闆
[00:26:14.380 - 00:26:16.460] 那視頻都是它自己拍
[00:26:16.460 - 00:26:18.220] 然後它就定為了
[00:26:18.220 - 00:26:18.940] 我就說
[00:26:18.940 - 00:26:22.060] 你這個人作為你的IP
[00:26:22.060 - 00:26:24.460] 這個人是做專機的
[00:26:24.460 - 00:26:26.620] 然後讓用戶先生是一個人
[00:26:26.620 - 00:26:28.460] 在認識你是做專機的
[00:26:28.460 - 00:26:30.700] 那麼你的IP屬性就很強
[00:26:30.700 - 00:26:32.300] 你的社交屬性就很強
[00:26:32.300 - 00:26:34.540] 用戶就會很信賴你
[00:26:34.540 - 00:26:36.780] 成交自然不受問題
[00:26:36.780 - 00:26:37.900] 非常
[00:26:37.900 - 00:26:41.100] 非常像我們現象的這種英小
[00:26:41.100 - 00:26:42.940] 所以它就把它的班辣圖
[00:26:42.940 - 00:26:44.220] 還有它的所有視頻
[00:26:44.220 - 00:26:47.580] 都以自己強IP的方式進行推廣
[00:26:47.580 - 00:26:48.620] 所以大家可以看到
[00:26:48.620 - 00:26:51.180] 它的粉絲提升非常的訊息
[00:26:51.180 - 00:26:53.020] 達到了1.23萬
[00:26:53.020 - 00:26:55.420] 這個是我們有些人
[00:26:55.420 - 00:26:58.460] 它沒有花1分錢的廣告費
[00:26:58.460 - 00:27:00.780] 1.4個1的播放
[00:27:00.780 - 00:27:03.100] 1.4個1的播放在YouTube上
[00:27:03.100 - 00:27:05.340] 它是什麼流量的大家注意看
[00:27:05.340 - 00:27:06.780] 說死流量
[00:27:06.780 - 00:27:07.980] 短視頻
[00:27:07.980 - 00:27:10.860] 就是我們今天所講的TikTok
[00:27:10.860 - 00:27:12.380] 導應的這種流量方式
[00:27:12.380 - 00:27:13.420] 推流方式
[00:27:13.420 - 00:27:14.380] 原因方法
[00:27:14.380 - 00:27:15.500] 一模一樣
[00:27:15.500 - 00:27:16.700] 一模一樣
[00:27:16.700 - 00:27:18.460] 所有的各位
[00:27:18.460 - 00:27:19.100] 所以各位
[00:27:19.100 - 00:27:21.180] 如果你今天在運營導應
[00:27:21.180 - 00:27:23.100] 你今天在運營TikTok
[00:27:23.100 - 00:27:24.140] YouTube說
[00:27:24.140 - 00:27:25.900] 你一定要把它運營進行
[00:27:25.900 - 00:27:27.900] 因為它的流量非常的巨大的
[00:27:27.900 - 00:27:30.220] 有23億的月會用戶
[00:27:30.220 - 00:27:31.020] 各位
[00:27:31.020 - 00:27:33.580] 如果我沒騎
[00:27:33.900 - 00:27:37.100] 23億就跟你有很大的關係了
[00:27:38.140 - 00:27:40.060] 就像導應我們都知道
[00:27:40.060 - 00:27:41.340] 隨著一邊一個視頻
[00:27:41.340 - 00:27:43.260] 發出機可以達到3千萬的播放
[00:27:43.260 - 00:27:44.060] 我們的團隊
[00:27:44.060 - 00:27:45.260] 達到3千萬播放
[00:27:45.260 - 00:27:46.060] 很多
[00:27:46.060 - 00:27:49.840] 這種視頻達到了10幾個了
[00:27:49.840 - 00:27:53.230] YouTube就是這樣了
[00:27:53.230 - 00:27:54.270] 它不是說
[00:27:54.270 - 00:27:55.950] 成為你的粉絲才能看到
[00:27:55.950 - 00:27:57.630] 你所有的用戶
[00:27:57.630 - 00:28:00.030] 所有的用戶都可以看到你的
[00:28:00.030 - 00:28:02.110] 只要興趣與相似
[00:28:02.110 - 00:28:04.110] 也和都能看到你的視頻
[00:28:04.110 - 00:28:04.670] 也就是說
[00:28:04.670 - 00:28:08.030] 它發的視頻可以被1.4個1人看到
[00:28:08.030 - 00:28:10.430] 只有YouTube的視頻可以做到
[00:28:10.430 - 00:28:12.510] 只有YouTube的這個平台可以做到
[00:28:12.510 - 00:28:13.710] 你換了其他平台
[00:28:13.710 - 00:28:15.550] 根本做不到
[00:28:15.550 - 00:28:16.750] 所以
[00:28:16.750 - 00:28:19.310] 平台它的魔力就在這裡
[00:28:19.310 - 00:28:21.790] 只要你能做出內容
[00:28:21.790 - 00:28:24.590] 只要你的內容能夠用感興趣
[00:28:24.590 - 00:28:29.070] 你就有機會被全世界日的看到
[00:28:29.070 - 00:28:32.670] 因為這種可能性是有平台的機制放在這裡
[00:28:32.670 - 00:28:34.910] 所以我們非常普通的一個血源
[00:28:34.910 - 00:28:36.350] 非常不欺壓的一個血源
[00:28:36.350 - 00:28:38.030] 但是它按照我的方式
[00:28:38.030 - 00:28:39.150] 去弄不低了
[00:28:39.150 - 00:28:40.590] 上傳了YouTube的鏽子
[00:28:40.590 - 00:28:41.630] 這個視頻
[00:28:41.630 - 00:28:43.070] 然後大家可以看到
[00:28:43.070 - 00:28:44.510] 1.4個1的
[00:28:44.510 - 00:28:45.710] 播放次數
[00:28:45.710 - 00:28:50.670] 1507萬小時和19萬的訂閱者
[00:28:50.670 - 00:28:51.470] 流量
[00:28:51.470 - 00:28:53.470] 即一本是說死流量
[00:28:54.830 - 00:28:58.030] 那麼它是如何打得更效果的
[00:28:58.030 - 00:29:00.110] 它如何打得更效果的
[00:29:00.110 - 00:29:01.950] 這裡面有很重要的
[00:29:01.950 - 00:29:03.470] 願意引起氣橋
[00:29:03.470 - 00:29:04.750] 很重要的願意引起橋
[00:29:04.750 - 00:29:05.550] 先告訴大家
[00:29:05.550 - 00:29:07.870] 不需要花廣告費
[00:29:07.870 - 00:29:12.510] 即使花也是非常非常小的一部分廣告費
[00:29:12.510 - 00:29:14.510] 不是靠廣告詐出來的
[00:29:14.510 - 00:29:17.310] 這裡面有很好的原因用技巧
[00:29:17.310 - 00:29:18.750] 大家來看看
[00:29:18.750 - 00:29:20.510] 離子期
[00:29:20.510 - 00:29:22.430] 離子期曾經上傳視頻
[00:29:22.430 - 00:29:24.590] 制作視頻是在微博上
[00:29:24.590 - 00:29:28.510] 它的所有視頻都是在微博上去進行發布
[00:29:28.510 - 00:29:32.510] 所以微博上它有2775萬的分子
[00:29:33.230 - 00:29:34.750] 後來
[00:29:34.750 - 00:29:36.510] 它微博的視頻
[00:29:36.510 - 00:29:37.790] 因為火了之後
[00:29:37.790 - 00:29:39.550] 它內容大家都很喜歡
[00:29:39.550 - 00:29:40.750] 它把微博的視頻
[00:29:40.750 - 00:29:42.430] 1比1的傳到了
[00:29:42.430 - 00:29:45.600] YouTube平台
[00:29:45.600 - 00:29:46.720] 然後YouTube平台
[00:29:46.720 - 00:29:49.120] 微博帶了1700萬的分子
[00:29:49.120 - 00:29:51.440] 1600萬已經不負存在了
[00:29:51.440 - 00:29:55.310] 現在是1700萬的分子
[00:29:55.310 - 00:29:56.990] 但是各位你知道嗎
[00:29:56.990 - 00:30:00.270] 在微博上2000多萬的分子是中國人
[00:30:00.270 - 00:30:02.190] 中國人喜歡離子期
[00:30:02.190 - 00:30:03.550] 但是上傳的YouTube
[00:30:03.550 - 00:30:07.680] 是1700萬是老外
[00:30:07.680 - 00:30:10.400] 它同樣有老一2000700萬
[00:30:10.400 - 00:30:11.440] 加1000700萬
[00:30:11.440 - 00:30:13.440] 那粉絲又增加了
[00:30:13.440 - 00:30:14.880] 這重要是它做到了
[00:30:14.880 - 00:30:17.440] 中國文化輸出第一人
[00:30:17.440 - 00:30:19.200] 得到了一樣式的表揚
[00:30:19.200 - 00:30:20.480] 更重要的是
[00:30:20.480 - 00:30:22.080] 它都是老外的分子
[00:30:22.080 - 00:30:23.440] 民力雙手
[00:30:23.440 - 00:30:24.720] 民意雙手
[00:30:24.720 - 00:30:26.240] 所以它把同樣的視頻
[00:30:26.240 - 00:30:27.280] 翻晕到
[00:30:27.280 - 00:30:29.040] 倒音上5千萬的分子
[00:30:29.040 - 00:30:30.240] 比戰上T.哥套哥
[00:30:30.240 - 00:30:31.040] Facebook
[00:30:31.040 - 00:30:33.120] 同樣的獲得很好的結果
[00:30:33.120 - 00:30:34.640] 所以各位你知道嗎
[00:30:34.640 - 00:30:36.160] 不通的平台
[00:30:36.160 - 00:30:40.560] 同樣的內容不同的客戶委度
[00:30:40.560 - 00:30:41.040] 各位
[00:30:41.040 - 00:30:41.600] 你說老師
[00:30:41.600 - 00:30:42.960] 我今天做了Facebook
[00:30:42.960 - 00:30:44.240] 然後YouTube
[00:30:44.240 - 00:30:45.520] 我能不能當一黨
[00:30:45.520 - 00:30:47.120] 不是這樣的
[00:30:47.120 - 00:30:48.720] 老實我今天做了T.哥套哥
[00:30:48.720 - 00:30:49.840] YouTube我能當一黨
[00:30:49.840 - 00:30:51.440] 也不是這樣的
[00:30:51.440 - 00:30:52.800] 所以今天我們要學習
[00:30:52.800 - 00:30:54.560] 離子期的成功模式
[00:30:54.560 - 00:30:56.160] 我們要花大量的時間
[00:30:56.160 - 00:30:57.840] 個經歷去搞內容
[00:30:57.840 - 00:31:02.800] 這個是讓用過去有感動的地方
[00:31:02.800 - 00:31:04.560] 當你有了好的內容
[00:31:04.560 - 00:31:06.000] 你可以發布的Facebook
[00:31:06.000 - 00:31:07.600] 上T.哥套哥上Youtube
[00:31:07.600 - 00:31:08.400] Sauce上
[00:31:08.400 - 00:31:10.160] 你都可以全平台分發
[00:31:10.160 - 00:31:12.640] 分發的成本是非常非常低的
[00:31:12.640 - 00:31:15.200] 發布它有什麼難的
[00:31:15.200 - 00:31:18.240] 核心是打到出一個好的內容出來
[00:31:18.240 - 00:31:21.680] 這個是老師多年的一個總結
[00:31:21.680 - 00:31:23.520] 老師自身也在這樣做
[00:31:23.520 - 00:31:26.640] 所以我每個平台都會有流量和轉化
[00:31:26.640 - 00:31:28.640] 而且我不會在任何一個平台上
[00:31:28.640 - 00:31:31.200] 花費太多的經歷和時間
[00:31:31.200 - 00:31:32.800] 各位你也是一樣的
[00:31:32.800 - 00:31:36.160] 在今天太多的平台支持視頻了
[00:31:36.160 - 00:31:38.240] 而他們所有的運營機
[00:31:38.240 - 00:31:40.720] 都是大同小意
[00:31:40.720 - 00:31:43.280] 我們更重要的應該關注的是如何
[00:31:43.280 - 00:31:44.640] 去打到是一個用
[00:31:44.640 - 00:31:45.920] 建議的內容
[00:31:45.920 - 00:31:48.000] 而內容能夠像機器人一樣
[00:31:48.000 - 00:31:49.680] 自動的幫我們去過去流量
[00:31:49.680 - 00:31:51.760] 自動的幫我們去轉化產品
[00:31:51.760 - 00:31:54.240] 讓我們減少人功
[00:31:54.240 - 00:31:56.880] 我們現在需要100個人的團隊
[00:31:56.880 - 00:31:58.800] 我們擁有視頻能夠打到
[00:31:58.800 - 00:32:00.240] 說邊程視頻的時候
[00:32:00.240 - 00:32:02.640] 這個視頻就可以替代我們的員工
[00:32:02.640 - 00:32:04.080] 我們原本需要100個人
[00:32:04.080 - 00:32:05.520] 現在我們20個人
[00:32:05.520 - 00:32:06.480] 我就可以打到
[00:32:06.880 - 00:32:07.760] 2200個人
[00:32:07.760 - 00:32:09.680] 200個員工工作量
[00:32:09.680 - 00:32:12.000] 這個是我們叫什麼
[00:32:12.000 - 00:32:14.880] 互聯網數字化的轉型
[00:32:14.880 - 00:32:16.160] 利用這些平台
[00:32:16.160 - 00:32:17.920] 就可以打到這裏效果
[00:32:19.040 - 00:32:22.240] 所以這是我在講科之前給大家講的
[00:32:22.240 - 00:32:24.560] 由於我在視頻不僅僅是影響
[00:32:24.560 - 00:32:26.640] 而是由於我在視頻生態
[00:32:26.640 - 00:32:27.800] 什麼叫生態
[00:32:27.800 - 00:32:29.200] 這就是一個生態
[00:32:30.160 - 00:32:32.480] 我們的視頻可以解決流量問題
[00:32:32.480 - 00:32:33.960] 用的對方給大家暫畫問題
[00:32:33.960 - 00:32:35.440] 可能就掃會問題
[00:32:35.440 - 00:32:37.040] 它就會一個生態
[00:32:38.320 - 00:32:47.600] 所以說
[00:32:47.600 - 00:32:51.720] 即使我們能很多定都會低每年
[00:32:51.720 - 00:32:54.720] 讓我們的英小辯更簡單
[00:32:56.720 - 00:32:58.720] 這是李子希的頻道我們可以看到
[00:33:00.720 - 00:33:02.720] 他的每個月的收入可以
[00:33:02.720 - 00:33:03.720] 每年的收入
[00:33:03.720 - 00:33:05.720] 僅僅有透過一個平台
[00:33:05.720 - 00:33:07.720] 分發不用做太多的人員
[00:33:07.720 - 00:33:08.720] 不用關注他
[00:33:08.720 - 00:33:10.720] 不用每天去打理他
[00:33:10.720 - 00:33:13.720] 就能達到7000萬的流量收入
[00:33:15.720 - 00:33:17.720] 大家為什麼不要去嘗試一下
[00:33:17.720 - 00:33:21.720] 這就是我們今天所有的科學內容
[00:33:21.720 - 00:33:23.720] 希望大家有所幫助
[00:33:23.720 - 00:33:26.720] 更重要的就是大家接下來之後
[00:33:26.720 - 00:33:28.720] 認真的去落地 時套
[00:33:28.720 - 00:33:30.720] 結果一定是好的
[00:33:30.720 - 00:33:32.720] 好了感謝大家
