# 2.账号提升秘籍

language=zh
language_probability=1.000
model=tiny

[00:00:00.000 - 00:00:02.600] 各位中國製造網的會員朋友們 大家好
[00:00:02.600 - 00:00:04.340] 我是本次課程的講師
[00:13:32.480 - 00:13:35.280] 需要大家通過平台去手動的回復買家
[00:13:35.280 - 00:13:38.480] 這邊是我們給大家整理的商機跟進手復
[00:13:38.480 - 00:13:39.680] 根據平台的數據
[00:13:39.680 - 00:13:41.200] 一小時之內跟進買家
[00:13:41.200 - 00:13:43.040] 買家的回復是可以提到7倍的
[00:13:43.040 - 00:13:46.640] 平台也提供了一些功能幫助大家去及時關注商機
[00:13:46.640 - 00:13:48.880] 比如說微信供眾號的提醒功能
[00:13:48.880 - 00:13:50.480] 貢獻商APP的提醒功能
[00:13:50.480 - 00:13:52.560] 來的接來功能和商機跟進的功能
[00:13:52.560 - 00:13:53.920] 大家可以去利用起來
[00:13:53.920 - 00:13:55.840] 不知道大家日常有沒有被
[00:13:55.840 - 00:13:58.560] 買家不回復我這樣的問題所困擾
[00:13:58.800 - 00:14:00.240] 那買家它是不是會
[00:14:00.240 - 00:14:01.920] 二次回復這個與供應商
[00:14:01.920 - 00:14:03.120] 它自己的想音速度
[00:14:03.120 - 00:14:06.400] 以及它回復給買家的內容的質量是直接相關的
[00:14:06.400 - 00:14:08.640] 當然也和買家本身它有沒有採購
[00:14:08.640 - 00:14:10.000] 意想有關對吧
[00:14:10.000 - 00:14:12.640] 那從我們自己對於供應商的角度來說
[00:14:12.640 - 00:14:14.800] 我們首先還是要去保障到自己的
[00:14:14.800 - 00:14:17.040] 這個即時回復率以及平均的回復時間
[00:14:17.040 - 00:14:19.600] 如果說這兩個指標明顯比較低的話
[00:14:19.600 - 00:14:22.560] 我建議大家在建下通過有件或者說
[00:14:22.560 - 00:14:25.440] 或是二本等等工具去聯繫買家的同時
[00:14:25.440 - 00:14:28.160] 即時通過我們的平台去回復買家的商機
[00:14:28.160 - 00:14:30.480] 如果說這兩項指標還不錯
[00:14:30.480 - 00:14:32.960] 表現比幼稚的同學還要好的話
[00:14:32.960 - 00:14:35.440] 建議大家可以去考慮一下怎麼樣
[00:14:35.440 - 00:14:37.120] 提升我們回復內容的質量
[00:14:37.120 - 00:14:39.280] 這邊也給大家去書里的一些
[00:14:39.280 - 00:14:41.280] 提高買家回復率的思路
[00:14:42.560 - 00:14:44.960] 首先如果說是平台的會員買家
[00:14:44.960 - 00:14:47.760] 那我們可以通過天或著通過巡盤去回復
[00:14:47.760 - 00:14:49.680] 如果說我們當時發現這個買家
[00:14:49.680 - 00:14:50.720] 它是天在線的
[00:14:50.720 - 00:14:52.880] 我們可以優先通過天去聯繫它
[00:14:53.040 - 00:14:54.480] 如果說我們發現這個買家
[00:14:54.480 - 00:14:55.440] 它是一個訪客
[00:14:55.440 - 00:14:57.920] 我建議大家優先通過巡盤去回復
[00:14:57.920 - 00:15:01.440] 有的時候可能我們會覺得這個巡盤內容比較簡單
[00:15:01.440 - 00:15:03.840] 簡單的巡盤它不一定代表買家的質量
[00:15:03.840 - 00:15:04.560] 它就不好
[00:15:04.560 - 00:15:07.280] 因為它有可能用的是平台提供的巡盤模板
[00:15:07.280 - 00:15:09.840] 這種建議大家正常去自己買家備料
[00:15:09.840 - 00:15:11.840] 正常去進行買家的根據
[00:15:11.840 - 00:15:14.080] 在根據的時候建議大家快速去提供
[00:15:14.080 - 00:15:15.760] 產品細節和優勢
[00:15:15.760 - 00:15:17.680] 多出我們自己公司的硬實力
[00:15:17.680 - 00:15:20.560] 讓我們才能去刺激買家再一次和我們溝通
[00:15:20.560 - 00:15:22.080] 如果說遇到多於的買家
[00:15:22.080 - 00:15:24.400] 建議大家可以去使用當地的語言
[00:15:24.400 - 00:15:27.120] 以及音語讓子商業種具回復買家
[00:15:27.120 - 00:15:29.840] 讓有助於買家感受到我們的成立
[00:15:29.840 - 00:15:32.000] 好那其面我們有不斷地強調
[00:15:32.000 - 00:15:35.280] 我們一定要通過平台去及時的想議買家的商機
[00:15:35.280 - 00:15:37.280] 除此之外我們也會建議大家
[00:15:37.280 - 00:15:40.160] 可以通過買家留在平台上的買公司名稱
[00:15:40.160 - 00:15:41.760] 變化這樣的一些信心
[00:15:41.760 - 00:15:43.440] 據數都已經上輸所一下
[00:15:43.440 - 00:15:45.760] 看看它有沒有留下一些其他的聯繫方式
[00:15:45.760 - 00:15:47.520] 據進行一些多許到的根據
[00:15:47.520 - 00:15:49.760] 如果說買家一直都沒有回復我
[00:15:49.760 - 00:15:52.080] 也可以按照一定的頻率去定期的聯繫
[00:15:52.080 - 00:15:54.080] 比如說第一天來到第三天
[00:15:54.080 - 00:15:55.360] 來到第七天
[00:15:55.360 - 00:15:57.440] 之後一週一次兩週一次
[00:15:57.440 - 00:15:59.040] 一個月一次這樣子的頻率
[00:15:59.040 - 00:16:01.280] 因為平台也提供了不同的斷口買家
[00:16:01.280 - 00:16:03.280] 可以通過不同斷口去聯繫我們
[00:16:03.280 - 00:16:06.000] 對於觸民專的買家因為它本身對於
[00:16:06.000 - 00:16:08.640] 我們故意上的想議數要求是很高很高的
[00:16:08.640 - 00:16:11.520] 建議大家可以去通過設置的頻繁回復模板
[00:16:11.520 - 00:16:13.520] 這樣子去快速回復買家
[00:16:13.520 - 00:16:15.760] 提高我們這個商機的回復效率
[00:16:15.760 - 00:16:17.440] 對於APP專的買家
[00:16:17.440 - 00:16:19.920] 它本身在平台的這個年度是比較高的
[00:16:19.920 - 00:16:21.920] 建議大家重點關注頻更進
[00:16:21.920 - 00:16:25.040] 相信也會有一些會員朋友通過現象的
[00:16:25.040 - 00:16:26.560] 遊箱去聯繫買家
[00:16:26.560 - 00:16:29.280] 我們現象遊件的時候要注意些什麼內容
[00:16:29.280 - 00:16:32.640] 我們FACI買家的手封遊件要進可能是成分本的
[00:16:32.640 - 00:16:35.440] 我們要以這封遊件能夠到達買家的遊箱為主
[00:16:35.440 - 00:16:37.440] 如果說這個遊件裡面帶有圖片
[00:16:37.440 - 00:16:38.880] 帶有附件,帶有鏈尖
[00:16:38.880 - 00:16:40.880] 這種遊件是很容易被攔解的
[00:16:40.880 - 00:16:42.640] 包括說內容重複度比較高
[00:16:42.640 - 00:16:45.760] 它性頻率過快這些都是容易被判定為拉機遊件的
[00:16:45.760 - 00:16:48.480] 除了以上的這一些小技巧以外
[00:16:48.480 - 00:16:50.560] 大家也可以去通過我們每個的威克
[00:16:50.560 - 00:16:52.880] 或者說外貿一家的這個在跟客旁
[00:16:52.880 - 00:16:55.520] 就學習一些頻頻跟進方面的內容
[00:16:55.520 - 00:16:58.000] 以上就是本次課程的全部內容了
[00:16:58.000 - 00:16:59.040] 感謝大家的觀看
